date,cleaned_reviews
a month ago,easy rail access to utama and surrounding buildings with sheltered link bridge and will recommend to use mrt when going to utama to beat the traffic jam
11 months ago,i think the signs and directions need to be clearer for commuters and public to go to the nearest pick up and drop off 
10 months ago, mrt in bandar utama a balanced reviewstaff and customer service 
a year ago,great station clean plenty of seats and coolingits a semi open air station wont feel hot as its equipped with the super huge 
2 months ago,very bad experience the malay staff is playing phone and no doing her job probably i already paid rm for my by cash then she said i didnt pay and my balance is not enough but she didnt sayjust waiting and play her phone until 
a month ago,please hire people that can listen and pay attention for more than seconds asked to “tambah nilai” for rm and they gave me a rm unlimited pass then they tell me the transaction is not reversible unconscionable conduct and not consumer friendly
4 months ago,there was a smell of dead rats while waiting for the mrt station i hope the authorities can act quickly to solve this problem otherwise foreigners coming to our country will only think that we have no culture and only pollute the environment
3 months ago,nice mrt station connecting to one world hotel and utama
3 years ago,worlds largest shopping mall one utama is therethis mrt station connection lot of important placesone world hotel and ibm malaysia and big area for car parking 
5 years ago,bandar utama mrt station is the best way of public transport if you wish to go to utama on weekends since the parking here is horrible sometimes theres a bridge that passes through u hotels they will soon have the station connected to the mall itself
2 years ago,great mrt station with direct connection to utama and avante hotel plenty of parking space including parking for motorcycles bicycles electric bikes and electric scooters which is located near the ramp up to avante hotel
3 months ago,this girl staff hijab and glasses on at the one utama entrance so rude we havent be there for a long time how can i know you cant reload at caunter anymore meanwhile other places services still available can talk nicely right i 
5 years ago,getting to the station can be a bit confusing for first timer as it is not directly connected to the utama shopping mall instead you need to go through powerhouse which is not really disability friendly nonetheless it is a great way to reach this shopping mall if you do not wish to spend time to find your parking
6 months ago,so disappointed staff mcm tak pandai buat kerjaa please check your staff to be honest sebab ada foreigner datang dia charge tak ikut harga tetap and baki baki pun kurang sen and the worst part mine was to go to damansara damai 
5 years ago,one of the newer mrt stations sheltered link way to office building then pass through hotel to one utama shopping mall convenient way to travel to beat traffic jam drop at muziu negara which is stops away comfortable walk under shelter to kl sentral most if not all mrttrains can be linked from there
2 years ago,sometimes the mrt breaks down frequency isnt sufficient to accommodate the crowd during peak hourspark and ride available at this station in powerhouse basement currently rm 
5 years ago,modern and clean train station well connected to the one world hotel one utama shopping centre and sri pentas media prima building with fully covered walkway just follow the signboards first timers will have a hard time locating this 
5 years ago,links to major buildings nearby not completed yet when links are open this would be a stars place
a week ago,bad stench at the station air always smells like sewage
5 years ago,mrt bandar utama beside tv broadcast station very convinience and connect to hotel and one utama mall avenue
7 months ago,can i ask is it really syilling cannot that boy at cashier when pm i just take out one five ringgit and two one ringgit bank notes with four cent syilling that boy use the discrimination face and say syilling cannot then 
a year ago,pintu a exit to bus stop mrt car parkpintu b exit to one utama shopping mallone world hotelfirst avenue
10 months ago,worst mrt station i had ever tng reload on counter error and the machine cant accept card plus the counter staff attitude is worst too if you dont want to work then go home we only asking for details shes like halau us we got to walk back to the mall with a long distance and after deal to her bad attitude
a year ago,female only carriagemaybe only operating during peak hours as i still see nonfemale in the carriage
6 months ago,worst employee everi ask the interfrom at the mrt u machinei ask where is the polis bantuan since i dont mnow where is it and she say go 
11 months ago,great office clean and modernamazing view and very friendly teamespecially i like the music not loud and events we have from time to time
a year ago,horrible ticketing kiosks could never accept notes easily sometimes whenever theres a massive crowd only one kiosk working the q is so long for a very very long time no technician would come and check their kiosks unbelievable not 
11 months ago,its getting hard to make uturn in front of the bus station to get into the car park during morning rush hours can we please have the abangkakak polis bantuan back
