date,cleaned_reviews
a year ago,taman tun dr ismail mrt station offers a seamless experience for commuters especially those exploring nearby dining and shopping options the station prioritizes accessibility with wellmaintained lifts ramps and ample parking for 
4 months ago,very rude staff dont want do their work when i wanted to buy token in clasher man from staff refused me and send to machine but this is his work very slow he needed half if minute to start listen me and not his phone also he charged 
3 months ago,very rude drivers and very mediocre service as of late the buses are not sticking to schedule and ive waited almost an hour for the bus to do its round not sure why the bus t didnt do it round at the scheduled time of pm and 
3 years ago,notice that recently the tv screen showing the time arrival of train is not sync different tv screen show different time 
a year ago,clean and convenient access to kim and pasar besar area including ttdi sunday evening market no hassle with a car as points of interest are at walking distance 
a year ago,one of the bigger mrt stations along the kajang line from kajang to here and took about hour
2 years ago,as usual rd class mentality mindset with st class facilitiesinfrastructure the management is terrible as usual not to mentioned on the frequent sudden stop due to signal malfunction in ttdi station and request rider to get down from 
9 months ago,yes theres a bike rack motorcycles park here too though to keep in mind
3 years ago,clean and well managed parkings available too
7 years ago,the station is nice and clean although a bit hot but there is a family mart store
5 years ago,one of the cleanest mrt station and the best because of family mart
11 months ago,went to the counter yesterday morning to purchase a daily pass the malay lady took my card tapped it and returned it to me but no receipt was issued and said nothing i didnt think much and used it right away until the end of the day i only noticed that i was charged normally for rm  
7 years ago,clean on exiting make sure youre either at the glomac side or the taman tun side of the highway
4 months ago,part of the public transport system exits make sure you are sure which exit pintu a or b
5 years ago,this is gate a ttdi mrt station where you get bus you can used by the bus can go starling mall atria mall
9 months ago,escalators and an elevator available so not a problem for people who dont take the stairs staff at the counter is friendly and helpful
3 years ago,a very clean station though the lighting definitely needs to be improved for pedestrian safety the lower lobby area escalator and concourse all need to be brightened up hope the management or station master if there is such a position still take note other than that it fulfills the need it was built for
3 years ago,clean easy to travel 🧳 safe  
2 years ago,works well during the weekend used to have a family mart just outside the ticket booths but has since closed there are now vending machines is working and the other one is just a glorified machine with lcd screen displaying a picture of things sold but doesnt function at all
6 years ago,was here just to pick up my friend got proper place for waiting with security very good its quite empty probably a bit eerie at night got bus mrt also i parked my car at the waiting area near the curve corner mrt bus almost hit my 
5 years ago,facilities was goodtoilet and surau was very clean and there is family mart there
a year ago,aside from the shuttle bus grouse this mrt station is simply wonderful st october the authorities seem to be taking an extremely long time to repair the lifts on the damansara kim side i wonder who is not paying the contractor today 
a year ago,clean and convenient to access all areas
6 years ago,st time try great experiences
5 years ago,although it is very convenient to travel using mrt but the station is very quiet especially at night it is quite scarcely and unsafe specifically to the lady travellers the passengers volume is small at this station particularly as it is 
3 months ago,strong structural vibrations whenever a train passes by
5 years ago,all is perfect except the waiting bays for vehicles are a little restricted not many cars can pick up their passengers as some drivers literally park and wait for lengthy minutes its even worse when it rains
a year ago,yesterday i alighted at this mrt station after having boarded it at kwasa central mrt station what i dislike about ttdi mrt station for two reasons firstly taxis never serve this station for reasons i cannot fathom and secondly the feeder bus leave the station every minutes instead of preferably every minutes
6 months ago,not so convenient drop off after glo damansara
7 years ago,typical kl mrt station so welllaid out familymart has an outlet here so a big plus as a commuter however the location is a challenge when hailing taxis or ubers there are no already waiting taxis no park and ride facilities here
6 years ago,an extremely quick and reliable service linking the hub at muzium station with covered walkway link to sentral the carriages were clean and modern with clear information travel plan panels and announcement by the looks of it this is an 
