date,cleaned_reviews
6 years ago,complete zero pedestrian access this means that to reach the station you have to rely on a form of transportation bus or car or etc complete failed planning with complete disaster for resident nearby
3 years ago,very clean and nice station staff is friendly and nice too but the going up escalator to the station is always under service its frustrating because the lift is slow
6 years ago,connect mont kiara to kl sentral easily by taking bus t from mont kiara to get here then mrt
6 years ago,this station is huge grand impressive see for yourself photos attached it has exits
2 years ago,already closedevery time they do like thatthey closed very early 
a year ago,what is the distinction between a weekday and a weekend the mrt closes at pm during the weekday but the weekend closes at pm sharp 
5 years ago,another clean mrt station you will find instructions in english trains comes on time there is also restroom
5 years ago,poor connectivity you cannot walk to any of the nearby malls despite them glaring at you due to construction works feeder bus service is dreadful bus drivers were seen with their buses not in service whilst engaging in obviously 
7 years ago,not very friendly for people wanting to walk to their nearby destinations if they want to skip taking the bus its also hard for people to pick you up from the station as they could easily miss the entrance mistaking it for the bus entrance
3 years ago,website show got park and ride at station pusat bandar damansara but there is no such parking the map lead me to damanlela open site which parking fee need more than rm per day hopefully mrt website able to update the latest information
7 years ago,great structure for a mrt station newly build with lot of facilities which includes surau prayer place for muslims toilets escalators park ride facility wheelchair accessible lifts entrance toilets also pharmacy watson convenience stores are located inside
3 years ago,i arrive at the counter at pm on the th december requested to top up my touch n go rm monthly two ladies on shift told me that i have to wait for the afternoon shift to come in at pm which is almost an hour away why are 
4 years ago,me and my friend was every day use mrt bus bcz we stay at abdullah hukum and we work at plaza damansara every day we here by early coz we know at after on every min but today we here by until now we have to wait in the bus 
7 years ago,a great local mrt station with feeder buses that take you to kl sentral t and midvalley t it has good connectivity to the surrounding area via these feeder buses and nearby local bus services
2 years ago,the escalator is out of service for quite some time counter staff services are slow as hell staff inside but only one is doing the service the other is playing with her handphone
5 years ago,clean mrt station there are new construction on progress next to the stationnear to dc mall there are free bus at the station to go to dc mall and jalan kasah you can just go there by walking on foot
2 months ago,quit station of mrt
5 years ago,the driver bus t malay girl not good i touch ready i pay ready but she ask me touch again and cut rm from my tg card so total i pay rm from talawi bangsar to dc mall
11 months ago,convenient to get to the mrt thru pavilion mall car park
7 years ago,all mrt stations are well built and magnificent this station has the highest elevation of all stations at m
2 years ago,mrt station that is quite near to the pavilion damansara shopping mall under construction and other prominent malls situated quite high above the ground
6 years ago,convenient location ample space but the feeder bus service are not that efficient especially for those who are using it for working in the morning
5 years ago,there is a bus here to kl sentral quicker than going to sungai buloh and making a roundabout trip
5 years ago,the stop for bus t was moved from gate b to gate a but the signboard for the stop is still displayed at gate b 
8 years ago,this mrt station will have concourse levels and interchange with the sungai serdang puterjaya line
8 years ago,amazing feeder bus available
7 years ago,main stop for the mrt feeder buses esp to midvalley and to kl sentral
7 years ago,highly accessible from desa hartamas via mrt feeder bus clean and spacious station
6 years ago,nice transit station and there is a bus hub here
7 years ago,wait for the peak of its time to come now empty coach
a year ago,station closed at pm tho
6 years ago,one of the malaysias finest rail transit system
7 years ago,the station still new so everything still in good shape
2 years ago,raining heavily so cannot walk to bsc
10 months ago,love it
5 years ago,beautiful rail station and integrated with bus
7 years ago,no park and ride facility at this station
5 years ago,clean and air quality is good
a year ago,is there a park and ride there
11 months ago,great
7 years ago,lots of facilities easy to communicate
7 months ago,rude services
2 years ago,pavilion is on its way
8 years ago,beautiful convenient and spacious
6 years ago,information inside mrt
5 years ago,nice facilities
6 years ago,love it
a year ago,mrt stop after merdeka many man sit in woman coach 
6 years ago,mrt pusat bandar damansara great station for bsc and dc mall
4 years ago,quite central close to bukit bintang mrt and also bandar utama mrt
5 years ago,montkiara
7 years ago,beautiful
6 years ago,modern mrt
5 years ago,the best
