date,cleaned_reviews
2 weeks ago,this mrt system is undeniably one of the best commute options in malaysia the stations are consistently very clean contributing to a pleasant travel experience as a major transit hub in kuala lumpur its incredibly convenient for …
3 months ago,access pretty much easy from mrtlrt maluri nearby bus station and interconnected to aeon mall strategic location but really troublesome in peak periods the crowd is unmanageable
a year ago,maluri mrt station conveniently accessible via aeon taman maluri shopping centre impresses with its cleanliness and spaciousness however during peak periods it can become uncomfortably crowded implementing effective crowd control …
a year ago,taking the train daily to work from this station absolutely horrible experience expect a long queue and long waits bacause in average only able to squeeze in probably after trains passing if you need to deal with the customer …
a month ago,a very convenient station switch to other lane just a little long walk from lrt maluri to mrt maluri but easier transit this station is connected to big aeon maluri very easy access and also mins walk to sunway velocity always be aware of your belongings in train station and out
2 years ago,a mrt station that interconnects with lrt via a connected walkway access also found for nearby aeon mall long walkways have no travelators to assist enjoy the scenery of low cost apartments built alongside the stations
4 years ago,my firsttime to this station get me a bit confusing which direction to go to sunway velocity actually after passed ticketinggate go to righthand directly by elevator to aeon maluri pintu a outside aeon mall and lefthand walk a …
6 months ago,we have mrt maluriampang line mrt aeon maluri green line in this station
a year ago,part of the kajang line this station serves the greater maluri area in cheras dont be fooled by the underground walkway supposedly leading into aeon in taman maluri its just crossing the street over to another exit that takes you to …
a year ago,taking the train daily to work from this station absolutely horrible experience you need to wait long period frequency every minutes is quite long if compared to lrt however it’s convenient to access from aeon malury you also can walk to sunway velocity mall it’s connected with lrt yellow line as you can take to tbs
2 years ago,one of the most crowded mrt stations as it is a convenient connecting station to kwasa damansara and kajang line as it is accessible to bukit bintang area therefore people used it frequently …
3 years ago,mrt station is clean and spacious very convenient too this mrt station can be accessible via many entrances one of the it if the aeon maluri it is also nearby sunway velocity
a year ago,the staff is so unfriendly wont even greet you back greeted her with a hi and stated what i need for help she didn’t greet back and gv me that cold look as if im a nuisance please at least train them to smile and how to treat people in a humane manner
2 years ago,really crowded during peak hours on weekdays clean washroom and you can easily find surau to stop by for pray highly recommended to wear face mask if youre here stay safe everyone
7 years ago,a spacious neat very nicely designed mrt station interchange with star lrt ampang line completely wheelchair accessible as it has its own dedicated wheelchair …
3 years ago,so far so good mrt maluri connect with aeon maluri lrt maluri as usual mrt is so clean the train was on time but sometimes have some mild problems
4 years ago,big station confusing routes inside lrt junction with it clean washrooms clean and spacious area can exit to aeon mall too near by sunway velocity mall and hotel and hospital
