date,cleaned_reviews
4 months ago,its been a long time riding the mrt train and im getting excited  went to cheras leisure mall by mrt the stop is taman mutiara if youre coming …
3 months ago,service person here is useless cant help with card machines are all broken and dont take coins service person refused to help despite situation what a useless human why does he exist here just to deliver news on how useless the mrt system is worst station ever
4 months ago,such ridiculous technicians support staff just chilling there having their supper while another one be sleeping peacefully it was and supposedly still multiple trains available for me to go kajang …
a year ago,the workers at the counter are very nice this place is spacious clean and comfortableonly thing there is no chair for you to wait outside
2 years ago,a well located mrt station that connect shopping mall spacious space with modern design
a month ago,very convenient direct to mall easy access
a year ago,easy access to eko cheras mall and leisure mall walking distance
a year ago,spaces accessible by touch n go …
3 years ago,this mrt station is nice and clean and its connected to different mall in cheras and thats the best about it because if your hungry you buy easily and the good things everything is connected to different shop and easy access to stranportationthe in charge here is nice even the teller of of load card is also friends
2 years ago,well located within shopping malls banks worship places surburbs and schools modern facilities provided along with helpful staffs
5 years ago,place is clean and spacious very convenient as it linked to two popular malls leisure mall and ekocheras
2 weeks ago,on time
3 years ago,nice as always its near to eko mall and also near leisure mall
4 years ago,nice and clean easy to enter leisure mall
a year ago,easy access to cheras leisure mall and eko cheras mall
5 years ago,very convenient station that leads to leisure mall
5 years ago,wrong actual location this part still have to walk m away from station
2 years ago,fast to go many places  …
4 years ago,can reach ekomall and leisuremall
2 years ago,clean and well maintained
5 years ago,can visit eko n leisure a mall
5 years ago,very wheelchair friendly
a year ago,clean and safe
2 years ago,connection to ekocheras mall
3 years ago,go home
a year ago,station is clean
5 years ago,clean and modern
a year ago,useful information for users for your information the mrt line so far has routes which are …
8 months ago,clean and comfortable subway station
3 years ago,its a very convenient mrt station and you can go to many squares
6 years ago,clean and bright station
7 years ago,mrt taman mutiara just distance walk to cheras leisure mall
6 years ago,its okay but its a long way to go
4 years ago,the mens room stinks
