date,cleaned_reviews
2 years ago,the station located near my fathers house parked at dedicated place but it was to expensivefor me personally i left the car about less than hours but i was charged rm it might be cheap for somebut to me that is too much the other …
3 years ago,nice clean spacious practical station serving taman suntex surrounding within walking distance to the proximity of its housing area pasar taman suntexalso with a provided mrt feeder bus for …
3 weeks ago,convenience station to take mrt
6 months ago,very non professional behavior of receptionist she guide me in opposite direction which results in missing my international flight cost myr please trained the staff or give them some gadgets to guide the travellers correctly this hurts alot
4 months ago,parking space extremely not enough for tens of thousands hulu langat people
5 years ago,lack of parking lots update well who doesnt want park inside …
10 months ago,all other stuff like commodities here are sufficient enough and clean with the exception that the security guard or someone else here suddenly started to charge us parking fee out of nowhere heck even willingly to run up and bother me …
3 years ago,seriously guys billions dollar project millions user and yet cant even fix properly the lift cover or whatever you call it 🤦 …
7 years ago,easy access and you can park your car at cheras sentral mall next to it take bus if you are going to alam damai or damai perdana area …
4 months ago,why motor need parking fees
a year ago,pros the toilet is clean surau is tidy welcoming cons the electronic sign showing number of parking available lies do not trust it theres limited parking available
6 years ago,great facilities with a my news convenient store in the station before the entrance only con is limited parking space for commuter traveling further away from the station lots of cars parked illegality just to catch the train hopefully in the future there will be an expansion to accommodate cars
7 years ago,worldclass mrt providing frequent clean airconditioned trains with plenty of space and good facilities at every station perhaps a bit expensive for locals but wellpriced for businessfolk or tourists passengers are almost always wellbehaved and will act politely even during busy times
2 years ago,t bus service reached pm there was supposed have bus for pm but time was change for bus pm in the schedule written many are waiting
6 years ago,u can see and fell the rain going down from the roof and it is not cover the way to bus station
6 years ago,no building parking and the available parking are limited most car are parking by the side road and if you do park by the road side please remember no place any important items such as touch and go card smart tag or any valuable …
3 years ago,station is very strategically located close by are housing area easy access to kl sentral main malls along the way in the cheraskl vicinity like ekocherasleisure mall sunway velocity mytownikea pavilionbkt bintang has bus …
7 years ago,feeder bus available to and from taman kemacahaya parking space very limited full on working days the station should be made more accessible for rapidkl bus users if you get off a bus from the main road have to walk at least km uncovered route to the station
5 years ago,it is easy near to buses and get a lot of facilities such as surau musolla toilet and shop for simple things but the location need to be carefully watched as it is nearby traffic lamp i love it btw
7 years ago,park n ride parking is handled by metro parking with a total of bays at the moment they are not full even at am unlike the parking at mrt bandar tun hussein onn there are not enough seats at this station to rest while waiting may be an issue in the future
5 years ago,traffic light will make u crazy some time small parking is not enough for too crowded area make all street paths small
5 years ago,i tried my first mrt ride to kl sentral just too many stations before reaching destination fare reasonable for senior citizen
4 years ago,excellent public transport got bus you can travel around nearby place there friendly and helpful officer there
5 years ago,nice but no rooftop for people walk to the bus stop during raining days hope it will add a rooftop
4 years ago,suffer when i went to the counter basically they can hear you but you cant hear them unless you stick your ear to the glass
7 years ago,new mrt station in malaysia
3 years ago,not enough car park bays picking up spot is designed badly need turning around few rounds only to find out which exit is the rightful one
7 years ago,feeder bus mrt are very convenient however there is an issues if you want to park your car and ride the mrt there are limited car parks
7 years ago,minits train ride to kl centre limited parking feeder bus go to taman kemacahaya and taman alam jaya
5 years ago,i often come here with my friend syud its usually take time minute but at night why it makes late i dont know it takes time around min above
5 years ago,its convenient it would be better if parking facilities were more
