date,cleaned_reviews
a month ago,i i am a regular mrt user and rely on it daily to commute to and from work however today i experienced a situation that left me feeling disrespected and disappointed …
7 months ago,came here to collect the mrt student concession cards for my kids the girl at the counter was polite …
3 months ago,always full parking especially on weekdays until pm memang c also now they have car plate number scan system like ioi city mall putrajaya yesterday i parked my car from pm till pm i got charged for rm using debit card bloody expensive i felt like the price got increase compared to before  …
2 years ago,clean and safe environment friendly staffs here i came here for my concession card collection just show them the related email and scan the qr link they will give your concession card immediately
4 months ago,parking lots are very limited but service is good star to the parking attendants to improve on the mrt parking entrance as sometimes you got problem to tag using your ic
5 months ago,visited on the morning of and had a very disappointing experience with the lady staff on duty never had such experience with other counter staff despite my polite approach i was met with rude and sarcastic responses this is not …
a year ago,i use to park my car here n take train to my office recently dont know why both parking machine here cant detect my mycard touchngo wasting money for me to get my travel pass to my mycard ps my mycard is new and no problem to use for train
3 years ago,one of the most quiet mrt station ive been to pretty okay but kinda dilapidated not well maintained but at least the escalator and elevator are working would be great if you can lubricate your escalator theres only a single …
4 months ago,not enough parkingprivate parking cost you rm per entry but mrt park n ride only rm
8 months ago,parking always full then park at outside the polis bantuan come and ask you leave then i ask them parking full where i can park they dont know answer me so i park inside the car park nobody guard there i very rush hour to work i see many …
4 months ago,please prasarana handle the car that double park on thr side road at gate a and gate b
2 years ago,this review is more to mrt generally because every step towards every station were sooo easy peasy lemon squeasy theres a lottt of signboard showing mrt direction just follow and wallahh ull get there easily trust me from kl …
7 years ago,a very big station with a few entrances as its over a highway grab car or uber can have difficulty to reach this place as you have to use a heavy traffic back road to get to the drop off area you cant drop off from the highway
6 months ago,convenient and accessible the only comment would be the limited parking space
6 months ago,today the display board not working practically waiting without knowing when will be the next train🤦‍ …
a year ago,the mrt female hijabi staff is increadibly rude and unfriendly speaks in a rough tone and doesn’t reply to thank yous as usual malaysia’s customer service workers always have the worst attidudes making it questionable how they passed interviews to get a job
a year ago,very clean and with lots of parking you pay a fix amount of parking fee if you use the mrt according to the sign there but the deduction didnt show anything so you have no idea how much they deduct overall good experience for a public transport
6 years ago,easy and nice for me to go anywhere nearby kl
a year ago,efficient clean and comfortable only problem its like most mrt stations doesnt have adequate parking bus service is erratic and bad
6 years ago,quite a new infrastructure with all modern amenities a huge building with ample of parking parking fare is about rm if you use the same touch and go card for mrt services and its rm if you only use parking all fees are per entry …
3 years ago,disappointed with the service provided by the staffs we wanted to take the family pass but we were told the system is out of service then we wanted to top up our tng card also out of service went back to the counter to top up and no …
2 years ago,large station with parking lot available and feeder bus to bandar mahkota cheras easy access to cheras high way easy to get grab in driver very convenient the station is well maintained and always clean
2 years ago,facilities can be access easily oku and kids friendly easy to park also with only rmday for mrt user
a year ago,okay so far so good
3 years ago,huge station was here in sunday paid parking almost empty but the free parking lots are full regular paid rapid kl and free selangor buses plying the residential areas to the station
5 years ago,clean decent mrt station there is a convenient store inside the station does not have enough parking spots which makes it inconvenient other than that its a decent mrt station that is position in the middle of a residential area to cater for the local residents there
7 years ago,new line has been added to kl transportation hub very fast and very clean too one thing i did expect is if you want go for ride from kl central prepare your self for almost meters walk
2 years ago,time pm staff female fat front counter …
a year ago,very clean and well kept station with safety features and good signages
a year ago,clean toilet and prayer room available escalators works lights at pickup point works at night
