date,cleaned_reviews
2 weeks ago,thank you so much arif for helping my mom on mar when she couldn’t contact anyone i really appreciate your kindness she told me you tried to help her reach someone and that means a lot to us
2 months ago,the worst service ive experienced i asked for a daily pass and she told me it wasn’t available due to a shift change i don’t think that’s the real issue—it’s that she was unprofessional other mrt stations don’t seem to have this problem
a year ago,ideal for folks who currently live in mahkota cheras or sungai long area only need minutes depending on the traffic to reach this station …
7 months ago,ive been here to ride the mrt and to pick up my friendsfamily overall the experience has been pleasant but there are some improvements that i wish to see firstly the frequency of the bus has to be increased it is at …
2 years ago,location and service of mrt is at par in other countries i do have experience train ride in korea glasgow efficient
a year ago,the place is convenient and nearby my housing areas clean and the most strategic for commuters
5 months ago,always clean and not very busy most times line will take you directly to cheras mall trx mall or kl sentral
9 months ago,place where i met with my scandal here lol its silent place location for mrt station bukit dukung there is place where you can pi for grab from this point
10 months ago,the parking indicators are broken since yrs ago the indication board always shown full you hv to go up to level only know you hv luck to park your car or not …
4 months ago,next to petronas pump station easy to drop off someone
5 years ago,there are three mrt feeder bus based at this station namely t t and t t will go to bandar sungai long the bus terminal is between the station building and the parking building so it …
a year ago,already more than one week and your elevator to kwasa damansara has not been fixed i work before in singapore and they fixed under days whats your excuse here malay people work life balance is not like this manager sleeping is it
a year ago,its wednesday pm and the parking lot entrance was blocked with an a paper sign that the parking lot is full i drove all the way from btho station to here since the same thing happened there am i out of luck or the management just blocks the parking lot at certain time and capacity
2 years ago,good management people quite many here so if you have to wait for someone to pick u up its okay because youre not alone
7 years ago,very huge and modern station very comvenient
6 months ago,easy to park plenty of access my only gripe is its a bit dark when at night
2 months ago,well maintained and great facilities
a year ago,mrt should repair the tng top up machine for convenience of customers
a month ago,the bus is not punctual always late
a year ago,yet another largely clean public transport station being part of the extensive kajang sg buloh line transversing downtown kuala lumpur station was clean as a whole and toilets were also well looked after generally the surauمصلى too was …
a year ago,poor parking management limited parking but yet act like they own the place while knowing people are paying for their monthly passes many empty space that can be safely parked …
3 years ago,escalator going down not in order last saturday some area are leaking ramp going up parking on st floor and above is narrowly small big suv need to skill drive up no security guard sighted in parking area so security was questionable since the parking area quite secluded
5 years ago,big station but shuttle bus do not have a fixed departure times students are left waiting
a year ago,this is one of the mrt stations that people solely use for parking and transportation so it doesnt have many shops inside only one shop that just opened a few days ago …
6 years ago,convenient and clean but google map hasnt provide mrt path yet
5 months ago,environment quite hot friendly staff
2 years ago,so happy to see a new modern and clean mrt in kl but the ticketing a bit boleh …
2 years ago,the mrt bukit dukung is a wellplanned station when taking the mrt or alighting it escalators and elevators are in place to make your journey easier and comfortable feeder buses are also available to transport you along the routes it is serving i have been here at the mrt station many times
2 years ago,if you dont have cash u couldnt do anything just need to go to d petronas next to d station and if if if atms working there then u can buy d tickets or topup ur tng card or otherwise u dont have choose there
10 months ago,need more buses awesome escalators btw added some shades to my hand
4 years ago,i love taking mrt it it fast and convenient this mrt station is oku friendly and easy to access it have shuttle bus that transit to nearby area if your area is not covered by busyou can take grabcar too it have parking lot to park your carhowevermost of the time it is full
2 years ago,a very quiet met station on weekend
a year ago,not so crowded but many lighting needs maintenance very quiet and darkness
6 years ago,the carpark is usually full during weekdaysoffice hours and the parking sensors dont work so even if it says full it may not be its quite confusing to find the door to the mrt i dont know who designed the signboards but its a bit …
10 months ago,theres park and ride covered parking available convenient and cost efficient public transport
7 years ago,this place i just open recently facilities are still new need improvement in cleanliness
a year ago,very clean and neat station  well manage im giving stars for management and staff are super helpful and its really important to ask for reconfirmation of your route and direction …
2 years ago,not enough parking bays the signboard no longer shows how many parking bays available a lot of wasted space meant for commercial in the station once again govt fails it planning
6 years ago,aug the terminal is clean and roomy with big hall able to cater for higher traffic …
6 years ago,leaking everywhere toilet and surau not in good conditions lighting really bad dangerous for girls to walk alone there are so many hotspots where you can even have sex without being caught
3 years ago,clean easy park roofed parking spaces
7 years ago,super convenient for sungai long people mins interval of buses after a train ride from hustle bustle town trip should have some convenient stall setup too this station comes with a covered mutistorey car park at rm flat rate if using touch n go card
7 years ago,loved the mrt train system and services train comes very frequent very clean and very cold inside the train the shuttle service to and back to mrt station is also very efficient way to go keep up the excellent service …
3 years ago,the t bus really slow the t bus pm depart but the t bus oy departs at pm the bus driver is so lazy needa wait for almost mins the t driver should definitely learn from the t bus driver duhh its already phase now please increase bus frequency
4 years ago,this mrt carpark will test your ultimate driving skill before going to first floor because its opening is the world class design make sure you drive a small car else any mistake made and your car will be scratched
7 years ago,there is a tealive outlet at the station can order one while waiting for bus back to sungai long there is a quickmart as well small shop like eleven got touchngo reload service as well but still need to charge sens dont know whats the point having it while there are touchngo auto reload machines just beside it  …
3 years ago,clean services is nice the staff is good bus services provided also okay need to have more shop lots to like e or something
7 years ago,the place is clean theres is a tealive and a small convenient store in this station currently the carpark comes with around lots so its not exactly large
2 years ago,bus timeslots are inaccurate bus drivers miss them often and will gladly let a giant queue form before allowing to board
5 years ago,clean spacious n new station toilets can be improved a convenient shop n a tea shop available in the station too
5 years ago,good place for boxing fully equipped
a year ago,lack of parking lot toilets are so smelly bad smell outside the toilet lift sometimes broke down
2 years ago,my regular visited station limited parking spot and need to arrive before am to get a parking lot hopefully there is a miricle to get more parking lots
5 years ago,mrt station alternative route for me from sg long buses to sg long and utar sg long leaves here however this station is very notorious for its leaking roofs and sharp and narrow ramps to its limited level parkings not a well designed mrt station
5 years ago,your typical mrt except here got a tealive store this station is where u get off if u want to go to bandar sg long theres a bus direct to the town centre
a year ago,spacios and clean surau toilet quite okay but waiting time for feeder bus makes me go crazy🥴🥴 …
7 years ago,very cleantoilet n prayer room so clean near with my home and that easy for me go to kl without driving own car
2 years ago,i like it because has park n ride hate the park n ride got full after am even double parking spot also full no chance at all
2 years ago,vae always do not pick up passengers…what is your problem bus driver taman sutera —bukit dukung
7 years ago,clean and new provide great accesibility from sungai long to multiple places howeverstill rather quiet not many people during normal days
6 years ago,well maintained and easy to reach from kl sentral need to get levels down for station muzium negara ticket fare is rm
6 years ago,easy access towards utar and sungai long area mrt shuttle services are fabulous there is big mosque also beside mrt station
a year ago,fast service not confusing convenience store provided inside of the mrt
2 years ago,frightened have a motorcyclist following up to parking every floor i up bcos carpark full so on half way i return to park the ground floor
3 years ago,comfortable because less people taking the lrt here compare to near town mrtbut not confirm to get seat …
2 months ago,convenient way to get to town
6 years ago,large and spacious parking for cars is always full motorcycles has lots empty great for commuters
2 years ago,clean and well maintained you can connect any part of the city from here
7 years ago,very neat and well maintained theres a convenience store right next to the entry lanes to the platform and ticketing services are extremely easy to access
a year ago,good but too little parking lot has to come early
6 years ago,some area near entrance is a bit dark and scary to walk by especially at night and early morning nice tiles for floor finishing but a bit slippery when wet
5 years ago,bukit dukung mrt station the mass rapid transit station in bukit dukung southern part of cheras nested within kajang and seri kembangan the station is located at sungai balak interchange of the cheras–kajang expressway and kajang …
a year ago,the parking should have proper upkeep instead of with droppings everywhere not well lit
4 years ago,the bukit dukung mrt station is an elevated mrt station located at the southern part of cheras – kajang expressway the place is clean and well maintained
3 years ago,thumbs up to all the bus captain here friendly honest and helpful have delightful experience dealing with them
7 years ago,interval of the buses to bandar sungai long are very long at the night especially during the weekend last week i had waited the bus for almost minutes
5 years ago,a star goverment transportations project for the rakyat hope the rakyat know to take good care of the facilities provided
7 years ago,convenient to park tealive available at this station be ware not to park over pm they will charge crazily expensive
2 years ago,many people get off here and grab still accept request from here at night waiting place has light
6 years ago,clean and safe station you got tea live and mynews type of convenience store ample parking area
6 years ago,ample parking space on sundays slightly less on saturdays and definitely full house on working days have frequent shuttle buses
7 years ago,convenient location compare to the two neighboring stations at kajang and bt less jam parking provided complete facilities
5 years ago,feeder bus for sg long should be more frequent even at pm due to heavy movement of utar students
6 years ago,road is wide but malaysian always take advantage of the spaces to park wait to pickup their relatives friends causing inconvenient narrow path for shuttle buses to drive through
4 years ago,before station sungai jernih got a nice parking placemany people park ther and take train to work
7 years ago,nicely build but no dustbin less shop no atm machine less service accept the train is good
6 years ago,nice clean better ask friends to pick you up from here shuttle bus is rare
6 years ago,the place area is ok its easy to get a grab car theres another public transportation too like buses taxies
a year ago,best mrt near my house in malaysia now i am in usa
7 years ago,accessible occasionally having water leakages but otherwise efficient should implement a bus time schedule
2 months ago,very nice place
5 years ago,a big space for waiting area comfortable and easy to reach shop or restaurant not crowded
7 years ago,convenient rail transport station
7 years ago,well lit and have large bay for parking for users staying around the area recommended
3 years ago,same like other mrt a public transport which is quite efficient but not efficient enough
2 years ago,bus change the schedule without notice leave earlier than the schedule time elevator not fix for months
6 years ago,big and convenient lots of parking space and easy to drop off passengers too
7 years ago,multilevel parking available but usually full on weekdays easy access to board the mrt
4 years ago,like other mrt but really hot there since they turned off the fans
7 years ago,very few parking spaces but taking the feeder bus was fantastic very efficient service
5 years ago,very clean fast transportation but always have water leakage on some spots of the rooftop
4 years ago,convenient terminal for mrt brt access still new and well maintained for now
a year ago,just disappointed you had one job and one only
a year ago,limited free parking space for car have bus station below it
7 years ago,pleasantly new and served by transitory bus to taman sutera every mins
7 years ago,very good station but need to work on rain water drainage
5 years ago,everything is okay but improve your leaking problem and renovate your toilets tq
7 years ago,nice place but dont have waiting chair in main lobby
7 years ago,a metro station which provide huge parking building very convenient to park n ride into the city centre
7 years ago,station and train are great could use some extra waiting areas for pickups
7 years ago,bukit dukung mrt station with mrt owned multi level car park rm flat rate if using same tng card for parking and mrt ride
4 years ago,got alot of parking lot there no need to worry about parking anymore
5 years ago,clean and safe station theres a convenience store and tealive here
7 years ago,a lot of parking space available easily accessible and accurate runtime throughout the day
6 years ago,mrt systematic waiting time is fast so does the feeder bus
7 years ago,lots of parking space and covered car park available with or convenient stores
4 years ago,travel going to work or leisure so convenient for family friends   …
6 years ago,train on time toilet bersih bas jew lambat
7 years ago,nothing much at surrounding thats good will always have parking space and not congestion
7 years ago,cleanfast convenient
5 years ago,comfortable prayer room for muslim clean toilet
7 years ago,ample covered parking space accessible from silk towards kajang
6 years ago,everything is usual there the staff is very patience and attitude is very good
6 years ago,the bus schedule yet to improved for better waiting time
4 years ago,not enough signages to ticket area from ground floor main entrances
3 years ago,quietly and very clean station place
7 years ago,appreciate the parking spaces and shuttle buses provided for mrt user
a year ago,the most clean mrt station
5 years ago,no restaurants nearby but the buses are very on time here
7 years ago,nearest mrt station from utar t is the bus from utar to the mrt station
3 years ago,i have no idea wanted comment about this everything are completed
7 years ago,plenty of parking lot train punctuality so far so good
7 years ago,everything is ok without bus drivers are so lazy
7 years ago,there got bus to utar sungai long campus university
6 years ago,train ride is ok but limited parking lots for cars
6 years ago,a bit dark at night parking always full on working days though
5 years ago,convenient with parking but the parking is full for most of the time
7 years ago,convenient rail transport station
2 years ago,bad lighting not enough parking bays
6 years ago,careful with leaking roof during rainy days
7 years ago,very convenient and the train arrival time is timely
7 years ago,cool and enjoy not during peak hours
11 months ago,parking would confuse you
2 years ago,clean and nice mrt
6 years ago,very efficient feeder bus service
9 months ago,less shop
3 years ago,good for taking mrt nothing much
4 years ago,near to my house got many parking here
5 years ago,clean huge punctual lift good facilities
7 years ago,it is convenience and having a car park
3 years ago,idiot shut all the escalator travelling down
7 years ago,super large station got tealive
7 years ago,nice experience
5 years ago,carpark doesnt have enough spaces
7 years ago,bus available to and from utar sg long
8 months ago,excellent
7 years ago,clean n very spacious
7 years ago,st class public transport by government
7 years ago,parking always full during working hours
a year ago,ok
5 years ago,this is a mrt station is a nice place
6 years ago,nice to have a tealive there
7 years ago,nice there is a tealive there
7 years ago,lot of parking convinience place
7 years ago,the first mrt stop from sg long
6 years ago,nice view
7 years ago,i saw some leaking on roof
6 years ago,so far so good
6 years ago,st class public transportation
4 years ago,clean train on time
5 years ago,have many parking lot
6 years ago,lotsa parking space
3 years ago, …
7 years ago,new facilities
5 years ago,have parking lot
2 years ago,nice place
6 years ago,clean
6 years ago,best
a month ago,the shrine is there but the door is locked ask the counter and he said the shrine has a problem please fix this problem as soon as possible its annoying if you want to get off at the next station just to pray also if anyone has to reach the station before dawn
2 months ago,strange experience asked to change small change because i wanted to buy a token the answer i got at the counter was no there is small change at am
7 months ago,please note that rapid kl has a parking lot but the parking system is problematic he said that due to the tng chip of the new identification card failing to be detected when entering the parking lot train users had to use another tng …
8 months ago,hahaha start from form to form really take the mrt bus miss waiting for the bus sometimes there is no bus at in the morning just come back and wait for school …
2 years ago,bukit dukung mrt a stop that sgt has a strong and safe strategy and organizational structure for riding the mrt here
7 years ago,facilitate travel to kl and places along the route the itinerary of the intermediary bus needs to be improved
5 months ago,toilets are clean and the surau has a clean telekung
8 months ago,we drink first while watching the ball then the mrt until we go up
a year ago,lets wait for the train kajang line is arriving soon …
2 years ago,the place is quite quiet you have to be careful the place is clean pickup grab is also easy but thats what i want to order hati there for women because the place is quiet careful k
5 months ago,l parking lots of birds
a year ago,the average passenger feels appreciated including me the service regarding information and travel time is easy to understand
10 months ago,harei who takes care of the counter can afford it i was angry that he responded
7 years ago,the roof in the concourse still leaks when it rains last time you built didnt you check and fix it it seems that there is a long time to fix that trivial thing before it was launched last year …
6 years ago,this station is over designed change the peoples money the cleanliness of the toilets in the station is quite ok but why are the toilets in the mrt parking lot closed its really stupid the staff there chats more than hitting on customers its true
3 years ago,its ok its easy to park here for the roadbut you usually have to park on the upper flooras many are fullanything depends on the placeso far its okthe workers are also okthe toilet is also ok
2 years ago,the schedule and discipline of bus travel on time should be prioritized for public comfort and convenience
3 years ago,the convenient kajangsungai buloh line mrt station and there are buses to and from sungai long town
2 years ago,ok je cuma kalau parking sni kne byr mahal la haha
7 years ago,i like the staff there the communication and guidance given when i first used mrt was very good thank you all
4 years ago,easy and close the place is spacious and there is tealive in this mrt station
6 years ago,why are there so many leaks in mrt bukit dunguk so sad that the place that is only a year old has a lot of damage
7 years ago,the mrt station is fully equipped there is a multistorey car park intermediate bus facilities for nearby places
7 years ago,an mrt station that caters to the nearby kampung sungai sikamat taman koop cuepacs taman rakan bandar sungai long residential areas
7 years ago,mrt says motorcycle park for free mrt users do you want to pay hamlau has a policy
5 years ago,as this is the vehicle i used first when asked by someone who is not on my side
2 years ago,it’s strange that the escalator coming down from the mrt is not open every time …
7 years ago,very comfortable parking and strategic entrance and exit
4 years ago,congratulations to my boss for providing the best facilities for the people
7 years ago,the elevated section has beautiful scenery convenient parking at the station and a neat structure
5 years ago,easy parking only the doors stairs have no clear identification
8 years ago,mrt bukit dukung another facility for public transport people
5 years ago,mr bukit dukong really makes it easier for the public
6 years ago,comfortable the best facilities lots of parking available
7 years ago,installation of signboard and barrier
7 years ago,cant buy round trip tokens
6 years ago,this place is in the heart of the capital kuala lumpur and has everything you need in terms of unique gifts for your family and loved ones
7 years ago,its called the mrt stationwhat can you expect
5 years ago,you can handle it but not all shops are open
5 years ago,bole lah deket dr rumah bole bantu nak mane mane
5 years ago,i like going everywhere without waiting a long time
7 months ago,ok la
6 years ago,there are not many people at this station the environment is relatively clean
4 years ago,the xreti fan wants to install hot air
6 years ago,it was good it was close to home and it spared me the need to use the car
6 years ago,public transportation to kl kajang and bamboo river
3 years ago,a convenience for malaysians
5 years ago,parking is difficult to get up with outlander
7 years ago,later there will be time to take the mrt from kajang
5 years ago,best new ade bus march
3 years ago,ok clean
6 years ago,clean and safe mrt station
3 years ago,clean and comfortable best
7 years ago,the best facilities use them as much as possible
2 years ago,near uncles house
6 years ago,comfortable and clean
6 years ago,there is easy parking to the mrt
7 years ago,it’s nothing the bus has been waiting for a long time
5 years ago,the facilities are good
4 years ago,lots of elevator mirror seizures
6 years ago,very fun and stunning views
5 years ago,very easy to visit
5 years ago,easy spacious clean top
a year ago,connecting people
7 years ago,there are never many people
a year ago,oh kajang
a year ago,close to petronas
4 years ago,easy way kajang
7 years ago,so convenient
2 years ago,there are lots of buses ready here
5 years ago,quiet as usual
7 years ago,need more signage
4 years ago,clean luvvvvv
a year ago,there are petronas
a year ago,best facilities
7 years ago,youre a jerk here
7 years ago,parking is sufficient  …
7 years ago,its okay
7 years ago,many entrances and exits are convenient
7 years ago,best
7 years ago,mass rapid transit station
7 years ago,new
5 years ago,palm pasoh satu …
7 years ago,comfortable shrine
6 years ago,clean place
4 years ago,metro station
7 years ago,the best shrine
3 years ago,okkkk
7 years ago,very clean
6 years ago,parking lot the best
3 years ago,lonely
5 years ago,best
3 years ago,ok
3 years ago,clean
4 years ago,tuesday
5 years ago,i invited
7 years ago,tea live there …
4 years ago,very few people
3 years ago,clean
4 years ago,angt is stupid
5 years ago,excellent and comfortable
3 years ago,best …
5 years ago,convenient
7 years ago,very convenient
6 years ago,look at the scenery
6 years ago,there is tealive
5 years ago,places to eat
5 years ago,lu
6 years ago,mrt
6 years ago,kajang malaysia
6 years ago,mrt is so cool
6 years ago,typical mrt
4 years ago,mrt station
5 years ago,clean
7 years ago,clean
