date,cleaned_reviews
a week ago,do not enter level on mrt parking i accidentally get into level and i realized the lift button is not working and end up getting stuck i’ve been stucked for over minutes and still not answering on the intercom… so to anyone who …
2 months ago,indoor and outdoor parking spaces available with a flat rate of rm if youre paying using the same tng card for mrt during weekdays however expect the parking spaces to be full before midday need more parking spaces
11 months ago,i wanted to buy token from the counter for myself and my daughter the counter ask to go to the machine and claim only warga emas can buy frkm there i explained that there is no one at the counter and long queue at the machine and buy …
3 months ago,not enough parking space for mrt usersbefore am multistorey and open parking full already previously can park rm behind the restaurant but now owner not allowed anymore park beside mrt building the management want to clamp tyrethen where to park
6 years ago,good and modern station but hope the authority will improve on more parking space despite there are parking lot multistorey and open space but only of those is open for public the multilevel parking opposite …
5 months ago,no atm can topup tng on counter nor at the machine have station to pay summons …
2 years ago,very convenient clean and well maintained parking is well lit toilets available theres a multi level parking and outdoor parking available
2 months ago,bagus parking inside and outside is about rm per entry very spacious
a year ago,ample parkingsindoor outdoorsnear lotus mallthai food restaurantnear bandar kajang
a year ago,the facilities are wellkept and there are plenty of parking spots although if you ride a bike there are not many free parking options aside from the spots under the bridge around the seating area quite crowded on weekdays the …
5 years ago,its bad day for mrt on the train service was down for a long time queue was very long and crowd was agitated and place was packed to the brim its at these situations where the true worth of a systemcompany is tested and today …
5 months ago,thanks for the counter abang who helped to keep my handphone which i left at mrt station really appreciate him  …
7 months ago,have convenient store inside to buy some snacks or drinking water can topup ur tng at the counter clear indicator for what terminal u want to head on
7 years ago,newly open mrt station that connects kajang to kl and damansara well designed structure
11 months ago,the early s this place was an origin business or compound for timber processing also surrounded with all kinds of villages including kampung asrah just beside this station along with that nearby with kampung sungai kantan
2 years ago,a very spacious and clean mrt station its one station away from kajang good facilities and friendly staff but it feels not well used by the local community maybe because many are dependent on their cars and motorcycles
8 months ago,got down here from trx the mrt customer service was excellent very helpful as i am old citizen and first time using this public transport thankyou
2 years ago, all of the facilities are still in great condition glad that we could have mrt in our public transport system it is much reliable compared to ktm keep improving our public transport so that we can be like the other developed countries
8 months ago,i take this station regularly to kl and ever since the trx line was built it’s been convenient
9 months ago,need more parking spaces too small too pack always full and lift always out of service
2 years ago,great parking value for mrt users myr for the whole day its very convenient for commuting the only downside is that you have to come very early in the morning for the most convenient parking spots
4 years ago,clean and well managed and the staff are helpful too but i dont like that the waiting area downstairs underneath the station is sooo dark very poor lighting it doesnt feel safe for solo commuters to wait around there in the late hours
3 years ago,nice and clean station well maintained i regularly commute from here and so far the mrt was never late i also have not noticed ant technical problems at this station however one downside is that there is only one small shop at this station
6 years ago,the station is convenience the toilets and the prayer rooms are clean the station is equipped with convenience store and multi storey park and ride also self service ticket machine and touch and go top up machine the staffs are very …
a year ago,i would like to thank you to staff name cik ain for finding my lost phone very fast response will always thank her and her team for helping me
a year ago,very big convenient and the staff is friendly
a year ago,the station is clean and well maintained but the service of one female staff quite reluctant to help and ask to proceed to machine instead
5 years ago,less crowded and find a parking place is not a problem but the way to exit the parking is a bit complicated toilet cleanliness should be able improved further customer service staff at that time was not as friendly as i expected
3 years ago,overall good facilities clean toilets and prayer room have connecting car park escalator going up not working at gate a at the time of visit
6 years ago,got parking space up to level if come around am weekdays parking level full convenient parking level because this is where the gate is located have to go up down stairsliftuse same tng card rm parking charged full …
3 years ago,almost other facilities is good but the female toilet are so gloomy and the layout make it too condensed another issues is whenever its raining heavily ull see water dripping from the roof almost scattered everywhere hope the management …
a year ago,very convenient station but the counter service needs to be improved especially service during shift changing shift transition should be done without any gap in between
a year ago,i only knew is the parking didnt show upstairs still have any available of parking so no need drive all the way up n so dangerous for lady in one person
6 years ago,very beautiful and clean there is a very huge parking lot linked to it but you need to be very early to get one during weekdays very convenient for park and ride to avoid the jam in the city very accurate display on the arrival of train
2 years ago,every morning at this mrt sungai jernih the que to activate the my pass at the counter is long there is only one counter open i suggest to open counter an extra counter in the morning as to activate the my pass is at the counter the …
2 years ago,ppl ard saujana impian prima saujana use this mrt so parking is a premium be early or there is no parking u cld go to the bldg next to kpj kajang and park there open car park with attendants rmentry
5 years ago,the place is hasslefree not too many people but the problem is surrounding the buildings there are a lot of stray dogs i …
3 years ago,very huge place easy to access can park your car on the provided parking space then proceed to use the same tng card to ride mrt trains surau and toilet easily eccessible and in good condition
7 years ago,clean well managed station this station located very near to kpj kajang specialist hospital at around meters walking distance and around meters walking distance to tesco and shophouses …
2 years ago,a frequent user here place is quite clean not too crowded except peak hour if u wanted to board from here parking is provided with a fee
6 years ago,for those who want to use the toilet insife the platform most of the time a water shortage sign is being put there youll have to go out of the platform and to the station park and ride to use the toilet and unfortunately for men only one stall is available with the other stall is reeking with smell and clogged
a year ago,been using this station since the day it open the toilet near the parking broke down in their st year operation but never got fix till this day 🤭 …
7 years ago,nice and clean train station with good mrt bus connecting services easy to get uber or grab with very low prices as it connects to main highway making it much easier for access to facilities
3 years ago,good place with spaceful open parking space for
2 years ago,one month free ride to putrajaya sentral enjoyed the ride from kajang to putrajaya sentral reached the destination within hr
7 years ago,the mrt trains have been designed impeccably and the stations are very spacious the journey to kl at nights can be tad lonely but the assurance of safety yet remians
2 years ago,if you want a parking place do come early they have a multi storey covered parking as well as an open space parking at the back but the place can be fulled
3 years ago,clean environment only has a single shop and they charge at higher than usual price the parking for motorcycle are free unlike mrt kajang
7 years ago,its schedule is followed accordingly exceptional for technical issue it is normal when it comes to technical things they slightly delayed mrt can be improved if they equipped us with more stalls and atm others is superb
7 years ago,nicely designed and builded station need some staff to be around the touchngo entering gate as there are few irresponsible users dont have enough balance and hold up long queue behind very annoying
5 years ago,good location with many parking spaces located near to hospital i hope they continue surrounding project especially the abandon building beside the station
7 years ago,convenience for car parking in kajang areadue to your car will be protected with cctv guards rain not like in stadium kajang station which is the car park area are open space and at kajang station it quite packed with users from ktm komuter user also
2 years ago,everythings ok except for that one broken escalator hopefully they will get it fixed by jan as stated on the notification
7 years ago,very clean place mrt makes it very convenient to travel to the city spacious trains and station maximum wait time is only minutes
6 years ago,its big clean and it has a parking lot nearby and a convenience store inside the station if you are thirsty or hungry for some snacks
7 years ago,the mrt sungai bulohkajang sbk line the first line of the klang valley mrt project implemented is the km mrt …
6 years ago,clean toilets and clean surau if you want to park your car here come early it gets filled very fast on working days
a year ago,if you are late there is no more space for covered parking you must parked right beside the covered parking and your car tend to bake in the sun
a year ago,super place but the customer service was not so helpfulmaybe for st time visiter will have some confusion
6 years ago,its hard find parking on weekdays so be early otherwise the place is clean and nice the prayer room and the toilet are very clean
7 years ago,one of mrt station with park and ride facility just make sure to tap your touch ‘n go card when entering parking area and use it to ride the mrt you will only be charged at rate of rmday when park at the facility
6 years ago,has disabled facilities parking lots kpj hospital in kajang is located adjacent to this station more stations to ktm kajang station and one more station to stadium kajang and enjoy satay kajang
a year ago,usually use this mrt station due to the nearest station to saujana impian strategic location and also nearest to lotus
2 years ago,have two platforms one to station kajang and the other to town so take the correct escalator
5 years ago,park and ride convenience train schedules are on the spot entrance and exit to parking area is quite a hassle the best transportation so far
2 years ago,the turning point to pay parking is the worse design ever this problem have been there for ages
4 years ago,station is very very dusty due to the construction beside the station lights on certain part of the station was also not switched on which makes the place gloomy
7 years ago,a new mrt station when i went there it was almost spotless clean clean toilet too very high class look of an mrt station
5 years ago,good facility for commuters ample parking place here less crowded traffic herr compared to mrt kajang n stadium kajang
7 years ago,parking available here with touchngo only rm else park outside at rm can reload here and there’s a convenience store inside too
7 years ago,i have been using the park and ride facilities for almost two months now and in totally satisfied with the guarded and gated parking facilities that mrt corp has kuddos to them
7 years ago,modern and newly built it resembles the new proud of malaysia and provides ease of access for the locals congratulations and thank you malaysia  …
a month ago,very clean environment
5 years ago,ample covered parking lots attached to station easy to get grab driver during peak hour
5 years ago,a lot of parking space those form batu saujana impian sg kantan and related area are suggessted to use this facilities
a year ago,kajang line is the best super clean and mostly on time
5 years ago,less crowded and have multiple parking space need to improve on the cleanliness of toilet and surau
7 years ago,car park open up till level only
4 years ago,mrt station from kajang to sg buloh very inconvenient for whom whose doesnt want to stuck in traffic jammed
a year ago,always use this transportation for mrt kajang line to other station as well
5 years ago,spacious clean but the staffs manning the counter are more interested in their hand phones
6 years ago,to find a parking spot especially in the morning is quite challenging facilities are good and the train arrived on time
7 years ago,station design could have had better rain shielding knowing storms we get here in malaysia
2 years ago,parking easy the only during drove out exit not clear at level
7 years ago,clean and efficient mrt station cark park available nice view from the train
a year ago,the place is clean and has a small store where you can buy snacks
a year ago,no sungai is visible here lots of stray cats and a monkey
6 years ago,get off this station if you are headed to the pejabat pendidikan hulu langat which is about meters away
3 months ago,well maintained
2 years ago,ample parking convenience near kpj and food stalls
7 years ago,its very convenient the place where i always wait for my schools shuttle bus
7 years ago,good rail station
7 years ago,station where is so near to stadium kjg no need i think since it will drag the time  …
2 years ago,spacious parking less people clean place
5 years ago,no hassle free from traffic jam easy to drop and pick up passengers
2 years ago,nice and clean only i bit dark on ground level
5 years ago,friendly staff good location for drop off and pick up passengers
6 years ago,its little bit scary in the night but the environment and facilities is superb
7 years ago,great for people living outer kajang park your car and move hassle free
4 years ago,alot of parking and can go via mrt train saving money abit
7 years ago,the station is well cleaned train comes right on time and the next train is only a few minutes away
7 years ago,the mrt station near my residence that connects kajang to kuala lumpur an onwards
7 years ago,near to kajang mrt and ktm station have good facilities all over
5 years ago,ample parking for cars and bikes okupwds friendly
6 years ago,has good parking space compared to other mrt stations
2 years ago,so conveniance to get the mrt huge car park
6 years ago,convenient train station that have adequate facilites with spacious space
4 years ago,on weekdays u need to arrived here before am or after am to get parking inside
5 years ago,new station clean n neat but staff acts rude
6 years ago,relatively new station with basic necessity toilet surau multilevel car park
5 years ago,nice clean mrt stesen
2 years ago,at least lift area are brightly lit up
7 years ago,good customer service and a clean environment train arrived on schedule
7 years ago,very near to tesco kajang so no need to take the bus from here
2 years ago,very neat and clean and easy to use and cheap
4 years ago,from monday to friday travel going to work really good public transportation  …
7 years ago,clean and well maintained car park and station facilities
7 years ago,surprisingly the long distance between bukit dukung and sungai jernih station
5 years ago,gets me to my medical appointments fast and hassle free
2 years ago,a lot of parking space no issue for now
5 years ago,peaceful and easy to park have a lot of guarantee parking here
6 years ago,very clean station convenience store is very convenient
6 years ago,new and shiny mrt station everything is working fine
5 years ago,nice mrt station in near kajang town
7 years ago,clean and systematic love its flat rate parking
7 years ago,convenient for park and ride ample parking spaces
5 years ago,clean no other words just wishes they have more shops
5 years ago,conveniently located clean needs more lighting early in the morning and at night
6 years ago,save place n the mrt staff also very helpful
5 years ago,got to go with save your moneyenergy and time use mrt with their promo card
7 years ago,good rail station with sufficient parking space
7 years ago,the convenience store at this station is too overpriced avoid at all cost
5 years ago,the best
5 years ago,poor design with no clear instruction how to get to the station from parking
7 years ago,ample parking space modern and easy access
2 years ago,have a convenient drop off area
3 years ago,clean tidy  …
6 years ago,lots of parking but nowadays always full at am
7 years ago,easy accessx yah naik turun tangga
5 years ago,its one of the three mrt stationsnin kajang
4 years ago,clean huge new norm practise perfectly
7 years ago,normal mrt station which lead to kpj hospital and other place
7 years ago,excellent staff over there is friendly
7 years ago,exit is a bit confusing but lots of parking and clean
a year ago,well managed and clean
6 years ago,easy transport ever i love it
a year ago,great transportation facilities
7 years ago,nice nd very silent station
5 years ago,clean i always prefer clean facilities
3 years ago,very clean and good ambiance
7 years ago,excellent facility world class
6 years ago,same with other mrt station very clean
7 years ago,clean mrt station with friendly staffs
7 years ago,very convenient mrt from kajang to kl
5 years ago,ample multi storey carpark
7 years ago,i like this mrt good to journey
7 years ago,lets see if its up to the standards
a year ago,realiable
2 years ago,clean mrt station
7 years ago,v good
5 years ago,near to tesco kajang
6 years ago,fully equipped for oku
8 months ago,sip
3 years ago,nices mrt station
9 months ago,nearby
7 years ago,easy and god services
6 years ago, ok …
7 years ago,convenience mrt stations
6 years ago,good facilities
7 years ago,nice
7 years ago,good
6 years ago,i use here
5 years ago,its a station
5 years ago,easy to move on
5 years ago,typical mrt station
5 years ago,good
a year ago,malay language the station has plenty of indoor and outdoor parking at reasonable rates there …
a year ago,the one who parks the motorbike is careful my son parks his motorbike near the big motorbike area when he comes back from work he sees that the tires on both sides are shot when i reported it to the mrt officer he said there was no cctv …
2 months ago,paid parking on the side of the mrt is new sorry i didnt do tng just scan the debitcredit and you wont make a mistake every time this jam comes out byr once to enter
7 years ago,mrt is good facilitate travel to kl and destinations along the route the transit bus waiting area is open space no facilities are provided had to wait until the bus opened the entrance
4 months ago,just walking from the parking lot feels a little scary when its not peak time
8 months ago,this mrt station is close to kpj kajang hospital in addition to being close to lotus kajang its easy for those who dont have transport facilities to go to lotus kajang can just take the mrt
9 months ago,complaints about mrt sg jernih kajang the counter only has one staff member to serve dozens of people to buy a monthly pass in the morning even though the mrt makes the most money next time in the morning put staff and please dont …
a year ago,escalators are always broken if it rains it always leaks strategic location quite a lot of parking there is a jpj kiosk
a month ago,its a privilege to be able to find the mrt station thank you mrt malaysia
10 months ago,it has become an obligation to take the mrt here the car park is usually full as early as am  so if you want to avoid parking you have to come early at the lotus area you cant park anymore because the bar has been built …
9 months ago,the three men who take care of the top up touch n go are all useless i dont know why they dont work there its rubbish
2 years ago,the place is not crowded there is a surau there is a toilet so it is very comfortable to stay here
2 years ago,its close to my fatherinlaws house im shocked that its going up all over the place im happy i dont have to wait  …
9 months ago,the best parking facilities are available a spacious and beautiful place
2 years ago,making things easier for the people but when the time comes for problems ask for forgiveness and zikr a lot for the sake of the people …
7 years ago,lift facilities are available its easy for anyone to take a small child in a stroller the parking lot fills up quickly but there is parking next to the building for a fee of rm per entry
a year ago,when i arrived several places were being repaired its quiet here tonight its a little different than last year
a year ago,like to take mrt from here parking is still a lot because we only use mrt on the weekend not too crowded compared to weekdays
10 months ago,many people come down here because there is a parking facility
4 years ago,the environment is clean and wellmaintained but there is no shuttle bus service it is difficult to move for mrt users those with low incomes
2 years ago,always clean lots of convenience and works well unfortunately customer service is kind of bad other than that everything is fine
5 years ago,the train service is the most wonderful the best and also the cheapest it goes from kajang as the first station then to kl kuala lumpur many people use it i recommend traveling by it as it is safe and its prices are very low thank you
5 years ago,the station is cleanthe toilet is also outsideonly the covered parking area is limited on working daysbut the parking area outside is also provided
6 years ago,ok its just that the parking lot has not been ready since that day and the parking lot that is ready has a broken indicator that says its full or its just full all the way
7 years ago,mrt station near tesco kajang supermarket clean place with toilet facilities here multistorey parking lot and easy to visit
2 years ago,cant park early in the morning to go to work
7 years ago,no seats if you want to wait for bus uber
5 years ago,pickup and dropoff places for passengers are not requested to be provided for the convenience of drivers
2 years ago,if you want to go back to work it is very suitable
3 years ago,mrt has to liven up the atmosphere like ktm increase the number of stalls and change the fare
7 years ago,said the mrt is fast mmm minutes to get to the destination its better to go with your own vehicle …
3 years ago,near tesco lots of parking outside and inside the building
7 years ago,well organized clean modern spaciousmrt trains fully automatic without drivers and on time
7 years ago,an indicator of malaysia becoming a developing country
2 years ago,the far seat has no roof for anyone to sit on
a year ago,the area is clean but lacks parking
5 years ago,its easy to get other public vehicles like buses taxis and grab
5 years ago,best because the surau is outside the gate to get on the train
6 years ago,easy to get parking but sometimes the lower level escalator doesnt move
7 years ago,his bathroom outside is locked  here is tealive …
5 years ago,the atmosphere is comfortable and the waiting time for the train is on time
6 years ago,very spacious but quiet and not many shops
3 years ago,it would be nice if we added a bench
6 years ago,its a big room but its empty its a waste of resources to update it
7 years ago,the best public transport less traffic from kajang to kl
2 years ago,ok but the river isnt clear bro
7 years ago,easy fast public transport without going through traffic jams
2 years ago,when do you want to repair the escalator
5 years ago,happy to droppick up people not busy with people
6 years ago,easy access to kpj kajang hospital and ostia kajang
a year ago,the best mrt station
5 years ago,located near to kpj kajang and satay haji samuri
a year ago,the best clean comfortable
4 years ago,im near the lawa counter haha thats it
2 years ago,every era will quietly reward those who work hard
3 years ago,its unwise to wait for a better opportunity
6 years ago,a new place and close to the peak of saujana
6 years ago,clean convenient close to home easy to find
6 years ago,clean facilities have toilet and musolla
a year ago,there is a jpj kiosk
7 years ago,everyone can support and reduce traffic jams
7 years ago,good and comfortable public facilities
7 years ago,spacious and comfortable station
a year ago,stop for farj prayer
5 years ago,the most fun place has many shops
5 years ago,best lots of parking lots
a year ago,comfortable and safe
5 years ago,mrt station nak come apa
2 years ago,otw the mosque
7 years ago,mrt station near to saujana impian
6 years ago,this mrt station doesnt have much traffic
a year ago,fast to the destination
4 years ago,clean comfortable
11 months ago,excellent
5 years ago,okclose to tescokpj
6 years ago,near to tesco saujana dream
6 years ago,clean and tidy the best
5 years ago,the sports rim is broken
5 years ago,its scary
7 years ago,toilet broken weeks
3 years ago,happy to have mycar
5 years ago,close to tesco  …
6 years ago,there is a parking place right there
7 years ago,next to std kajang stn
4 years ago,next to kpj kajang tesco kajang
2 years ago,mrt station kajang
3 years ago,clean is always monitoring sop
5 years ago,buy a car next to it
5 years ago,its nice
6 years ago,the mrt is clean
5 years ago,the best
6 years ago,the toilet is not public friendly
6 years ago,best clean
6 years ago,no bus
2 years ago,comfortable atmosphere
7 years ago,there are few parking spaces
7 years ago,a casual shrine
5 years ago,super modern mrt malaysia
2 years ago,kajang swamp village
2 years ago,very clean
6 years ago,good and friendly service
7 years ago,rd mrt station in kajang
5 years ago,spacious and clean
a year ago,steady
2 years ago,ride public facilities
4 years ago,i like this place
2 years ago,with
4 years ago,nearby tesco kajang
5 years ago,fast and happy
4 years ago,capati is the most awesome
4 years ago,great service
2 years ago,great
5 years ago,lots of parking
3 years ago,lonely
5 years ago,hoyeaaaaaa
2 years ago,easy access
6 years ago,okey
7 years ago,beautiful
5 years ago,mar
5 years ago,great mrt
6 years ago,best
5 years ago,congested
6 years ago,comfortable
7 years ago,clean
5 years ago,can handle it
6 years ago,native village
6 years ago,mrt station
