date,cleaned_reviews
a year ago,the stadium kajang mrt station kg is an elevated mass rapid transit mrt station on the kajang line sbk line located in downtown kajang selangor malaysia …
3 months ago,customer service counter staff not helping people who queue up for reload not sure because dont know how to use the machine or he ready to check out so he wait for the next shift …
a year ago,the nd last stop on kajang line new and clean about mins from mrt ttdi located near kajang stadium and the old town centre where you can enjoy the best original satay restaurants in malaysia its worth going for a lunch excursion outside of kl using the public transportation
8 months ago,clean environment theres bus services as well if you have my its more easier as you can use it for both the train and bus the bus waiting area does not have many seats but spacious enough for many to wait …
a month ago,need more gate to enternear the river need another door to enterhave to walk around to get intoilet need to upgrade
8 months ago,waiting for the mrt bus ervice t to semenyih is devastating more than an hour still cnot see the roof of the bus
2 years ago,new mrt station with feeder bus good location
a week ago,amongst the efficient ones
2 years ago,one of main mrt stations along kajang line which has direct access to the kajang town within a few steps from kajang stadium medan satay post office and other main landmarks in the town
2 years ago,go to park at rtm for free parking if youre going to pasar seni wig long hours on peak hours go to mrt kajang first to get your seat
2 weeks ago,fine
a month ago,excellent
2 months ago,nice and clean
a year ago,close to a lot of places of interest in kajang town stadium hj samuri satay etc
a year ago, …
10 months ago,best
a year ago,clean
3 weeks ago,i just fell in front of the door of the womens toilet because there was a puddle of water the clothes are wet just be patient good luck tonight  …
11 months ago,strategic location easy to eat satay kajang there is also a bus service
2 months ago,plenty of motorcycle parking spaces under the station dim and do not get hot
8 months ago,the toilet is so bad that i want to get rid of it i didnt expect such a bad toilet
2 years ago,convenient get off at this station and you can walk around kajang
10 months ago,spacious beautiful and comfortable
a year ago,always packed like sardines
a year ago,clean
