date,cleaned_reviews
2 months ago,nice super convenient next to my home block c the nearest block to mrtjust mins walk from front door to mrt including seconds elevator ride is only rmmonth no more driving to work …
3 months ago,i left my house key and ic on the mrt towards kajang and it was the final stop of the line i only realised i forgot something when i was about to exit the station …
3 weeks ago,everything is okay about the station clean spacious comfort except the bus timing do not trust the schedule especially early morning am time route t bus sometimes like chipsmore sekejap ada sekejap tak ada sigh
a week ago,i waited in line forever can’t even put a sign on the counter saying that no debit card or qr accepted what kind of service i am also not sure talking to the muslim women in the counter and she can’t even bother to answer or even look even though we are being polite just speechless with the management
a month ago,it was fine but the toilet and prayer room needed improvement if you guys go to the toilet or prayer room at another station youll know what im talking about also need to work on the traffic light especially in the morning
a month ago,i would like to understand what meaning of parking full people are finding for parking but you guys simply put parking is full but literally can see mrt kajang parking th floor still got empty parking inside by train parking should …
3 days ago,theres a lot of parking but weekdays usually memang full the station is also clean toilet also clean comfortable enough to use
5 months ago,convenient and fast also connected to ktm services
4 months ago,place is reasonably large and clean below the station is the ktm line which is oddly designed i didnt see any escalator on one side leaving the station youll have to rely on public transport as the area is not exactly walkable you can walk but i wouldnt recommend it
5 years ago,big spacious and very clean mrt station it is the last terminal of mrt and ktm commuter is adjacent to it …
2 years ago,easy access to other public trains such as ktm star lrt monorail and putra lrt this is the last mrt station and its attached with ktm kajang station located at jalan reko its easy to get the busses grab and taxi a few grocery …
5 months ago,mrt kajang station is super convenient it connects so well to nearby spots like kajang town metro point and even the famous satay places the station is clean modern and very accessible making it easy for everyone including people …
3 months ago,nice beautiful and huge station very clean environment and wellmaintained toilets
5 years ago,kajang mrt station is one of the best options public transport in selangorkuala lumpur compare to ktm its provides more fasters train to your destination for safety wise its has fully covered door entrance at the train waiting area …
a year ago,good and clean but we have confused people maybe he’s a female 🤷‍but this seems like a norm all the female only coaches are not working as they should be there are males in all these coaches it seems the ministry is rolling things out just to tick the box and not really taking it seriously …
2 years ago,mrt this is the last station of mrt train i love to travelling on train  …
a month ago,you enjoy a lot here every room neat and clean have beautiful ground here and park
2 years ago,very clean quite busy during peak hours there is toilet and convenience store here i hope rapidkl or who maintain this station fix up the escalator its been a long time this escalator out of service at the time im writing this review august
4 months ago,park and ride is very convenient but there is always long queues at ladies restroom due to faulty units always under repair
3 months ago,thanks to t bus driver today jan shift pm from mrt stadium kajang to semenyih for helping me to get back my left over phone🥰 …
a year ago,easy to find the location and gate mrt place is okay have surau in level
a year ago,as a sabahan and my first time riding this mrt thing in here for me it was nice since they showed the route of mrt kajang overall it was great and big respect for this koc wanita thing but yea some men still sitting over there hmm u guys should take action ig
a year ago,good facilities trains on time and station maintaining well
4 months ago,staff very helpfull
6 months ago,the escalator is always broken it has already been a month and it still hasnt been repaired last year also the same but surprisingly during the election it was suddenly working do we have to wait for another election for it to work we have to go to the lift for us to go up
a year ago,nice and clean station not far from shopping centre
6 months ago,its connected to ktm kajang you need to use the lift to go down from mrt to ktm which is a little confusing but you can read the signboard there …
6 years ago,storey parking lots always full good environment station
11 months ago,its one of my preferred stations it feels safe parking is relatively easy and access to highways and the town is also a stones throw away …
6 months ago,lights and ventilation fan in nursing room were not functioning quite a hassle to change diapers of my babies
10 months ago,thing to say is male toilet please make the partition higher as feel like not safe even its male toilet bawah and ats dia ruang sampai blh intai la sebelah so tlg sgt² ya
a week ago,very clean n convinient
2 years ago,in my experience this station has the most stalls available although most facilities are good the escalators to gate a is not operational while this is typically understandable ive noticed another review dated months ago that the …
4 months ago,connected with ktmb kajang for those who want to go to ukm they can take ktmb
a year ago,this is a train station in kajangit is quite big and it is a busy station bcos there is a lot of passengers using this station this station is quite nice and there are shops selling takeaway foods like cakes hotdogs buns curry puffs …
a week ago,this is both an mrt and ktm station
3 years ago,almost always on time arrive every minutes convenient its always cold in the mrt a lot of space and oku friendly
a year ago,nearly maintained station trains starts from here in ever minutes toilets cleanliness need a bit improvement huge pay and park lot available near the exit
4 months ago,nice movement
a year ago,i would rate only the elevator always broken and there is one time where the prayer room was locked even tho it was still daylight the toilet cleanness is soso but other than that all ok
5 months ago,pls fix the elevator not working for months and no action
a year ago,the escalators are working trains were minutes apart but there werent too many people about as i purposely missed the rush clean place well kept
8 months ago,best public transport travel occasionally to damansara and sg buloh so convenient return home happily after using mrt
6 years ago,clean and nice transit place to go to the city
5 months ago,we cant trace location bus t google maps
2 years ago,clean station helpful staff trains came on time you can buy tokens at the machine for single journeys you can also buy a touch and go card for rm and top up at the customer service counter you cant top it up at the machine though you ca also buy a one day travel pass that allows you tk travel on the train and bus
3 years ago,quite nice experience for countryside area
a year ago,good experience once but today decided to topup my tng at counter than two girls at counter are very rude the service was worst they not polite at all and did not say thank you to me or even with the customer before me she also give …
2 years ago,escalator still not repaired but at least its in the process after many many months left not working on both sides luckily there was a lift that has been running non stop all this while apart than that all else is good
a year ago,these two days mrt was very slow and take long times to arrive a station is more serious and stop at each station around mins u might be say then u can wake up early and take the earlier train i have the experience …
a year ago,big station however a little confusing where to call for cabgrab there’s different gates and so depending which arearoad you’re heading tofrom it is more convenient to choose the right gate as the roads around station is very heavy traffic unless you’re familiar with the area it would be difficult to know which one to pick
5 years ago,train comes on time and its very reliable so far there are no time i felt alone or secluded as there are always people around waiting for the train convenient parking space for train riders with flat rate if you use the train back and …
2 years ago,the cleanliness is amazing it has a lift that fits around people i guess it also has an escalator and stairs for people to use the accomodation is tiptop🤌 if you go at am and pm the mrt will be crowded since people are using …
4 days ago,comfortable and the train was on time
10 months ago,the new built traffic light make it extremely difficult to get out from parking during off work hour it’s ridiculous
a year ago,pls enhance review or remove the traffic light in front of school as it makes the waitin period inside the parking more worst average waitin time mins  …
a year ago,it is very spacious and kind of busy but is very attractive and the staff at the mrt are really friendly they dont let me get lost
2 years ago,not very clean at parking station but overall train ride shops  …
7 months ago,nice service as always but not enough space for parking
7 months ago,ok sometimes few escalators not working and take months to be repaired
a year ago,good facility if you drive a car make sure to come early in the morning because parking space is always full
3 years ago,comfortable ample size parking frequent trains
a year ago,clean spacious easy access but roof parking extra full event they have story parking lot
7 months ago,what is the issue with bus t why is it not available on some days isnt there a schedule to be followed or drivers just drive when they feel like it
2 years ago,its just stalls which provide quality food but no chairs and table to enjoy the foodi feel pity for themthey would have made more moneyi think mrt management should look into this matter seriously almost all mrt like this
2 years ago,mrt is good fast ktm also available here but the timing are every minutes you can use tg card no need to buy ticket
3 years ago,is a public holiday first train stopped for mins second train stopped entered and out of service …
a month ago,parking problem during weekdays
a year ago,the usual mrt station looks quite decent like all mrt stations i have used unfortunately there is a lack of parking facilities which makes it more useful for dropoff and pickup
2 weeks ago,most important transportation
a year ago,been using mrt kajang since i started my work nearly months ago st station so youll always have a seat pretty nearaccurate timing with train frequencies minutes peak hours
3 years ago,that night i carelessly left my item in the train when i realised that i requested assistance from the mrt staff at the counter see if they could help me find from the train i left my number and item details and the staff said will …
2 years ago,the station was kept clean and tidy but the escalator was not functioning drove past it a few days later and still was not functional quite troublesome for the elderly or ppl in a rush
9 months ago,with clear signboards and directions
a month ago,clean and helpful staff
a year ago,alhamdulillah finally the lift can be used again how come the train interval is getting longer during peak hrs
4 years ago,dear mrt staff please ensure no double parking at pickupdrop off point due to blocking mrt …
5 years ago,two missing t buses for pm and pm what the hell lazy staff not professional slacking and useless i have reported so many times and nothing changed never follow the time schedule you treat passengers like an idiot there are so many people waiting for t bus
3 years ago,its been a while since i taken a public transport using the rm day pass was good parking there is good as well it cost rm nett all good all good
a year ago,fast machine response but the lift sometimes got problem will suddenly drop off  i faced for times already now no faced anymore …
2 years ago,overall is good but i wish they open small mini marts like eleven or speedmart should also have atm tellers …
8 months ago,good station
6 years ago,cool design it is not safe for grab passenger to get into the car because theres no specific parking for grab cars the buses was so fast furios too scary
a year ago,beautiful airy and relaxed environment customer services is exemplary everyone helps with a smile
3 years ago,well first the ticket officers very polite and very fast work the washroom very clean the train just in time and the journey ok not very speed just normal speed and safe tq
a year ago,clean escalators can now be used good service reload and token machine works
2 years ago,i am surprised that many people have made complaints about the malfunctioning escalators in this station and kajang stadium mrt station and until now the escalators still do not work at all please get someone contact the hq of mrt to …
3 years ago,one of a few well maintained mrt stations at least i rarely found the escalators being out of service i mean they did sometimes but not as often as other stations
3 years ago,convenient train station for the netizens in kajang either in klang valley for the working netizens its was present for them to avoid traffic jam neither in daily costing and time concern …
3 months ago,clean and well maintained
2 years ago,d lack of parking space for pick ups is really frustrating another glaring oversight is there is no allocation for drop off area
6 months ago,spacious station with connecting pathway to ktm kajang station
2 years ago,terminal station of the sungai bulohkajang mrt line it is also also the transit station to kajang train station quite big and well managed reached at night not sure whether there is park n ride facilities available here
3 months ago,clean and tidy is good
3 years ago,the one star goes to the taxi service at mrt kajang station avoid using their service they wont use the meter and will charge passengers exorbitantly taxis around kl area are competitive since the arrival of ride sharing apps i thought …
2 years ago,ok except the toilets not so clean but much better than its neighbour ktm
a year ago,passing thru as it was one of the stations the ktm stopped from kl sentral to seremban where i was alighting
2 years ago,its a big station for me as a person who first time went there it can be a bit tricky and for the ladies toilet im not really fond of it as inside it is quite small and can be quite hot its not comfortable to wear makeup or change …
3 years ago,mrt staff provide friendly service at the top up counter but i dont understand why should mrt charge rmo for every topup
2 years ago,problem tht always repair and elevator and lif take long time service have used stair but about oku people how can walk up stair
5 years ago,for me it is super conveniently located and it is also station for ktm since i now live in bangi and i love shopping i can get to shopping malls in kuala lumpur from this station if i want to go to suria klcc my town mall ikea is …
2 years ago,be careful with their esculator because its so dangerous they have few mini market musolla and toilets one of the main public transport
a year ago,took a ride from here…i can assure you that you’ll get a seat on the train
a year ago,if you are the monthly rm pass unlimited from pasar seni station can take mrt until this kajang station then you go seremban by komuter from kajang komuter station
4 years ago,good frequency not very fast due to a lot of unnecessary stations but it still a good public transport to take you to place you would like to go
2 years ago,at kajang do go for kajang satay this is like skewers with chicken meat or beef with peanut sauce aside also given free of charge is the cucumbers and slices onion then proceed to take the free bus to mrt train station to kl where this train stop at most popular destination like pavilion and bukit bintang walk go explore
2 years ago,can exchange to ktm also got mini market and stalls for quick food
7 years ago,mrt kajang is a must place to visit too the station is really clean and very modern design just to remind that please use touch and go card to escape the long like to line to by a ticket here near to the station have so many local stall …
3 years ago,interchange station with ktm komuter ets convenient with outside bus stops towards kajang town in both directions taxi service available for nearby areas
9 months ago,sent my son and his friends took mrt train to kl
5 months ago,easy to drop off
a year ago,take mrt from kajang to bukit bintang then change to monorails to berjaya time square then walk from there to mecure hotel
4 weeks ago,very clean
a year ago,its kind of the center station theres all kinds of buses that pass here theres mrt and ktm too
5 years ago,the elevator at the parking complex is utterly useless they didnt even bother to repair it …
2 years ago,parking full everyday road condition very bad train also almost everyday problem
a month ago,clean and comfortable
a year ago,reasonably well maintained escalator was not working easily connected to ktm kajang
a year ago,kajan mrt is the last staton of mrt line its public transport awesome place
a year ago,its nice and clean comfortable for all passengers
3 months ago,very² good mrt station
a year ago,my favorite experience among all when im at kuala lumpur
5 years ago,the first and the last station of mrt clean environment and ample of paid parking space
a year ago,metro station and a junction where you can exit and change for both mrt damansara kajang and …
a year ago,very modern station well equipped and well served
a year ago,no elevator and escalator going down is broken now fixed
3 years ago,always clean and peaceful the views at times are really good as well
3 years ago,clean place great facilities smooth mrt timing
2 years ago,very convenient station with all good facilities
6 years ago,clean convenient ample parking space accessible by city buses
6 months ago,very nice service
2 years ago,haphazard illegally parked cars on the pickup dropoff area making it difficult for everyone
a year ago,great public transport enough parking space
6 years ago,need to improve the waiting area as the cars queueing to pick up or drop off would totally jam the road
a year ago,nice place good police and station
a year ago,easy to get around just park and ride
2 years ago,clean punctual convenient to get to bukit bintang kl
6 years ago,very futuristic love all the stations so much like korean underground subway
3 months ago,good service
a year ago,clean elevators working not too busy
a year ago,last station also crowded with people during weekdays
5 months ago,good place
5 years ago,its clean fast and feel comfortable the price is fair
a year ago,cuteee
3 months ago,quite crowded
3 years ago,the parking area is too dark careful ladies
a year ago,another the best public transport service
4 weeks ago,okay
5 years ago, …
5 years ago,new clean punctual parking was okay
11 months ago,very clean and tidy
5 years ago,without waiting a long timeand make sure on your destination in this track
a year ago,overall ok tq
5 years ago,convenient parking spot and systematic place
5 years ago,nice station with good connectivity options
a year ago,beery nice place and nice mrt
a year ago,easy to drop passager
2 years ago,one of the escalators is still broken after months
a year ago,convenient spit for rapid transit
a year ago,beautiful sunset
6 years ago,one of the most easiest way to travel kl
a year ago,very good space
a year ago, …
3 years ago,clean friendly staff modern
7 years ago,comprehensive excellent facilities thanks
3 years ago,good public facilities
a year ago,very good
6 years ago,just ok
3 years ago,very convenient
a year ago,good
10 months ago,big station connected to ktm if your family brings a child with a stroller and wants to park in the parking lot here its good to park on level as there is a direct route to the station
3 months ago,the toilet is always dirty and leaking mostly the door lock is not functional you slip on with the bag on the sanitary pad goes on
a year ago,parking is safe there are no people at the parking counter even in the basement the side mirror had to be stolen  cctv is there but its hard to see it  …
9 months ago,please take action on the cars that are parked on the side of the bus stop it is very disturbing to the drivers of the cars that want to pick up and drop off passengers there are already full buses parked there then the cars on the side …
6 months ago,almost died being crushed by the elevator here on sunday night pm be careful please repair the lift as soon as possible before any unwanted accident mrt stesen kajang
8 months ago,a spacious and comfortable station multistorey parking is also available using tng parking fees …
a year ago,i dont know just come to the parking lot to pick up people
2 years ago,mrt kajang is spacious and the last mrt station near here you can also access ktm there is a surau and all the place is clean there are no restaurants but there are small grocery stores and stalls that sell food such as kuih pau corn …
5 months ago,comfortable and the place is spacious only parking has to be fast
7 months ago,gate a is easier for pick updrop off because of the comfortable space compared to gate b which has no shoulder
a year ago,want to go eat satay kajang even if youre in kl not a big deal just take the mrt
2 months ago,ok only the escalator needs to be repaired
7 years ago,yes the night view is beautiful however it is not yet known how car parking spaces and road arrangements will be arranged on land
a year ago,comfortable prayer room and toilet there is a telekung available the toilet does not provide tissues if you want to topup the line is really long especially during peak hour and holiday season
3 years ago,clean facilities are all okay nothing is broken the toilet is clean overall nothing is missing
9 months ago,slower and slower last week in to minutes today is june minutes per train
a year ago,the staff at the counter was considerate enough that they allowed me to charge the phone briefly due to almost running out of battery times thank you for the service you guys are the best
10 months ago,easy and comfortable
9 months ago,staff service is very bad how can my boss hire me as an employee thank you
a year ago,transportation facilities between kajang to sungai buloh there are exchange stations if you want to go to other places such as lrt stations and komuter stations and erl stations you can use cash or cashless if you have a touch n go card …
a year ago,peace be upon you mrt kajang joined ktmb kajang you can only enter the kajang area close to the kajang market and you can enter the kajang area next to the jalan reko area …
a year ago,very sophisticated and comfortable
a year ago,its hard here there are usually many people but the train is fast where do you want to go luckily there is a staff to take care of parking for double parking so you can park in front of the pesky people back at pm the building is full of floors its ok all happy tg
a month ago,okay close to satay kajang
2 years ago,suma ok hari goes up and down to go back to kije the police officer is always there to help the ticket counter is fast the toilet is ok the cleaner does the job carefully just wait for the escalator to come down which is not ready …
a year ago,nice facilities its just that his customer service is funny i have a touchgo near ic that has expired ask him what should i do he said he had to change a new ic 🤣 i want to take the train i will not go to change the ic in the morning good luck asking him if there is any other way the mornings are comforting  …
2 years ago,the view along the runway is not very beautiful many dirty views
a year ago,year but mrt operations are like the stone age if you want to pay for the ticket you can use a scan card or tng card cash only so weak how do you want to become a developed country
a year ago,this is the best its a mess chase the bus then in the evening im tired to go home there are sales at the top thats the best the smell of freshly fried lekor crackers is really good the facilities at mrt kajang are very efficient
a year ago,for those who work on infrastructure and want to take the mrt to the sg buloh depot you can come as early as the first train is at
2 years ago,the atmosphere of this station is beautiful clean the staff give the best cooperation only the exit to kajang is a problem i have to pay a fine of rm when i want to exit the door is already open i think there is no need to scan use …
