tokens,tags,polarities
"['gleaming', 'and', 'immaculate', 'floors', 'were', 'impressive']","[0, 0, 0, 1, 0, 0]","[-1, -1, -1, 2, -1, -1]"
"['station', 'maps', 'were', 'very', 'confusing']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['awful', 'service', 'at', 'the', 'information', 'point']","[0, 1, 0, 0, 1, 2]","[-1, -1, -1, -1, 0, 0]"
"['awful', 'service', 'at', 'the', 'information', 'point']","[0, 1, 0, 0, 1, 2]","[-1, 0, -1, -1, -1, -1]"
"['all', 'warning', 'signs', 'were', 'bright']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['people', 'ignored', 'safety', 'yellow', 'lines']","[1, 0, 0, 1, 2]","[0, -1, -1, 0, 0]"
"['ticket', 'gate', 'speed', 'was', 'satisfactory']","[1, 2, 2, 0, 0]","[1, 1, 1, -1, -1]"
"['platform', 'benches', 'were', 'new', 'comfortable']","[1, 2, 0, 0, 0]","[2, 2, -1, -1, -1]"
"['ample', 'space', 'to', 'stretch', 'legs']","[0, 1, 0, 0, 0]","[-1, 2, -1, -1, -1]"
"['some', 'dust', 'was', 'seen', 'but', 'not', 'too', 'bad']","[0, 1, 0, 0, 0, 0, 0, 0]","[-1, 1, -1, -1, -1, -1, -1, -1]"
"['handrails', 'felt', 'loose', 'and', 'wobbly']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['hand', 'dryers', 'in', 'toilets', 'broken']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['train', 'was', 'not', 'cleaned', 'to', 'my', 'liking']","[1, 0, 0, 0, 0, 0, 0]","[1, -1, -1, -1, -1, -1, -1]"
"['station', 'felt', 'generally', 'well', 'kept']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['smelled', 'like', 'new', 'paint', 'somewhere']","[0, 0, 1, 2, 0]","[-1, -1, 1, 1, -1]"
"['some', 'unidentified', 'stains', 'on', 'wall']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 0]"
"['toilets', 'lacked', 'basic', 'hygiene', 'supplies']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['children', 'were', 'climbing', 'on', 'railings']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['some', 'payment', 'options', 'not', 'working']","[0, 1, 2, 0, 0]","[-1, 0, 0, -1, -1]"
"['escalators', 'were', 'noisy', 'and', 'shaky']","[1, 0, 0, 0, 0]","[0, -1, -1, -1, -1]"
"['clear', 'and', 'bright', 'station', 'lighting']","[0, 0, 0, 1, 2]","[-1, -1, -1, 2, 2]"
"['no', 'visible', 'dirt', 'on', 'walls']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['felt', 'rather', 'insecure', 'during', 'night', 'travel']","[0, 0, 1, 0, 1, 2]","[-1, -1, 0, -1, 0, 0]"
"['lift', 'buttons', 'were', 'sticky', 'unresponsive']","[1, 2, 0, 0, 0]","[0, 0, -1, -1, -1]"
"['exceptional', 'care', 'taken', 'by', 'staff']","[0, 0, 0, 0, 1]","[-1, -1, -1, -1, 2]"
"['exceptionally', 'clean', 'conditions', 'this', 'time']","[0, 1, 2, 0, 0]","[-1, 2, 2, -1, -1]"
"['station', 'was', 'easy', 'to', 'navigate']","[1, 0, 0, 0, 0]","[2, -1, -1, -1, -1]"
"['trash', 'levels', 'in', 'bins', 'were', 'moderate']","[1, 2, 0, 2, 0, 0]","[1, 1, -1, 1, -1, -1]"
"['aircond', 'was', 'either', 'too', 'cold', 'or', 'off']","[1, 0, 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1, -1]"
"['station', 'had', 'a', 'stale', 'musty', 'air']","[1, 0, 0, 0, 0, 1]","[0, -1, -1, -1, -1, 0]"
