date,cleaned_reviews
8 months ago,always clean n well managed msia had superb facilities only a few placesspot leaks during raining n the monsoon drain got flooded until overflow to the pedestrian walkway n definitely require to be inspectedmaintenance before things goes deteriorated
3 months ago,the last point of your life end of the train line it is very spacious compared to other stations but practically the area is nothing but a carpark waiting for a mall or skyscraper going up here gambatte
10 months ago,nice mrt location wide and with ample parking space and convenient it is convenient to walk to the new kwsp building but its very hot and worst when it rain there is no shelter there is a need to build cover after the stairs behind
2 years ago,the prime minister recently announced that there is a free ride on the mrt putrajaya line from kwasa damansara to putrajaya sentral until the end of march which my wife and i took our mother in a wheelchair on sunday around pm for
6 days ago,lots of parking and spacious roadways the covered waiting area is large so it is easy to find places to wait around and to wait for your pickup
2 months ago,mrt delay stall from am till am on rd february complaint on their website and no response so far who are responsible for all the passengers losses
a year ago,the last station for both putrajaya kajang mrt lines switching between lines is a simple walk either up or down to the correct platform
a week ago,everything just okey if you just came for take mrt not much even i didnt usually see any rapid bus and for the parking site is depends on availability
11 months ago,the female staff at the counter was helpful and professional i arrived around pm and there wasnt many people the station is huge clean i wanted to go to kota damansara after i arrived at the mrt station but the road was blocked by
2 years ago,ample parking that what matters a person can easily switch mode of transportation by parking here to probably avoid the traffic jam nuisance or reduce your mental illness which resulted from the traffic congestion here probably the only
4 months ago,its easily access parking is available ckean
a month ago,ample parking space convenient station as it connects separate mrt route theres surau and toilet the toilet cleanliness can be further improved
4 months ago,disembark from kajang line then just have to take platform putrajaya linewhich is just side by side toward terminal station of mrt sungai buloh convenient n easy n clean environment
a month ago,nice mrt station but car parking need to improve if raining difficult to the carpark
a month ago,everything was ok but bad st experience with not friendly staff system down and token machine is not working properly  dugaan bulan puasa
4 months ago,wednesday am wanted to top up for one day pass before touching out the lady a little bit chubby wearing glasses at the counter
2 years ago,very disappointing experience at the end station ie putra jaya sentral thinking that i could take lunch there but practically there wasnt any food available
2 years ago,my train ready to take us at kwasa damansara towards kampung batu on thursday th june at pm new type of train slightly lower roof for putrajaya line see my photos but has feature for them disabled 
5 months ago,i actually love the smooth transition between pyl and kgl at this station wait time most of the time sometimes has bugs though making the waiting time to mins
6 months ago,huge parking place clean environment
6 years ago,a nice new way to travel into the city plenty of car park spaces the place is very clean and modern great to avoid the crazy traffic in the city if the places you want to go has connectivity with lrt or mrt
2 years ago,nice terminal took the ride to putrjaya quite smooth the ride
9 months ago,very quiet easy access to kl praying rooms and toilets are also provided security guards are observable most of the time ample parking space
6 months ago,please improve parking services i used tng acess rmday but when out its deduct me rm same card ‍
2 years ago,first time from kajang end to kwasa damansara end to try out putrajaya line before the complete route is operating
5 months ago,toilet surau not maintained seriously cleanliness is not up to the standard
a year ago,lots of parking spaces even at am only rmday if you use the same tng card to enter the parking and use for mrt
a year ago,now seem more people coming here due to overcrowded at kwasa sentral staff is ok helpful
2 years ago,good facilities for the station train service on ssp line stopped short to kwasa sentral we had to walk more than km good thing theres this small entrance and well lit walkway at the back until kwsp office
