date,cleaned_reviews
3 months ago,to sit on the bus line you have to go forward most of the time no one knows that the bus is parked next to it
a year ago,please don’t be so unreasonable wait for the passenger inside to exit the coach first instead of just pushing people and rushing into the train there are elderly and wheelchair users that needs ease of accessibility to safely exit the 
2 months ago,very good since around but suddenly appeared women coach infront of the escalator i also headaches  
6 months ago,i am a user of my travel pass for mrt went to surian station top up my end up they only reload touch n go for me instead of my clearly said top up my with my ic given to the female malay staff still reload touch n go for me their 
a year ago,love this station because it can access to all the foodies of kota damansara and tropicana gardens mall
4 years ago,clean spacious service on time mrt link to everywhere like tropicana gardens mall which is very near just few steps away from the mall also can go to sunway nexis and giza at the other entrance got eleven as well here if you need to grab something before work
a year ago,parking has to be in the mall there’s no dedicated parking for the station getting in and out was easy enough 
6 years ago,a very strategic station at the business district of kota damansara located at dataran sunway with easy access to nearby shops shopping malls like sunway nexis sunway giza encorp strand mall and giant hypermarket there is a direct 
7 months ago,cleaning and walking peace no matter badi ask service mrt teach stress go kl so me understanding i m deaf
7 months ago,paygate cannot use cashless payment and ticket counter closed on weekend need to find atm just to use public transport
8 months ago,the station is clean and very easy to find exit and entry points the staff is also very good
3 years ago,less crowded but its hard to find a parking space nearby this station especially on peak hours escalator at gate a never been repair for more than a year nobody want to climb a stairs and their prefer to take an elevator instead
5 months ago,close to tropicana mall great place
4 years ago,i got into this mrt station after an appointment at a government health clinic in kota damansara as i was there during off peak hours the station was deserted n the train i boarded did not carry many passengers it was a smooth ride by the way
4 years ago,this surian mrt station is licated at sunway damansara this mrt has been built for the convenience of the public to avoid traffic congestion to kl city and near by towns the journey starts from kajang and ends at sg buloh or the other way 
5 years ago,my fav spot with bu bellasmiss them alot
4 years ago,clean and welll equipped for accessible services covd guards are quite unfriendly and rude though thats more of a people problem though the place is really nice
5 years ago,nice mrt u can approach to sunway easily
6 years ago,station preceding kot damansara and following station mutiara damensara near shopping malls are nexis and sunway giza and good food is available at lee hong kee restaurant and also near hotels sovotel at prize almost rm
10 months ago,clean and spacious station efficient service
6 years ago,musolla is near the escalator to go up to waiting train area if youre arrive there go down and pray first before touch to pay your ticket for your exit
4 years ago,good station and mrt service the place alway clean my pleasure every time when ire drop from surian station to golf range
4 years ago,fast mrt i don’t have to wait to much longer every minutes there is other mrt will come the staff also friendly
4 years ago,clean and clear  friendly staff 
5 years ago,lots of shops around this area and a new shopping complex is opening besides it with mbo cinema already operating
a year ago,you frequently get sales folks trying to tell you something on and it gets rather annoying
4 years ago,it was so good that i can bring my folding bike together inside the train
5 years ago,easy access to sunway giza no need to find park only walking distance
a year ago,a normal train station has seven eleven outside
5 years ago,connected with tropicana garden and sunway nexiswalking distance to sunway giza
5 years ago,convenient near to sunway giza which has village grocer for groceries and other imported goods
2 months ago,place to get dinner
5 years ago,the station is good but traffic always bad better go next station kota damansara
6 years ago,i must say i love almost all mrt stations with great facilities thanks
8 months ago,clean clear tip top
4 years ago,need to scan mysejahtera qr code and check your body temperature before entering the gate barrier
4 years ago,quite good and clean place also maintain the mco rules strictly
6 years ago,the staffs there are rude and of no help to customers bad experience action from the management should take serious note about this matter
5 months ago,clean efficient
6 years ago,good connectivity with d complexes clean spacious signage can be improved
9 months ago,nearby tgm and sunway giza
4 years ago,very convenient to workplace connection to tropicana gardens mall
7 years ago,great access to many shops including malls like the strand
8 years ago,well its new so its good and safe since many cctv
6 years ago,clean still looks new it’s getting more crowded as time goes by
3 years ago,very convenient lrt station which connects with shopping mall
5 years ago,love the design of station have very clean washroom
4 years ago,my daily commute to work clean and pleasant always
4 years ago,near dataran sunway u can get all the food u want
5 years ago,convenient for public transport around kota damansara
4 years ago,hameediah was where i was heading
6 months ago,good
5 years ago,cosy thanks najib for this awesome public transport
7 years ago,quiet some reasonable food outlets nearby
5 years ago,polite staff fast service a bit expensive
2 months ago,badly
4 years ago,clean and good environment complying covid sop
4 years ago,usual mrt station facilities like tng machine toilet
4 years ago,convenent lots of bus and very disable friendly
5 years ago,same old mrt station train always come on time
4 years ago,clean and the train schedule is clearly stated
5 years ago,air conditioned transportation on time and reliable
5 years ago,very good facilities clean
7 months ago,clean and big
5 years ago,strategic location you nearby shops and other facilities
6 years ago,no area for parking except nearby commercial area
4 years ago,best public transport system in kl
6 years ago,easy but no parking space
4 years ago,surrounded by lots of food place restaurant and entertainment
5 years ago,connected to tropicana gardens suite
5 years ago,very convenient to reach nexis mall
5 years ago,good n air cont is very cold
8 years ago,convenience and ample parking area
6 years ago,busy train station ever i saw
5 years ago,alternative transport goes to the heart of kl
8 months ago,nice
8 years ago,near at my stalla lot of income there
6 years ago,best way to get around kl
4 years ago,so airy so convenient so calm
4 years ago,my favourite mrt station
2 years ago,escalator broke down
5 years ago,sunway giza nearby to chill
4 years ago,good public transport services
5 years ago,no comment because i didnt go to this place
4 years ago,easy n big mrt station
5 years ago,bersih and more security
5 years ago,good and convenience transportation
6 years ago,good accessibility to giza
5 years ago,i love to travel from there
5 years ago,good stop
5 years ago,so clean
5 years ago,easyclean enviroment
4 years ago,the staff very rude
5 years ago,first class mrt station
5 years ago,near shops banks eatery etc
5 years ago,clean place and musolla
4 years ago,good
4 years ago,staf not good
3 years ago,clean and convenient
6 years ago,never use train
3 years ago,escalator not working
5 years ago,typical mrt station
3 years ago,nice lucik
6 years ago,on time
a year ago,services available
4 years ago,ok
4 years ago,its clean
5 years ago,nice facility
4 years ago,clean and modern
8 years ago,near to sunway giza
5 years ago,very clean
5 years ago,conducive
4 years ago,good
6 years ago,good service
4 years ago,good transportation
5 years ago,fine
5 years ago,best transport
6 years ago,clean station
5 years ago,cleaning place
4 years ago,good location
8 years ago,new and modern
5 years ago,ok
5 years ago,passing through
5 years ago,convenience
4 years ago,convenient
4 years ago,clean
5 years ago,clean station
4 days ago,i come to this station a lot and i always find the woman working there so sweet and kind always showing a smile and speaks in a warm tone to which i really appreciate dont know her name but she was working at around pm on thursday 
4 years ago,nice
5 years ago,ok
5 years ago,good
5 years ago,nice
6 years ago,ok
5 months ago,clean toilets and a comfortable surau for telekung prayers are available and clean
11 months ago,a large mrt station and connected to the mall it used to be that i didnt want to get tired the legacy of the former prime minister should be in jell one good legacy
4 months ago,comfortable not too many passengers coming inout
a year ago,why is surian towel at the last station the one here is kotadamansara the name is surian the next station is called kotadamansara weird huh 
