date,cleaned_reviews
6 months ago,mutiara damansara mrt station is a comfortable city transit station with spacious and clean environment it is also equipped with toilet prayer room and lift the mrt station is connected to the shopping malls ikea the curve ipc
2 years ago,the station is very poorly maintained the escalators especially the one with shattered glass panel have not been repaired since the last few times i was here in the span of a month platform is clean and well maintained though
10 months ago,its the main mrt station to go for shopping at mutiara damansara area the station is just a few minutes walk from the curve lotuss mutiara damansara ipc shopping centre ikea mutiara damansara kidzania
a month ago,wc staff and cleaning work rajin i come look staff so good cleaning
6 months ago,i would rate this station better if they reopened up the bridge tunnel to the curve instead of barricading ecurve just because they wanted to demolish and build the lines condo for an undisclosed amount of time
2 months ago,the drivers never allow us to enter the bus until its time to depart even when its raining
8 years ago,link to the malls ecurve ikea etc could still be improved walking is fine but certain stretch of the journey is not covered and might be troublesome if it rains
2 years ago,good facilities but the bus sometimes not following the time bergerak especially during weekend
8 months ago,access to the curve very poor its changed from walking through the internal bridge to walking out the street instead when its raining you must have umbrella or else you wont be able to walk to the station from the curve
7 years ago,feeder bus fr utama to here need to pay rm after that need to walk up few stories staircase to the station if fr opposite site not convenient for olders and handicap users no lift nor escalator unless they taking the risk to cross over the road
8 years ago,map should have pintu a b and c marked accordingly for pickup and drop off good location for people to shop and work
a year ago,i am years old last week my wife and i decided to take the mrt from bandar utama to pavilion kuala lumpur when we stepped into the coach we saw two rows of seats occupied by young men and ladies these were priority seats reserved for
6 years ago,so far i have been coming here to work part time for the pass month and so far its been pretty great the station is clean and the train usually takes around mins to arrive to pick me up token machine is very user friendly tho it does
5 months ago,nice spacious good location
5 years ago,generally it serves its intended purpose however the seating furniture at the platform can be a hazard to the commuters those seats come together with a protruded side table and if one is not careful enough or rushing to catch the coach
6 years ago,damn didnt take any photos to share the station is big spacious with a clean toilet very important the mrt arrival times are displayed prominently and surprisingly it was on time the only disappointment was the lack of signage
6 years ago,finally ticket machines dont always work and none of the staff seems to care hunting thru pockets for notes and coins is so old ccs are the only option for payment just watch the queues grow longer while ppl look for correct change
6 years ago,this is where i get off to go to ikea one of my opticians ace hardware big tesco harvey norman popular book store machines burger king cimb and maybank bose used to be in the area but they closed down the store so need to go to
7 years ago,clean convenient easy access to ecurve the curve ikea
6 years ago,great place to have mrt link to ecurve which you can then go to ikea ikano and curve tesco the biggest issue is that there is no link from the bus station servicing this mrt to go into the shopping centers mentioned above staff attitude is rather indifferent clean restrooms and fast mrt trains
3 years ago,near the curve ikea ipc and office building surian tower and the curve hotel too for time being ecurve is closed but the link to the curve is still opened and guarded by auxiliary police
6 years ago,convenient mrt station location just next to the e curve shopping centre and also a little walk away from the ikea and ikano power centre shopping malls bus connectivity is decent with mrt shuttles rapidkl buses and selangor free bus
7 years ago,great station they made minor improvements to show where the proper exits are no escalators up if you are walking from bandar utama but they have a lift and two staircases
3 years ago,watch out for the customer service provided here i had been treated rudely by a staff here its surprised me because how come a customer service staff can say rude stuff to an innocent customer dah pemalas tak reti buat keja lepas tu be rude to customer rapidkl prasarana tak provide proper customer service sop
7 years ago,sign boards can still be improved they are labeled a b c d but is not informational only after you exit the gate i know i took the correct gate to the curve
a week ago,good good
6 years ago,i transitted both bandar utama and mutiara damansara stations each station is spacious and not crowded on a weekend trains come and go on schedule we had rain in the afternoon a few places at both stations roof were leaking rain water
7 years ago,new facilities provided by government to ease the rakyat going around sungai bulohkajang disablefriendly design all mrt stations
7 years ago,beautifully designed train station which is attached with some of the best shopping areas in the area where you can find almost everythingyou can enjoy here with your friends and can do endless shopping in the nice beautiful clean and friendly environment
5 years ago,the station links with shopping centers and suria building and hotel the shopping centers include ikea ipc the carve ecarve also you can go to tesco and kidzinia and many others office near by the hotel nearby is royal chualan damansara also you can park in any shopping centers and use mrt
5 years ago,train services on time very spacious train prayer room is top notch and clean better to pray here if u r planning to use the mrt
6 years ago,station is clean and well maintain staff are friendly improvement is needed for parking system as one of the exit is out of service for months
2 years ago,same with other station lifescalator faulty takes times to fix so u wanna claim ur country as maju
8 years ago,good location for a public transport station
5 years ago,easy access fromto ikea ecurve the curve kidzaniaand not far from tesco extra good and clean amenities
3 years ago,spacious bright clean detail secure
4 years ago,super clean and efficient easy access to ecurve the curve and ipc with bus links right outside the station
7 years ago,there is two exit here which the one that go straight away to the curve and the hotel or the other way that straight to the feeder bus station and the feeder bus has two section which the one that you need to across the bridge is feeder
6 years ago,days ago i have problem with the machine ny balance not come out but staff over there help me until problem solve
6 years ago,good ride complicate on direction very hidden and small alphabets board see neighborhood countrysee how they put the direction
4 years ago,easy access to the the curve ikano and ikea good amenities with escalators
5 years ago,easy and affordable public transport not as jam pack during weekends too
3 months ago,my main transportation
5 years ago,very convenient it has connected near to ikea the curve ecurve etc
7 years ago,great rail alignment that connects three major malls ecurve the curve and ikea
3 years ago,i asked how to go to bukit damansara via mrt and they said go take a bus bruh i dont even know how to take a bus thats why i came here 
5 years ago,great pubic transport cost rm to go to kl centre one way
a year ago,easy access to the curve lotus and ipc
4 years ago,clean and convenient very close to a few shopping mall
7 years ago,confusing signboard if you went to the wrong exit need to pay money to access the correct exit
2 years ago,clean good connectivity to the surrounding building
7 years ago,currently have really good facilities with really polite and helpful counter operator
4 months ago,good
5 years ago,very neat and tidy station near curve mall
5 years ago,part time sales here environment was good enough
3 years ago,like other mrt station and its connected to mall beside it
6 years ago,transit station on mrt for ppl going to tropicana hospital or segi university college easy access
8 years ago,near to the ecurve and there is a tunnel to get direct access to the curve from the mrt station
4 years ago,mrt station ideally located and connected to the nearby shopping malls
6 years ago,brand new hopefully the staffs keep it this way very cool
6 years ago,easy access to the curve ipc mall and ikea
6 years ago,a very clean and systematic railway station
6 years ago,the place was clean and easy to excess
8 years ago,no direct walkway to ipcikea bad
4 years ago,i was there in the afternoon yesterday extremely few people
5 months ago,good
4 years ago,fast and efficient way to travel around kl
7 years ago,mrt station to the curve and ikea but the signboard abit confusing
7 years ago,its a nice and beautiful station
7 years ago,okbut not very good shelter
6 years ago,interesting experience to take a local train
5 years ago,during raining inside station also raining and very slippery floor
5 years ago,the station is connected to curve and ikea
6 years ago,one of the interconnected klang valleys transit service system
6 years ago,clean like any other mrt stations
2 years ago,went to kl sentral for window shopping
5 years ago,the mrt is good but the staff is very rude
6 years ago,easy access to ikea the curve
7 years ago,big clean friendly mrt staff
