date,cleaned_reviews
6 years ago,oku friendly clean and bright plenty of signages to direct commuters just that there are no food kiosk at the ticket counter area perhaps it would take time for malaysians to adopt using mrt
5 years ago,compared to lrt mrt is on a complete whole new level huge station train makes much less noise quick time between trains means not having to wait too long the safety elements is cool too
5 years ago,t is getting wort and wort every day it was so late we’ve been waiting for about hours please solve this issue sometimes bus leaves too early sometimes so so late i really don’t understand why some drivers are just on the 
2 years ago,clean station with connecting bridge spanning the ldp highway another station without any convenience shops leaving you with few options but to descend to terra firma stationary buses at gate a meant long intervals in between transits up 
4 months ago,ridiculous payment system and unhelpful staff only one payment machine worked at the time of entry but the other payment machine worked at the time of exit causing an issue as the cards used earlier weren’t captured by the other machine 
8 months ago,the station is clean and not so crowded however the lift has been broken since second week of july
4 years ago,generally clean except in the mens lavatory the station is impressively huge but there are not many people using the mrt at least at this station the mrt comes on a regular basis and quick too
a month ago,easy access to pj and kl
7 years ago,station are clean walking distance to phileo damansara eastin hotel kuala lumpur they should have built this station years used to study nearby college the public transport was bad parking is expensive way back down below 
4 years ago,great place to park and ride instead of mrt sungai buloh
5 years ago,friendly personnel at the mrt station to give brief guidance to users frequent feeder buses t t use your touch n go card
9 months ago,clean and spacious mrt station
2 years ago,a bridge connects this station to the phileo damansara office buildings whether you alight or embark at the station you must cross the bridge to or from the other side
a year ago,the station was clean wellmaintained and easy to navigate for the parking facilities will be great if they have better signage for the entrance missed it and the exit
5 years ago,storey parking allow many cars to be parked and there will always be free spaces even during weekdays usually the first parking floors are full cars can exit from the third floor only the train station is so beautiful and well maintained
2 years ago,four escalators have been broken for months at least one says it wont be repaired till december the t feeder bus used to be convenient but then they changed the frequency from minutes to minutes the bus drivers just sit in the buses playing on their phones even during peak hours
5 years ago,well designed i wish there are more fans in the vicinity it can get pretty hot at times theres also a bus stop on the other end of the station the bus route went directly to university of malaya pretty convenient
5 years ago,its quite a normal mrt station but if you wanted to take a grabcar from this station make sure you pin point your pickup location correctly because there is one time where my driver had to make a uturn three time because it turns out that my pickup point is at the middle of the highway
5 years ago,huge mrt station with all the basic amenities available here including surau prayer place for muslim men women worshippers also located nearby is the star newspaper hq a cool golf course wheelchair accessible entrance lifts toilets are available here
5 years ago,clean comfortable and quite huge great for commuters najib may be wrong at a lot of things but this is not one of them 
5 years ago,clean and spacious the car park building is conveniently next to the station and the shuttle bus station is just across the highway connected by a wide pedestrian bridge
5 years ago,it takes minutes to walk from menara star and phileo damansara its quite dangerous to walk alone at night since its dark along the way i will give star if air conditioner in female prayer room is working i dont know whether it 
5 years ago,their service is great my friend card was faulty and they provided advise on everything
5 years ago,platform is high rise above ground levelso long escalators and lifts required to get up to platforms station has no major problems whatsoever
6 years ago,modern and spacious mrt station with abundant parking spaces located in a multilevel complex has a pedestrian crossing skybridge that directly links to the phileo damansara offices where the star news media group is located along with other corporate offices good alternative to avoid the jam
5 years ago,phileo damansara mrt station the mass rapid transit station located at section near to eastin phileo damansara a modern township nestled within pj and kuala lumpur the station started operation on december 
7 months ago,the attitude and professionalism of the staff require improvement
5 years ago,i use the car park to take mrt the car park sign board is hard to findeven exit sign is very misleading there is no sign showing level linked bridge to mrt station sign is bad within car park building please improve
a year ago,why all the buses park at the mrt station they are supposed go and fetch people not sitting there
3 years ago,beautiful area many tennis courts shows people love sports and healthy life style
7 years ago,these train stations are built for the nd century unlike the lrt stations these have a protective wall before boarding the mrt syabas to prasana
5 years ago,the station is not crowded even during the peak hours its convenient to travel using the mrt to sungai buloh
5 years ago,every journey counts we can’t fly everyday but we can enjoy the skyview everytime we ride with mrt
5 years ago,it has a mrt operated parking all you need is to tag your the same tng you use for your train ride for the rm parking fare
5 years ago,its within walking distance to residential areas like pearl villas li villas section tiara damansara section petaling jaya
5 years ago,world class star station huge 
5 years ago,flat charge rm for park n ride by using same touch n go card card using for parking mrt
5 years ago,customer service very friendly self service token kiosk available toilet surau and floor is clean
6 years ago,just another train station
2 years ago,beautiful and green neighborhood nice modern design buildings
7 years ago,nice train station relatively new and not too crowded
5 years ago,nice construction connecting pj with rest of the city not much of a rush though
5 years ago,it is is actually an important mrt station with a multistory parking and bus station within it
5 years ago,i need at least a small shop like eleven or mynews here pleaseeeeeeeeeee
5 years ago,very comfortable spacious has prayer room
2 years ago,pleasant station in and around the heart of kuala lumpur
5 years ago,fast service and friendly staff you get mrt feeder bus from gate a
4 years ago,office building mostly with few fb outlets
5 years ago,ok
5 years ago,not usually crowded trains are usually available every minutes
5 years ago,from the station to its parkn ride everything looks good
5 years ago,parking bay available here also got shuttle bus service to this station
5 years ago,clean and there are elevated walkway to link to phileo damansara office area
5 years ago,very spacious indeed enjoy the view
5 years ago,great station convenient and clean too
7 years ago,near to phileo damansara i n ii eastin hotel n cp tower parking space also  
5 years ago,nice and clean could use more seats
5 years ago,one of public transport to go office abd resident surround glomall
5 years ago,poor customer service staffs need to be more polite and customer friendly
5 years ago,clean place and convenient location to go travel around
5 years ago,this is mrt station and not lrt station as ststed
5 years ago,this station has clean toilet and clean surau
5 years ago,go for a ride the views along the route are great
3 years ago,nice  
6 years ago,modern mrt station strategic location
5 years ago,clean difficult to get here by road during peak hours
5 years ago,if you need mrt come here great place
5 years ago,convenience and parking spot is easily available
5 years ago,station equipped with electronic schedule sign board
5 years ago,a well decorated and modern platform
5 years ago,wait for hour and t doesnt appear 
5 years ago,theres no shops in this mrt station
5 years ago,still under renovation and not fully completed
5 years ago,nice stations with sufficient fans
5 years ago,clean bright and spacious station
5 years ago,super clean station 
5 years ago,it is my work place around here
5 years ago,just another normal malaysia mrt
5 years ago,very new clean and empty
5 years ago,take more public transport
5 years ago,new modern mrt station
8 years ago,new station and state of art
5 years ago,t and t mrt bus stop
5 years ago,looks like an upscaled place
5 years ago,very large and convenient
5 years ago,clean spacious and modern
5 years ago,love the sleek design
5 years ago,very clean station
5 years ago,stop at this station to bukit kiara
5 years ago,modern and well design
5 years ago,very convenient station
5 years ago,park n ride
5 years ago,very clear and nice
5 years ago,newest facilities
5 years ago,clean and spacious
5 years ago,excellent station
5 years ago,very spacious
7 years ago,easy to ride
5 years ago,nearby eastin hotel
5 years ago,clean and neat
5 years ago,very convenience
5 years ago,clean and nice
5 years ago,clean and convenient
5 years ago,so futuristic
7 years ago,comfortable journey
5 years ago,clean
5 years ago,nice place
2 years ago,original text our road ahead may still be long 
4 years ago,be carefulhigh escalator long bridge to reach the platform
a year ago,the prayer hall smells and has no aircond the prayer mat also smells pls take action infrastructure on providing clean and better place to pray for all muslim
6 years ago,phileo damansara mrt bus station
6 years ago,clean surau available
7 years ago,mrt
5 years ago,public toilet facilities are not satisfactory less others good
5 years ago,wrong renew my pass date
5 years ago,spacious and clean area
5 years ago,new mrt station near easten hotel
5 years ago,um not bad
5 years ago,can go up um
5 years ago,this mrt is close to the eisen hotel
5 years ago,cool
5 years ago,mar
5 years ago,chooo choooooo
