date,cleaned_reviews
4 months ago,to syakir aiman mrt semantan i just wanted to take a moment to sincerely thank you for your excellent service previous morning th november your care and responsibility in safely keeping my phone i left at the counter truly 
3 months ago,i put rm in the machine to load my touchngo and the machine stops to work taking my rm and not loading my card trying to complain to the agent but of course they don’t believe you because you don’t get a receipt from their malfunctioning system incompetent and thief shameful
6 years ago,mrt semantan represents one of the economic entry point project identified for the greater kuala lumpur economic transformation program the system is planed to improve kuala lumpur’s poor and inadequate public transportation coverage and 
4 months ago,very very typical kajang style mrt like ttdi and their brother stations the industrial theme is somewhat relevant to those whom use this lane much like the residents mostly office and professional industry
6 months ago,the bus schedule is good enough for peak hours
7 months ago,the timing schedule on the tv screen at the concourse and platform level is not aligned out by mins at least has been like this for few months but no one take action  it makes a big difference if i need to run to catch the train 
7 months ago,i waited for almost hours at desa sri hartamas for the t feeder bus and not a single bus showed up i called the hotline and they insisted that the buses were running on schedule but where were they not one passed by do the 
5 months ago,the women toilet is not in a good condition during peak hours and the oku toilet does not put any notice about no water supply
7 years ago,loved the experience and will definitely use the mrt more often super clean n punctual
a year ago,at the counter they didnt have coins seriously its am and they only had cents so ended up paying more the cashier not apologetic guess its not her fault 🤷‍ 
8 years ago,the mrt stations has additional platform side gates safety first knowing if when it gets too crowded malaysians will stand dangerously close to the edge of platform one up for mrt but so far even with free rides there is hardly much passengers unlike lrt
4 months ago,park around the vicinity and take the mrt to bukit bintang avoid the traffic
a year ago,i was highly impressed with the mrt stations exceptional service especially the officers who displayed a remarkable level of courtesy and helpfulness making my experience truly pleasant
2 years ago,a busy station during peak working hours as there are lots of offices around this area trains are frequent about mins apart during peak hours there are also buses available outside the station to ferry people to other destinations like mont kiara jalan dutamakhama segambut station and pusat damansara
8 months ago,convenient many busses serving nearby areas central nearby many good cafes
7 years ago,due to many cars illegally parked at both sides of road causing congestion no feeder bus schedules as well as routes info at bus station convenient for help college students
2 years ago,quick convenient location with exits on both sides of the highway has qra inside the five building for groceries if you need something quick
2 years ago,if you plan to use grab car from semantan mrt station to the main gate of istana negara grab company will charge at least rm for single trip and their system shows “high fare due to high demands” from semantan station to the main gate 
7 years ago,its great but recently the train has been having some issues and stops at the stations for quite a while i really like the mrt and use it a lot so pleaseeeee fix this thanks
a year ago,reach in mrt on am they st train need wait min for next train just min different too long to wait the train waste my time to wait the train bad
2 years ago,not crowded theres a e here but the worker there was so reluctant to let me buy a drink there buat susah
6 years ago,new with feeder bus during peak hours quite timely
a year ago,motocycle parking exit being block by this selfish driver
7 years ago,met a very polite and helpful station staff clean and modern station
2 years ago,dirtiest toliet i have ever walked it no tissues all the sink is rusty its totally discusting
2 years ago,bus times t highly inconsistent and unreliable
a year ago,unfriendly lady staff at the counter
2 years ago,unfriendly and impatient lady staff working at the counter
7 years ago,modern subway service design aromatic driving
2 years ago,very convenient and strategically located
7 years ago,with convenient store and snacks available to purchase
a year ago,simple station clean
a year ago,can spot the problem
3 years ago,firstime rides here 
4 years ago,clean very convenience
6 years ago,clean and excellent condition
7 years ago,very punctualgood
a year ago,service ok
7 years ago,mrt station good
7 years ago,nice to journey
6 years ago,wow
a year ago,good place
7 years ago,branded new mrt
8 years ago,still in construction  
6 months ago,who is the bus driver friday last trip at pm line t he likes to drive past the of us at mitec its the last bus theres no need to pay for grab next time open your eyes a little wider
5 months ago,staff who are not helpful sometimes get rude staff please monitor each station
10 months ago,thank you to the staff named mr aiman ​​temporary mrt staff for trusting to keep my wallet that was handed over by the person who found my wallet thank you also to cik hidayah mrt surian staff who immediately called me to inform me 
8 years ago,the semantan mrt station to sungai buloh station will be launched tomorrow dec th by the prime minister
5 years ago,complete basic facilitiessuraucleanclean toiletok friendlyliftescalator in orderonly today got hiccupok la once in a blue moon but fast action taken
a year ago,coffee snacks and cakes are sold here
5 years ago,restaurant ali maju actually
4 years ago,very good
