date,cleaned_reviews
7 months ago,very convenient for people transit to other lines it was only a mere mins walk to kl sentral totally covered not a drop of rain or sunshine underpass well connected with lots of escalators 
8 months ago,the station was fine and the train on time but for those of us visiting kl who buy tokens for single journeys it’s really 
a year ago,truly the worst staff ever the ticket machine only accepted small money so the moment i went to the counter and spoke to her this malay woman yelled at me and chased me away with a stupid smile on her face she was completely crazy and 
2 years ago,so conveniently go to kl sentral using mrt via muzium negara station stop then u able to walk through kl sentral to nu sentral or st regis hotel or hilton hotel wont worry jammed or parking problem or over crowded will recommend to 
3 years ago,national museum mrt stop sbk national museum mrt stop is an underground station that can walk to kl central the national museum station is clean and comfortable 
a month ago,easy walk to this station from the klia terminal then linked to the whole of central kl immaculately clean as are the modren trains
3 years ago,expect quite a walk from kl sentral station to muzium negara station it is not hot though as it is inside buildings and at times you will have to use some escalators too caution on some puddles in certain areas on rainy days so the floor will be slippery and unsafe for those using cane or carry heavy luggage
2 months ago,a very comfortable and wellequipped facility i appreciate how clean and spacious the prayer rooms are
3 years ago,have been here several times during pandemic situation and i may say that the station was very clean there have less seat or bench provided to keep social distancing have a clear information of the train route 
a month ago,easy and quick access to kl sentral and nu sentral love it when it accessible and less complicated
5 months ago,very clean and spacious station it can get overwhelming until i reached the traini wasnt sure if this was the correct transportation i needed luckily i managed to get just where i needed
7 years ago,finally mrt connect to kl sentral this is good for people who from damansara area even this is far from mrt muzium negara to kl sentral at least this is cheaper fee for people who use public transport compare to those use private transport
7 years ago,one of main station must visit muzium negara best place to visit nu sentral mall all the shopping food drink entertainment from kl sentral to mrt muzium negara about minute walk if you switching lrt ampang linesri petaling 
5 months ago,spacious and cosy mrt station very comfortable and convenient linked internally to kl sentral nu sentral and klia express
3 weeks ago,it is a tedious walk from kl sentral nonetheless it added up to steps a day
2 months ago,i cant find the elevator to going down to the station carrying a heavy lugguage
3 months ago,its very clean and the schedule for the train is so punctual
6 months ago,from kl sentral youll have to walk at least minutes to reach the mrt always keep an eye on which side you need to go as it can be confusing
5 years ago,another good clean station in kuala lumpur trains comes in time
2 years ago,easy link from sentral to utama or ikea damansara
11 months ago,this station really baffles me i exited here with the intention of going to kl sentral without realising i took the wrong exit out and went towards muzium negara i then tried going back towards the kl sentral exit and i was told that i 
11 months ago,nice station connected to kuala lumpur kl central which connected to other line as well very convenient and easy just be careful and alert which gate leads to where
3 weeks ago,no pick up point dumb public transport arrangement
2 weeks ago,easy to walk here from kl sentral
6 years ago,it feels weirdly tranquil and calm for some reason had a really good time being here
2 years ago,a spacious and clean station the mrt station provides ample information regarding destinations it feels very safe however not many people use it unlike the lrt services
5 years ago,the new public transport for malaysia espcialy for kuala lumpur
7 years ago,like other mrt stations the muzium negara mrt station has stateoftheart facilities besides being in close proximity to the iconic and historic landmark namely muzium negara ie the national museum in the kuala lumpur city centre it has a uniquely nice view of the surrounding metropolitan area  
2 years ago,not sure why google map will not suggest the mrt line when i want to travel from kl sentral to pavilion mall in bukit bintang stations and minutes away
7 years ago,very good perfect station with connecting all the transportation mode via the kl sentral transportation hub
7 years ago,contrary to the distance between muzium negara stn and kl sentral the combination of tunnel and overhead walkway between both stations are actually an easy walking distance away for those frequent masjid jamek and switching between kelana jaya sri petaling line its almost similar walking distance
7 years ago,stunning view and air conditioning place easy to understand the direction of entrance and exit to this place  
2 years ago,such a long walk from the kl sentral the station is clean but leaking everywheresoo yeahhhhh
a year ago,the station was wellmaintained with regular cleaning efforts apparent navigating through the station was a breeze due to its clear signage the directional signs were strategically placed making it easy to find the platforms and exits 
a year ago,very clean easy to find your way around
a year ago,the station is superb but the only reason im giving fewer stars is the confusion i went through to actually reach muzium negara more signs and directions please especially from kl sentral maps too if youre really keen on directing guests to the museum
a year ago,unsafe electric stairs suddenly started moving abruptly take note of the stairs because it’s dangerous to use better turn off and manual climb would be better dirty bathrooms this supposed to be a key mrt station more attention is needed
a year ago,i parked my car in the museum negara carpark using touch and go because i bought a rapid day pass to travel in the city msian ic you can buy this at rm for hours use but dont leave yr vehicle too long in there coz parking can be 
7 years ago,this is a great improvement for malaysia public transport keep it up
8 months ago,the place has no g g g lte do not stop here if you need to book grab also have to walk further a bit as the entrance is blocked by gate
7 years ago,bright spacious so cool but dont like the ticket machine prefer touch to select location than type select location  
3 years ago,very clean safe to travel 🧳 walking distance to nu sentrl 
7 years ago,very clean and modern hardly used station due to poor signages from kl sentral keep it that way
a year ago,my old tng card transfer money to new tng card at nu sentral tng hub when finish transfer i have double check with counter staff i have bought one day pass after transfer izzit can use 
a year ago,the station is clean i have not seen this sanitising machine at the other stations before wow
2 years ago,easy to get to kl central facilitate travel and shorten time cheap and comfortable
a year ago,been in kl a few days and visited the station numerous times always clean not too crowded and access to shopping and food is great frequent trains to klia airasia service office just around the corner maybank counter and atms easy walk to brickfields and amazing indian cuisine and culture esp at night
6 years ago,i travelled to kl times and never knew that they have an mrt system very clean and well organized system it is exactly like the mrt in singapore that we get used to but the better 
2 years ago,nothing special only good for history addicts or people who want to learn a bit about malaysia kids can get bored but a welcome respite after walking in the sun in the botanical gardens cheap tickets and a good place to relax for an hour nit a must watch
5 years ago,this place is so comfortable with clean areas under the ground but huge very safe place for waiting mrt facilities like toilets and mosque is here too also for disable people friendly person in charge at the counter i am was happy being here all is good and recommended to who will use it
a year ago,poor signage to show the way across the road to muzium negara i was lucky to ask a foreigner who happened to know the way i had to turn into an obscure corner and then take a lift to the lowest floor then head to the passage that leads to the mrt station across the road before turning off to the muzium
2 years ago,very clean the signs were clear as well
9 months ago,very crowded only in the morning and pm
a year ago,unclear directions to entrances and unaccessible from station to main road at least set up a proper place for cars to pick updrop off because of the inconvenience cars are just stopping by the roadside and causing congestion
a year ago,parts of the mrt sidewalk doesn’t have roofing which is really inconvenient when it’s raining i wonder what’s the rationale of building it that way
a month ago,this station is down much under the ground
7 months ago,can go to nu sentral too
4 years ago,i havent seen any wheel chairs at the entrance but very helpful people in staffing clean and children friendly lockdown measure take good so far i know proper direction is available at necessary places
5 years ago,be prepared if you enter this area as it has lots of elevators you can take you time walking to the train and only do brisk walking if youre able to or youre in hurry the journey took me mins with my leisure pace the area is spacious and clean there are cctv and police officers around
3 years ago,i wanted to say thank you to the officers who attended to my bag that i left in the train although he there are few ppl queuing but he noticed that i am nervous then he quickly asked if i need help he spoken to me in a calm way and also 
a year ago,if you looking to get to kl centrall mall please enter via mrt tunnel with a fee of cents not free pedestrian pathways open is not valid
3 months ago,clean clear signs hard to get lost here
6 months ago,i am damn flabbergasted for real its all that expressed the meaning of old but gold
7 years ago,the view is stunning and i love how i can look everything differently the escalator is quick the place look so clean and it just fun and safe to walk in with every station police were put in each point
7 years ago,nicely constructed which very spacious waiting area at the platform also should consider to lower the pa volume in the surau as it is quite 
5 years ago,the only issue with this station is that its a long walk to kl sentral but they do have escalators to make the trip easier if only they dont break down so often
4 months ago,going to kl sentral to have dinner with grandson
5 years ago,good and clean station quick access to many places nearby you can access muzium negara directly from here and also can access kl sentral cardiovascular hospital nearby ritz carlton and ktm as well as lrt station staff is friendly and helpful a lot of taxis and buses also available
5 years ago,clean and easy to follow the signage and guide i suggest if rapidkl can add more seating stool while waiting because the currently rapidkl provide a very limited edition of seating arts which i think it is not necessary just add more 
