date,cleaned_reviews
2 months ago,pasar seni metro station is a beautiful and welldesigned transit hub conveniently located near central market and chinatown its prime location allows you to explore many vibrant streets and cultural landmarks within walking distance …
a month ago,its located in a central area where kg line connects to kj line have a beautiful view of kl including menara tower and petronas
5 months ago,strategic mrt station easy connection to china town and kl traffic police station tun hs lee clean and convenient
8 months ago,as the name suggests this is the station that services the pasar senicentral market area the lrt kelana jaya line and mrt kajang line passes through this station this is naturally ventilated and naturally lighted cleanliness wise it is pretty much clean and well kept
3 months ago,i have taken mrt and lrt lines regularly i noticed that the government has introduced this lady coach this is a very good policy however i noticed that some ladies do not take advantages of the lady coach they preferred to occupied …
a month ago,trains reach in rapid timings depends on the timings but theres no proper queue to enter or leave the trains very clean and neatly kept place for an everyday use platform
a month ago,okay so the infrastructure use is good and all but the services are mid at best the familymart vending machine has everything in stock but of them are still registered as sold out on the touchscreen we have eyes clearly this …
6 months ago,make sure to check your place of destination to wait on the correct platform and get on the next train there are a lot of signages everywhere that will help you identify where desk help is also available if you want someone to clarify routes with
7 years ago,kuala lumpur and surrounding areas has god awful road traffic despite having a really good road network the locals like to joke that if you follow the rules of the road in malaysia you bound to get into an accident and this is a …
3 years ago,clean environment the escalator functioning well all the sign provided easy to understand if not sure may ask from the person …
a year ago,very clean station we used this as our departure to go to the motogp at sepang we travelled from bukit bintang which was only stops very easy to negotiate
11 months ago,the train will arrive at station at the right time many peoples use it for working air was good
2 months ago,good for the metro but they accept only digital payment a big disadvantage when u hv cash but cannot travel not user friendly
a year ago,clear signages and love history of place even has piano for you play a tune or two need one in every station
2 years ago,can get very packed during peak hours i must admit its a good effort made by prasarana to include police here so they can somewhat control the human traffic also a good message everytime public announcement to always take care of …
7 months ago,the mrt is clean and convenient to use especially to come to china town theres a green space just at the entrance with art installation
5 months ago,got down just to apply senior citizen touch go at the customer service easy we got it less than minutes for those above of age you may apply at stations pasar seni or raja chulan
5 months ago,modern world calls for conducive travel thumbs up on the contrary something obscene nearby beneath the bridge homelessness in sight that called for our compassion
a year ago,clean mrt station at pasar seni i having touch n go card cant reading during checkout asking the counter besidenearby staff open the gate to me from their counter control this station link lrt and mrt
3 years ago,the central market station is an interchange station for mrt ktm and lrt can be quite busy during peak hours and quite calm at night accessible for people with disabilities a good upgraded infrastructure
2 years ago,nice and clean place the interchange of train the heart of kl a legendary place where its started of kuala lumpur …
2 years ago,a convenient interchange between a modern mrt line and the ageing lrt line what is missing is a connecting subway to the other lrt line to ampang and pudu
a year ago,smooth experience as in every mrt pull you card out tap on the gate and go you can just go get some food after going up with escalator and crossing the road by just walking theres some pretty painting besides the escalator looks nice …
2 years ago,clean neat and easy to navigate station once you realize that you cant use a commuter card at the station that is signs are posted for arrival times and locations so you dont get on the wrong train
a year ago,nice station its mrt kajang line mrt putrajaya line and this goes to same destination which is kwasa damansara
a year ago,went there to get to kampung baharu lrt the connection was very smooth good job rapid
a year ago,great transportation in the city they are inexpensive and quick way to get from one end of the city to the other malaysian seniors get an attractive discount absolute gem
a year ago,very quiet today as there were not many people today visiting this big station
8 months ago,connect to ktm kuala lumpur station  easy and accessible  …
5 years ago,if you want to commuter by mrt sg buloh kajang lines better take from here pasar seni lrt station instead of kl sentral which you have to tap out and walked a long way to muzium negara beside that pasar seni mrt is nearby rapid kl …
3 years ago,this place has a good facility even its a lot of connected station one thing i like here is clean and organized even the the shop inside is nice and friendly
2 months ago,possibly the most cultured station at least on the putra line there are interesting murals and a piano
a year ago,ever day i treval mrt station i like that pasar seni
6 years ago,my wife and i returned here on jan just to find a sea of passengers queueing for tickets we just wanted to make a stop to sentrum minutes but the queueing time was well over minutes the wait under the heat was our most unpleasant experience at kl
3 months ago,got a small surau prayer room to pray inside the station alhamdulillah for the facility
5 years ago,brand new mrt station pasar seni central market very nice subway station in the middle of kl new and very much improved
a year ago,its definitely improving… pasar seni can really be considered the lifeline of downtown kuala lumpur as the …
a year ago,its big you exchange there different types of trains so its good one
5 years ago,efficient cool and bright the mrt trains are bigger than the lrt too so less of a squeeze during rushhour
6 years ago,the station was so clean and safe many was people rushed almost anytime in this place for visitors be mindful with the route that you will pass cause many of them are confused
a year ago,really bad customer service he screamed and yell at us like a crazy person when we asked him for directions nicely
6 years ago,it locates at very strategic and convenient place for tourists who stay at hotels around chinatown area
7 months ago,need to wait so long to buy my token the staff at counter take her own sweet time to do the workknow the queue is so long but giving poor service its show tat our malaysia transportation services getting backwards n worsted in world
a year ago,underground mrt station connected with lrtcommuter line central art market and petaling street chinatown
4 years ago,convenient walking distance to central market dataran merdeka chinatown this station connected to lrt putra heights lrt to gombak
10 months ago,trains are freezing mrt are you trying to make people get sick malaysia has such a hot tropical climate and when you board the trains its overwhelming cold on the trains perfect recipe for catching a cold and very uncomfortable when i stepped off the train my glasses completely fogged up which pretty much says it all
10 months ago,station is clean however the toilet latches at the mens are almost all broken so if you are doing big it is not advisable i dont know whether it is the same for the womens prasarana please look into it
2 months ago,avoid to ride the mrt here during or after office working hourpm
8 months ago,good placeflexible to connecting to other lines like lrt bus stop outside is main station for buses untill shah alam then there is also the gokl free bus service up to pavilion bukit bintang …
5 years ago,this station is located in a strategic area near pasar seni its a connecting station with lrt and right beside rapid kl bus terminal which also has gokl buses there are some nice indian restaurants beside this station which i recommend to eat if youre hungry for some indian cuisine
