date,cleaned_reviews
a month ago,i would like to appreciate the sincerity and honesty of the station staffs mr affan and ms fatin …
2 years ago,a new mrt station that has potential as an interconnect with the old lrt line at plaza rakyat the signages are not clear but there is a walkway with travelators for only halfway designed to make your journey longer than minutes
a year ago,merdeka mrt station in kuala lumpur offers a serene commuting experience its cleanliness and tranquility complemented by almost functional escalators and lifts ensure seamless travel additionally its integration with plaza rakyat lrt …
5 years ago,clean place toilet was fine but there is no bench for people to sit when walking at the road down there the construction is taking lots of space until its not safe to walk
4 years ago,clean overall timely things here plus lrt mrt junction here washroom clean spacious area and all seating also available on stations shops very few interchange station with different trains
5 years ago,very impressive of the facilities in this station this is my first time to do transit between mrt and lrt at merdeka the clear direction sign help me a lot to get into lrt gate without asking anyone saw the automatic walking escalator …
6 years ago,mrt train station nice cool design station still new so dont have any service inside or shop
7 years ago,the paid to paid linked tunnel to plaza rakyat lrt stn is abit far min walk however walkalators available serving each way only
4 years ago,great mrt station that connects upcoming kl this is also connecting station to lrt plaza rakyat construction of galloway bridge is underway and will connect this station further to high rise residential areas in pursuing and subsequently to japan alor
7 years ago,definitely gives patriotic vibes as you enter the station entrance is modern looking with great architecture
7 years ago,the connecting station between lrt sentul line plaza rakyat station with mrt line one of the favorite connecting walkway tunnel with skylight creating such a pleasant walk everytime
7 years ago,clean convenient this mrt merdeka is near to petaling street stadium negara davidson school hotel olympic  and 
7 years ago,this station is a interchange station with lrt plaza rakyateasy to go to tbs using this interchange
8 months ago,thanks to the akak at the cs counter that helped me activate my my pass apparently even if you buy the pass online you still have to go to a nearby cs counter to activate it hence it beats the purpose of it being purchased online in …
6 years ago,im impressed with the sheltered link between merdeka mrt station and plaza rakyat lrt station my first mrt rapid kl ride today from bandar utama to sri petaling and switched at this station
4 months ago,the boy toilet is very dirty and cant flash the water very smelly
5 months ago,i love the public transport in kl very user friendly and easy to get around
5 years ago,ultra modern and clean subway station loved the smooth ride on the mrt from merdeka to bukit bintang
6 years ago,well planned station link bridge to plaza rakyat station with basic amenities
7 years ago,unique wall murals and painting that depicts the theme of the station independence with our father of malaysia tunku abdul rahman and also a stone wall for rukun negara there are also yellow the colour of the royals structure at lift going up to the exit
a year ago,neat and clean station of mrt pretty empty most days no rush guess till merdeka is not inaugurated once open for public this station to get busy
a year ago,very good mrt station atmosphere however when i was passing by at am from mrt merdeka to let station i saw accelerator that works in both opposite directions why morning all of us are moving from mrt to let but you turn on …
2 years ago,linked to lrt plaza rakyat clean toilet and surau
5 years ago,sparkling new station absolutely deserted when i was there great facilities and nicely air conditioned as far as stations go this is nice
6 years ago,this place is beautiful clean and less people the interior is eye catchy too but theres no bench for people to sit especially to those who are waiting for people or people like me with scoliosis cant stand long i saw people with …
7 years ago,its a  for the ultra modern mrt station for world class directions its just a  because ive to look around for the right exit to where i want to go people are on the run time is precious make it ultra convenient for people to …
6 years ago,really modern mrt station very spacious and all equipment is still new and shiny toilet is clean and well maintained …
2 years ago,efisyen train schedule during peak hours connected to ampang and sentul line i liked it for user friendly efisyen train schedule air conditioner and vast area for crowd people oh almost forgot they have that airport runway escalator minor thing like escalator problem sometimes but not everytime could be improved
6 years ago,nice but no bench for sitting while waiting for friend to fetch us i end up sitting on the floor just to enjoy the air conditioner rather than hot sun outside as i saw few groups doing it but seriously not a nice scene when you can spend …
6 years ago,it is a stop over that allows transist to other service operator likes lrt just like other mrt station it is nicely constructed easy access and convenient for catching other train to either direction the platforms are handicap accessible
6 years ago,the station is well managed and organised and the air conditioning helps make it more comfortable my only problem is the lack of readily available information of how to get to and from the lrt station and lack of details of the stops …
7 years ago,your usual mrt station which to expect spotless cleanliness airy chilly and quiet but what makes this standout from other stations is its connecting interchange to lrt plaza rakyat station which takes around full five minutes to pass through and the only mrt station that provides travelator to accommodate the long interchange
3 years ago,it was quite a long walk connection to lrt plaza rakyat once entered mrt merdeka all is well standardised and maintained spacious but still have water leakage along the walkway still need improvement on the sign boards and plan
7 years ago,atmosphere is alright aircond is cool enough however there are not enough seats at the platform area i had to stand on both my feet for a full minutes while waiting for the train to arrive
3 years ago,this mrt station is located at a very strategic location one can access the plaza rakyat lrt stadium negara stadium merdeka and victoria institution i have used this mrt station countless times as my office is just a few minutes away
5 years ago,the merdeka mrt station code named sbk is a rather impressive mrt station as it is fully equipped with decent facilities and its environment in within is quite comfortable with constant air ventilation and conditioning it is situated …
2 years ago,great interchange between lrt and mrt with easy air conditioned walkway only mins walking mrt station have toilets too
5 years ago,really amazed to see how beautifully managed mrt station in town very clean path way easy for differently able people digital display notice for train time
5 years ago,a walking distance from lrt plaza rakyat via underground subway link suitable for a good healthy everyday exercise so wear your smart watch as the distance span between m to km next station is pavilion mall
6 years ago,the station is spacious bring ur kid here and let them off running around until their energy depleated then go back home anyway there is short lenght travelator provided for both direction in walkaway connecting mrt merdeka lrt plaza rakyat
7 years ago,love the place the name the ambiance i usually exit the sri petaling line lrt here to take the mrt usually to kajang for delicious satay or cochrane to get to ikea cheras my favourite stop for shopping walking from the lrt to mrt stations takes about minutes and its covered all the way and its airconditioned too
6 years ago,nice mrt station modern well design
5 years ago,this station is nothing compared to pasar seni or bukit bintang but it is a very well efficiently built place with many exits that lead to places its also a very clean place and it has access to lrt plaza rakyat this station is also very …
7 years ago,mrt very good location for stadium more ppl should consider taking public transport instead of driving here event organiser using stadiums should consider work out with mrt corp to encourage use public transport and make use parknride facility
4 years ago,not much people using this station dont really feel safe every time especially at night very isolated n dangerous to walk alone to hang tuah station
3 years ago,is all good just sometimes the escalator not working and got some licking near tangga just be careful anyway outside lift lot of worker building and sometimes crowded with smoke when they are break lunch eat at the gerai nearby bus stand
5 years ago,there are some repairing on the walk way to plaza rakyat station which has been going on for quite some time and still not complete the floor tiles looks like the station has been there for many years but in fact its just operating for few years not very well maintain
6 years ago,this is an interchanging station between mrt sungai bulohkajang and lrt ampangputra heights lines through a dedicated walkway it takes less than minutes between mrt merdeka station and lrt plaza rakyat station …
6 years ago,it is a very huge station with levels convenient and seamless interchange with lrt plaza rakyat which does not require any tap out and tap in the design is very special and attractive there is walkalator access which is convenient in a …
6 years ago,station is spacious and clean except the toilets walkway to lrt interchange is air conditioned but lrt station is open air keep the toilet clean please
4 years ago,connects to lrt plaza rakyat you can access merdeka stadium negara stadium and chinwoo stadium here you will also be able to access pnb under construction which is set to be malaysias southeast asias and the worlds second tallest building at metres when its completed in the first quarter of
3 years ago,until the construction outside the station are completed this station will remain quiet except for transit passengers tofrom lrt plaza rakyat
