date,cleaned_reviews
a month ago,it would be more beneficial to focus on enhancing the customer service skills of employees at each station it is evident that they lack the willingness to assist and their demeanor is often unpleasant and discourteous it begs the …
a month ago,a very good station with good vibe and can connect to different popular touristy place like jalan alor jalan sultan ismail and jalan bukit bintang
a month ago,well situated mrt station with several different exits always well lit and clean
2 months ago,kuala lumpurs driverless mrt is an affordable efficient way to get around in a clean air conditioned environment
a month ago,hi hello my name is thomas just wanna say thank you so much and i really appreciate to help me to get back my phone it was yesterday around am i was fall down my phone and i trying to report at mrt station at bukit bintang …
2 years ago,if you don’t want to spend all time on traffic jam when go to pavilion klcc and around this mrt station is the faster and easy way to bring you there avoid weekday morning and evening because is the peak working hours that will squeeze you
11 months ago,if youre looking for an efficient and affordable way to get to jalan alors food center while saving time this mode of transportation will do the trick youll also come across other exciting food stalls on your way there and the view of …
6 years ago,if you hate jamming along the traffic mrt is an option that giving you fast easy convenient and safe to reach your destination solely my personal opinion of course you need to drive and park at their parking bay which occurs a few …
7 years ago,efficient design doesnt take much time to reach the train lcd screen provides the expected waiting time for trains not just one ac is working very well
7 months ago,agreed regarding of staff attitude even to the loca i came for tng reload she told me wait minutes i wait then she ask me to reload at the machine but the machine cannot detect my card i missed my train then i wait more minutes …
7 months ago,now i come for tng reload but the service system very bad she told me wait and wait minutes no busy also she don’t care me then i go and buy tocken i miss train then i waith exta minutes so in the end i want say please take care your country gest don’t ignore people easily
6 years ago,it is easy to understand there are signs to show where to go which exits you should take there even maps provided …
6 years ago,twas my first time riding the mrt and i enjoyed all the facilities and services offered the train was huge and comfy still cant brain on the escalator part haha too high till i cant see my future lol but i love the slowmove anyway i hope i can enjoy more advancement in public transport like this in future saynotovandalisme …
5 years ago,this station is one of the most crowded stations in kl because it is located in the heart of town but i dont like the toilet always had bad smell on it
8 months ago,agreed regarding of staff attitude even to the local told that i cannot cash out as the machine keep out of service once i keyin my pin insisted to cash out while the qr payment is there she ask me to reload at the machine but the …
5 years ago,lucky have mrt station at bukit bintang we can out from here direct to jalan alor nite makan or bukit bintang side street area or pavilion kl easy come here from kl sentral to bbintang w mrt
7 months ago,charge me foreigner price for day pass but im local citizen scammer should be rm they charge me rm increase their salary so they wont scam money again
6 years ago,a very first mrt in malaysia clean comfortable but there is few option need to improve
6 years ago,it locates at the very strategic and convenient place for people who spent time for shopping dinner or massage around bukit bintang area
5 years ago,a sophisticated mrt station but sadly the staff was poor in service i wanted topup for my my and i just intended to topup rm but at that time i dont have exact rm i have rm instead consist of rm and three rm they …
7 months ago,very difficult to locate this place no signboard from bukit bintang area to show how to reach this mrt station recently i try to travel from bukit bintang to kajang i find out that very difficult to locate this place i have to …
a year ago,station was okay i bought the online daily pass and wanted to redeem it the staff near monorail gate exit assisted me even though i think the steps are quite a lot and there were lots of people queing to get help from her if you are reading this thank you counter attendant with the kuromi cardholder 
a year ago,cannot enter the gate and the card shows incomplete levi the staff is so rude and cannot communicates softly with the customers and speak loudly to everyone who ask for help should train the staff well when interview them
2 years ago,stations and minutes away from kl sentral why google map will not suggest this
2 years ago,my starting point to klcc it took me minutes to walk there
7 years ago,very nice train wide lots of seating very quiet and on time
5 years ago,a modern mrt station and the staff also helpful when we asked about our destination  …
5 years ago,important area and most busiest place during rush hour point for heart of the city and all public transport in bukit bintang convenient as the signage clearly show where and where but too much spacious area wasted inside here i would …
7 years ago,located right in front of jalan bukit bintang the old metro jaya of bukit bintang plaza clean and comfortable station
a year ago,today pm reload at mesin using cash cannot there stick an info said debit card also cannot i go counter debit card also say cannot so how to reload forcing people to buy the token dont scam people i know that buy token …
a year ago,the kuala lumpar mass transit system is the most confusing and complex ive ever encountered even more difficult than tokyos what makes matters worse is the unhelpful staff if you have a problem and ask a male member of staff you have …
a year ago,as one of the busiest and most strategic stations located at kuala lumpurs golden triangle that is considered to be the first and oldest cbd commercial business district this mrt station has many entrances also exits that are …
5 years ago,new train station clean big facilities the staff some are helpful very busy in the morning and the evening on rush hour the train are clean too they keep clean every morning the only problem is that people dont wait until stop the …
a year ago,forgot to bring your tng card no small change good luck what is supposedly one of the busiest mrt station has no option for creditdebit cards
6 years ago,i guess lots of people have been to this station since its inception years ago monorail is something very light weight only two coaches per train per transit it can’t take in passengers more than it could especially during lunch break …
7 years ago,still lacking attraction and only shop with no atm nearby except from a petrol station which is out of the area also all station lacking seats for those waiting only cater possible passenger per station is like saying come here and dont rest while waiting in crowded area
5 years ago,well lit spacious punctual train schedule only drawback my sore point very far for a physically challenged person to walk from the various entrance or to the exits or to from the train many able bodied passengers use the lifts
2 years ago,i took an opportunity to try out taking mrt to work this week since it’s free till end of march turns out it ruined my day when travelling with mrt i’m living in kepong and …
2 years ago,the only downside is the toilet gosh do try to avoid if can not hygiene at all and small perhaps due to the station is preoccupied with people thus the toilet is not manageable sigh
7 years ago,beautiful station located at the golden triangle of kuala lumpur it is clean and quiet well air conditioned and spacious it is also convenient as there are underpasses that take you to each separate mall
5 years ago,easy way to be transit in kl cheap and effective
5 years ago,beautiful station reminds me of the stations in hong kong here are photos of exits
5 years ago,its for the people to commute and there are a various ways to commute daily on this line we travel daily hoping to meet friends or the best way to meet people i commute daily myself i haven a round trip one day i found the an easiest …
6 years ago,st time try good experiences
5 years ago,very convenient public transportation also can transit to monorail bukit bintang a lot of gates to choose to exit from the station depending on your next destination rates are extremely cheap if compared to other countries might be congested during peak hours waiting hours is reasonable
6 years ago,a super convenient way to get to pavilion lot etc without having to endure the jam the station is strategically located close to these shopping venues but do note that the walkways towards to malls are not covered and that you might be exposed to rain
6 years ago,one of the busiest station in kuala lumpur its like local market place in india with lots of shopping area when it comes to bukit bintang we cant give review without mentioning the money exchanges there money exchanges in there are like petty shop in india
6 years ago,bukit bintang is another tourist attraction not to be missed we were greeted with an excellent band performance when we exited from bukit bintang mrt station sbk on a saturday night …
6 years ago,nice now i know why hambaoju likes to stop here from utama even though i told her its nearly impossible for me to pick her up in a car definitely not at the lot exittheres no waiting area
6 years ago,woooow clean beautiful luxury looking i like mrt over lrt many more mrt should come up and totally ban private vehicles for work in the early mornings and save the environment really malaysia can implement that to avoid pollution n traffic
6 years ago,wonderful station that connects passengers to the golden triangle and shopping district from here you can easily access bukit bintangs jalan alor lot and sungai wang shopping complex fahrenheit pavilion and star hill shopping complexes all are within short walking distances perfect
2 years ago,its located at the ideal place under the jalan bukit bintang making it convenient for travellers to explore the tourist and shopping haven well come out to see a totally new world
4 years ago,not recommend to bring along old peoples to here slippery long steep staircase after rainingvery dangerous no protection at all should improve on public facilities this is one of the main subway station in the major city auto ticket …
6 years ago,its proper n clean the only problem to me is the exit is a bit confusing especially compared to other mrt stations nothing much u can do here theres reserve police presence so u feel safer
6 years ago,juz that many malaysian are still not civic minded plez stand on the left side to allow others in hurry on the right side its mrtmass rapid transit but there are only toilets on male toilet
5 years ago,very strategic location from there can easily walk to pavillion bukit bintang via this avenue can skip the crazy traffic a long the busy roads surrounding pavillion region no hassle for parking
6 years ago,its a very good spot with multiple entrance so you dont have to cross the busy road one of it provide elevatorthe exit infront lot lead to pavilion one entrance doesnt have escalator iirc its the entrance at the hotel and also …
5 years ago,the kl railway system is very hard to beat clean reliable cheap as an australian im peeved at pollies that want to build roads instead of something like this
7 years ago,good location with multiple exits easy assess to the city it is a good location located nearby pavalion lowyat and lot able to access multiple eateries money changers shopping centers hotel and attractions
5 years ago,would have been better if underground links connected to all nearby shopping centres passengers must walk a stretch in the hot sun and rain to get anywhere from this station
5 years ago,had agood walk from this station to klcc to visit the on going event except for a small stretch most of the pedestrian path is either indoor or covered the covered walkway takes away the uncertainties of road crossing and traffic fumes
5 years ago,mrt station this place was clean and quiet big
5 years ago,poorly designed station leaking roof water splash on escalators and platforms during heavy rains lots of wasted space that could be otherwise converted to extra parking spots a pedastrian bridge that is hardly used the list goes on
6 years ago,good access to any parts of bukit bintang through colnbrook walkways handicap facilities could be better toilets available once you passed the mrt gates
7 years ago,new mrt route n station cleaneasyconvenient very beautifulif u want go to bukit bintang from any lrtrecommended change at kl sentral and using mrtcoz staion lrt change monorail to bukit bintang is far walk n outdoorhot
5 years ago,nice ride to get around kl clean efficient easily connected to lrt monorail and transferred to klia super cool to avoid heat and traffic in kl
5 years ago,one of the busiest mrt station in kuala lumpur malaysia equipped with lift fkr disable person very user friendly design of public transport station
5 years ago,overall acceptable but insufficient and not properly maintained toilet facilities occasional breakdown of escalators and tendency for flooring to get wet due to some persistent leakage problem
6 years ago,a subway station where it need to be shopping district with number of shopping malls round dont mind which exit you took as you will just come out at either one side of a junction you could find low yat plaza for it stuff sungei wang …
6 years ago,go places to visit food street jalan alor or grab a bargain with pavement peddlers at jalan bukit bintang or shopping centres lot sungei wang plaza isetan berjaya times square fahrenheit or visit renowned hotels such as shangarila royale chulan
7 years ago,unlike the monorail station this mrt station looks quite modern clean and less crowded than the nearby bukit bintang monorail station good for direct access to bangsar damansara and or kajang via mrt without need to change to another station
6 years ago,a magnificently built underground mrt station built deep down just a few steps away from the bustling bukit bintang this must be the most popular station and destination for this entire sbk z line …
5 years ago,using this public transport is good for me after out from door f walkin few minutes take free bus purple line blue line to reach menara boustead plus the bus only takes minutes to arrive at bus station  …
5 years ago,it’s good
5 years ago,nice and cleaneasy access to kl central station howeverneed to walk mnt from station muzeum negara to kl central main hall
8 months ago,environment is so good
5 years ago,great new and very clean station there are many ways to go in and out pintu and the signs are very clear in case you feel helpless you can ask the customer service for helping out
7 years ago,the station is so clean and quite big its about level deep down underground station …
5 years ago,very accurate in time clean and spacious trains and station and all well managed dont move in cabs use trains cheap and reliable
5 years ago,great mono rail stop leave our son there for the th floor roller coaster amusement park yes inside a shopping mall on the th th th th floor very easy to get there food court also
a year ago,toilets are almost always out of order and all the southside exits arent great
7 years ago,the best station among the others mrt stations theyve platform up entrance middle go to kajang down go to sungai buloh beautiful station with modern style
7 years ago,clean and feel safe here the staffs at customer service are friendly feel free to ask them any question you dont know
8 months ago,trains are quite frequent the station is clean
7 years ago,good high quality facilities are available this mrt station directly connect with monorail line via monorail station bukit bintang moreover it directly link with the main attraction points of bukit bintang via its entries
5 years ago,cool mrt plus they have entrance for this mrt at mc donalds jalan alor …
6 years ago,great public transportation at bukit bintang you can basically go and have fun anywhere from here walking distance to pavilion time square lawyat etc
5 years ago,great stop over at bukit bitang it is where most people go to work great and fast place to get out of town big space and well organised
6 years ago,busy and big mrt they said the longest escalator is there you have to be careful as mrt towards muzium negara and kajang is taken at different level and have to use different escalator
6 years ago,the bukit bintang mrt station or otherwise due to sponsorship reasons pavilion kuala lumpur bukit bintang mrt station working name bukit bintang sentral station is a mass rapid transit mrt underground station in kuala lumpur …
4 years ago,modern interior clear direction good facilites clean toilet good mushola hope my country can be like this
7 years ago,new way of public transportation in kuala lumpur malaysia just opened in end of clean fast and comfortable
6 years ago,clean do refer to the map for the nearest exit to your desired destination take exit e if you want to have less walking time to pavilions main entrance
7 years ago,exit a jalan alor changkat bukit bintang tengkat tong shin exit c sg wang plaza low yat plaza berjaya times square monorail bukit bintang exit d monorail lot fahrenheit starhill gallery westin hotel jw marriot hotel …
6 years ago,clean and convenient public transport
5 years ago,very clean and comfortablethe waiting area is very large you will enjoy your journey here
5 years ago,best service very nice staffsomehow they busy with their own stuffs but when customer comes they listen them first
5 years ago,very convenient follow the right exit and it will bring you to pavillion jalan alor lot mcd monorail basically its at the heart of kl
7 years ago,clean and easy to access mrt station note that platform are on top of each other so get the right escalator down
7 years ago,the station is well located but i just wish they would’ve just build an underground connection straight to pavilion shopping mall
3 years ago,it is extremely hot while waiting for train towards keasa sentral what a disgraceful management
5 years ago,what u want more the place is clean understanding navigation system if you lost you can ask at the front desk
7 years ago,the red station very deep down very convenient stop reaching many shopping complexes in bukit bintang jalan alor lot pavilion low yat sungai wang etc
5 years ago,great location to malls and jalan alor a better alternative than the monorail however the floors sadly start to crack
7 years ago,spacious and theres well air conditioned timing of train arrival sometimes wrong esp on rainy day
5 years ago,grad they built mrt in bukit bintang faster public transport than monorail they are many exits door sometimes we get confuse
5 years ago,link to fareinheit and pavilion bukit bintang easy access to golden triangle sungei wang lot jalan alor
5 years ago,very convenient to get mrt in the middle of kl tourist area fast service and super efficient clean with nice air
6 years ago,forget about driving to the most busiest and congested area of bukit bintang by commuting with mrt to this location makes life so much easier
6 years ago,very clean cool and well maintained worthy of a world class capital city
6 years ago,good location and only problem is need to walk many level down to to the train
2 years ago,its a walking distance from my favorite malls pavilion
6 years ago,very spacious has various exit to anywhere in bukit bintang just need to be aware which is the correct exit
6 years ago,a very modern platform of malaysia the place looks nice effective design and clean too
6 years ago,clean confortable and new station
7 years ago,bukit bintang station is big and clean but the toilet quite less mrt service on time as the board shown a good experience
6 years ago,this place is malaysia biggest mobile market low yet plaza near mrt station in bukit bintangand also barjaya time square shopping mall near mrt station
5 years ago,transportation in malaysia is fantastic and this mrt station in in the center point and very near from kl sentral
5 years ago,amazingly well maintained even though its a huge station staff are very helpful
5 years ago,busy busy busyno lift access at exit e i noticed so far should have lift access at all exits for such a busy station
5 years ago,this station is at hotspot of kl there are total exits which lead to different end of road very near to pavilion
