date,cleaned_reviews
2 weeks ago,very nice the art ceiling and columndesign fully grand opening by tun njat th july
5 months ago,tun razak exchange mrt station is an interchange station between mrt kajang line and mrt putrajaya line it serves the cross platform interchange between both lines …
3 months ago,a good place to connect to the nearby train station rapidly situated in another corner of trx mall walkable from the mall to this station clear board signs at the entrance of the station maintaining clean and neat
3 months ago,very clean place they have prayer rooms in every station a mini shop to buy from and it is connected to the trx mall so you can go there for shopping
a year ago,so far mrt railway m’sia has done an excellent job…was one of the most beautiful intertransit in the world those who complaint and criticize mrt are either never been to oversea jealousy or blind …
a year ago,new mall with many exciting new brands too crowded hard to get a table for drinks and food going from kl sentral was a direct train but going back have to change at pasar seni
3 months ago,its so beautiful and new mall in kal its malaysias most expensive and number mall for the time being
8 months ago,one of the biggest and amazing mall in kl dont forget to visit the outdoor park on the top floor kids
5 months ago,well spacious and clean musolla for muslims to perform solat before continuing their journey
2 months ago,well yes it exists an easy to use clean metro where it smells good yes yes i insist it is so rare unfortunately in my country and in addition we can travel there in complete safety …
3 months ago,alias name samsung galaxy exchange probably due to a rival company opening the apple store on the trx nd floor
a year ago,clean decent ventilation and well maintained but best avoid during rush hour pm if possible as it gets very packed and you may not get to board the first train that arrives the interchange of putrajaya and kajang lines is …
a year ago,a very convenient mrt station in the middle of the city a lot of people disembarked from putrajaya line and runs to kajang line usually these trains open up their doors arrived at almost the same time which created a scenic view of …
a year ago,awesome  beautiful mall  i can say it’s the best mall i ever visited …
5 months ago,your staff at the ticketing counter were extremely rude i didnt have cash and wanted to pay using atm card and since theres only people on que the first customer can use card to pay but when im about to purchase and pay for the …
a year ago,quite centered in the city easy to go to anywhere in the city it has two lines one is putrajaya line and the other one is kajang line the putrajaya line is very helpful for anyone who takes the train frequently same for the kajang line …
2 years ago,clean and modern mrt connect to various public transport and office there will be a new lift that can direct go into trx tower in future lift a bit slow and broken
4 months ago,i think the managers of this train station  are doing a great job at maintaining this station the station is clean and organised i hope this standard of cleanliness will be maintained for a very long time keep up the good job …
a month ago,attendant is uninterested in helping no smiles unpleasant experience and ticket machines are hard to follow avoid
