date,cleaned_reviews
5 months ago,i would always stop here whenever i want to go to mytown mytown is my comfort mall lol it has all of my fav shops cafes and restaurants 🩷 …
3 days ago,this station is linked to mytown shopping centre and ikea you do not need to get out of the station if you want to go to either one of them …
3 weeks ago,first time coming here the station is pretty with the entrance straight to mytown but is the shopping mall a yay or a nay
2 years ago,connected to mytown and sunway velocity walk a little bit and use the bridge you can just walk if u park your car at ikea or mytown it always jem at jalan cochrane same shopstore like hm uniqlo
2 months ago,i was at the cochrane station today at am and on my way an old chinese aunty stopped me asking me if i had rm since all the facilities in my office only required epayment i did not have cash i walked to the counter …
a year ago,cochrane mrt station in kuala lumpur plays a vital role in the urban transit landscape situated in the heart of the city and linked to mytown shopping centre and feeder bus stations it enjoys heavy foot traffic the station boasts …
5 years ago,walking distance right at home right in the centre to citys newest malls and connect to major place in short period avoid all the traffic and hassles environment is clean and cold when entering the area maintained properly but need to ensure out walking area is guarded and bright enough dark and lonely
5 years ago,a station which is slightly out of kl town centre and not so crowded during weekends station is clean and easy to navigate good point for this station that it has an underground link bridge to mytown shopping centre and ikea cheras
5 years ago,what a discovery this station connects to two malls mytown sunway velocity mall once you exit youll see mytown ikea entrancea tunnel walkway leads to it if you continue to exit at jln shelley you will find a overhead bridge …
4 years ago,i love this placeeasy to access go sunway velocity nsk cheras aeon taman maluri and also near kuala lumpur besides a variety of malls nearby cochrane mrt connects my town mall which also shares a building with ikea cheras
4 years ago,the entrance exit to mytown shopping mall is beside familymart located at level b …
3 years ago,the mrt station usually new clean and modern every mrt comes on time according to the schedule showing on the display screen there are also platform screen doorsafe gate to secure the passengers …
7 years ago,underground entrance to the mytown and ikea mall hasnt opened yet in the mean time you need to get to the ground level road level and cross the road to the malls this is also station for shuttle buses stop t t
2 years ago,beautiful modern station integrated into a huge shopping center …
2 years ago,a mrt station that connect with the mytown and ikea modern design and clean
2 months ago,pintu b view so dirty bridge to sunway velocity full of rubbish
6 years ago,it was clean and had easy access to mytown mall and sunway velocity mall via walkway there is a nice view and on a clear day you can see the klcc twin towers and kl tower from the walkway
6 years ago,nothing unusual about this mrt station the good thing is that it is near to sunway velocity mall and ikea there is a link way which takes you to sunway velocity and a tunnel that takes you to ikea
5 years ago,the subway station is too cold convenient transportation …
7 months ago,the train service is very good but the attitude of the cashier is extremely bad the attitude towards customers is like disrespecting customers need to reconsider
2 years ago,this station is directly connected to mytown mall and have a skybridge that can be your way to sunway velocity
6 years ago,convenient station to nearby shopping centremy town
9 months ago,why is the battle time different every day there are which time should i choose why cant there be a fixed time
2 years ago,the structure looked fine unfortunately the staff wanted to play on their phones more than help and answer questions i wasnt able to use the mrt because they wouldnt sell me a token and the machines required cash
7 years ago,now that the underpass from the station to mytown shopping mall is finally open passenger no longer need to cross the road dangerously to get to mytown
10 months ago,is terrible hot no airconditioned service while waiting the train during this hot weather its been a long time still the same
4 years ago,great to go for shopping dining at shopping malls nsk supermarket including wefie …
4 years ago,very clean and systematic parking is easy and cheap rm per entry
2 years ago,the station is nice and clean but their toilet always smell as their one sink is problem that’s the main reason of why their toilet became smelly i think it’s been months already they not repair the sink
5 years ago,i love the place as it is very clean new and most importantly convenient for public use theres not always a huge traffic here and the waiting area is really comfy im glad to be able to use the mrt services here
6 years ago,spacious and not too crowded the wash room and the prayer room are also comfortable there is also an underground tunnel link to mytown shopping center so it easier than before before theres the tunnel i have to crossover the main road its very dangerous
5 years ago,its a train station for mrt trains the trains are on time and you can see the time at which the next train arrives on the train platforms the station is clean and its also accessible if youre in a wheelchair its closes around pm …
7 years ago,very convenient station it leads directly to mytown shopping mall via an underground walking tunnel and also leads to velocity mall via an overhead pedestrian bridge only issue is that there is not many parking lot options the station is big and spacious
5 years ago,it is accessible mytown ikea cheras and sunway velocity
6 years ago,big station clean convenient spacious have direct access to mytown and can walk over to sunway velocity mall via covered overhead bridge it would be good if there is clearer signage with maps parking space available
9 months ago,mrt station which connected to mytown mall easy access to velocity too
2 years ago,i dont come here regularly from sunway and pricing wasnt stated my balance not enough to go through the malay lady at the customer service center was yelling at me is this the service you guys give just bcz i look young am i suppose to apologise the malay lady didnt even apologise for yelling at me
4 years ago,lets be honest here the more comfortable you make station the higher the standards go so this station lowered its standards somehow if you ask me my opinion is build more trains stations across country and keep the standard somewhere acceptable just saying
3 years ago,big and spacious station air conditioning is pretty strong after a hot afternoon in the mall as malls in kl kind of having temp ard °c somehow most mrt stations interior starts to deteriorate over such short period of time no sure y
11 months ago,super clean environment comfortable easy to walk through from velocity mall to mytown
2 years ago,i dun understand why the escalator connect to the nsk from mrt cochrane always not functioning there is storey escalator and most of the time during peak hour of working not functioning especially early in the morning around am …
4 years ago,a convenient mrt station connecting the sunway velocity mall and mytownikea cheras …
5 years ago,its one of my routine mrt station to commute from my home to my office daily everything is similar like in any other mrt stations safety wise is also ok but beyond office timings or at odd hours you have to be careful especially if you …
6 years ago,beautifully constructed with easy access to shopping mall pickup area two stars taken off because of my bad experience with the ticket staff near the counter asked him a question but he answered in a rude manner totally unfit to work in the customer service environment
7 years ago,nicely constructed but on the platform level needs some improvement as you can get very wet when it rains heavily with strong winds …
5 years ago,has connecting underbridge to mytown mall not very crowded at the waiting hall except during rush hours most of the train is full but you may still try your luck to squeeze heres the challenge dont push others
3 years ago,this lrt station is accessible to ikea and mytown shopping mall surau at this station was neat clean and not crowded with people i prefer to walk a lil bit and pray here rather than at mytown prayer space
4 years ago,walk about meters to the left after the escalator if youre going to mytown topup your touch n go card at the machine not the counter oh and once me and another persons tokens got swallowed when we tried to exit so we had to tailgate other people
5 years ago,clean efficient and easy access to both mytown shopping mall underground connection and sunway velocity mall elevated covered walkway sunway velocity also provides buggy cart services from mrt to the mall and vice versa check out their website for more information
5 years ago,this mrt station connects us directly to ikea and mytown shopping mall when you depart the mrt heading towards sungai buloh you have to take the stairs or the escalator to go up one floor from there youll see the entrance to the …
2 years ago,this station connects you directly to ikea cheras and mytown you can also walk to sunway velocity from this station by using the canopy walkway outside the station
2 years ago,the station was very clean the station are also connected to mytown and sunway velocity which really nice and convenient for people who want to go shopping at those places
6 years ago,a wellmaintained mrt station once you exit from the mrt you can choose to go into mytown level b where most of the restaurants are or you can also walk to sunway velocity via the covered bridge very convenient
5 years ago,this is a mrt station that can kill two birds with one stone so to speak commuters can embarked here and proceed to either one of two great modern class shopping malls many the subway velocity mall or mytown shopping and its major …
2 years ago,comparable to singapore type of mrt station we experienced free ticket on train for the hari raya all dirextoons multiple times something unheard of in singapore
7 years ago,i have a question just now i go to the counter asking help for reload my touch n go card the staff keep telling me reload myself at the reload machine i asked back “your counter cannot help for reload” he say “yes canbut u have to …
6 years ago,everything are guided and its easy to access my town shopping mall and ikea cheras from here even its a long distance walking they installed aircond in the pathway
