date,cleaned_reviews
3 months ago,mrt taman pertama review mrt taman pertama part of the klang valleys mass rapid transit mrt system 
2 months ago,appreciate and very thankful for the malay women staff my wallet was missing and she help me keep at station thank you so much 
7 months ago,im a regular mrt commuter and generally enjoy the convenience and comfort of the rides however todays customer service experience at the ticket counter left me disappointed i had approached the counter to purchase a one day unlimited 
a year ago,spacious mrt station peak hour have to wait few round to get into the train
a year ago,it was okay got vending machines and the floor is clean this place is usually not a good place to pick up grab as the road is always jammed to the point its hard to go out to the main road on weekdays the popbox here is sometimes hard 
9 months ago,overall service should improve staff also look like they are dying at work if you entered the station and need to topup staff will ask you to exit again 
a year ago,calm and clean metro station few ticket vending machine doesnt work ticket vendors at the counter are kind and helpful
2 years ago,during peak hours towards the city you wont get space to get into the train so much crowded if you are planning to go to office and rely on this station think twice
a year ago,easy excess to mini market shops like speed mart and kk mart
a year ago,staff super rude and not friendly not helpful at all cant event talk in a proper attitude like i owed them money 🧐 
a year ago,a mrt connected to a mall and with a nice view sad that the air conditioner at the bridge to mall doesnt work
2 years ago,near to housing area and shoplot clean and easy to access jem sometimes
2 years ago,mrt stopped at station taman pertama more than mins without reasons kinda dumb
a year ago,this station allows efficient and effective transport to taman pertama
a year ago,could have more exhibits of tmn pertama history map etc
2 years ago,unfriendly staff at the counter busy on the smartphone rather than dealing with customers
a year ago,convenient station
2 years ago,great place to park and eat simple food
6 years ago,brand new mrt station
a year ago,as usual
2 years ago,clean easy access to taman tenaga
2 years ago,good
2 years ago,easy access fast cheap
7 months ago,easy transport
a year ago,good public facility
a year ago,clean and comfortable always
2 years ago,nearest station to taman pertama and kfc
2 years ago,passby everyday to work
6 years ago,lack of parking nearby
a year ago,ok
a year ago,wonderful as usual
4 years ago,cleancomfortable
a year ago,average place
a year ago,nice
a year ago,nice mrt
2 years ago,klcc
4 years ago,comfortable as usual
3 years ago,beautiful view
10 months ago,good
3 years ago,great
2 years ago,easy access
2 years ago,clean
4 years ago,goof
2 years ago,just a station
2 years ago,public transport hub
a year ago,ok
5 years ago,see beautiful
a year ago,good
a year ago,nice
2 years ago,ok
2 years ago,good
2 years ago,ok
3 years ago,good  
5 years ago,nice
4 years ago,ok
4 years ago,ok
3 weeks ago,its easy to drop off on the side of the road its just a little difficult to park the car
a year ago,clean its just the parking lotit looks like you have to payhahaforgot its called fridaytheres no question of being sued by dbkl
4 months ago,thank you for following keidou group yes keidougroupyes 
a year ago,its already when will the doors open everyones working hours are also late and there is no certain time for opening the door
10 months ago,hijab female staff tan skin rude i knocked on the mirror to call then you want to get angry with me knocking on the mirror i just tap normally you know the one you want to be mad at is like 
a year ago,useful user information for your information the mrt line so far has routes which are 
2 years ago,easy to park then there are many shops around there are restaurants watson kk mart speedmart hotel laundromat and others
2 years ago,aww
2 years ago,at the waiting station the city government has planned several parking spaces for food trucks and snacks
2 years ago,ok but there is no place to park
3 years ago,be careful at night because its quiet and dark
2 years ago,the escalator is very noisy
2 years ago,comfortable place
2 years ago,there is an overpass to walk to taman tenaga
a year ago,malaysia is the best
a year ago,clean
2 years ago,subscribe mrt akyu
4 years ago,excellent convenient and fast
3 years ago,very clean
2 years ago,good
2 years ago,busy
a year ago,the environment is average
a year ago,good
5 years ago,plenty of places to eat
7 years ago,good
