date,cleaned_reviews
a month ago,kajang mrt station which is close to mcdonalds kfc and also a row of shops and restaurants as well what is interesting about this station is the on demand van which is a transportation that takes passengers to their destination as easily as grab order using apps with a promotional price of only rm apps trek
2 weeks ago,my recent visit to taman midah mrt station was smooth and pleasant the station is noticeably cleaner and better maintained than before staff were polite and signage made navigation easy ticket machines worked flawlessly and security …
a year ago,a clean and well structured mrt station nearby got many restaurants and fast food like mcdonald’s and kfc avoid peak hour as there is not spaces to get in the train
2 years ago,a clean mrt station that connects the area of cheras there is a kfc located just across the road from this station …
2 weeks ago,more people should take the mrt instead of driving it is so convenient
5 years ago,there’s limited parking spots available for drivers or family to wait at perhaps can go further down the road towards mcdonalds instead of hogging the oku zone as there might be people who need it coming while you’re waiting parking like the photo is fine as long as nobody is obstructing traffic as buses do come through as well
3 years ago,for woman and others be careful when use this station its only pm at the night but too quite like am
6 days ago,good train arrived faster than i expected
a year ago,i saw this mrt is most used in the kajang line for corporate workers as i saw most of them stay in this area everything is okay and clean but quite hard to go in the opposite direction the shortcut is quite dangerous and i suggest to be careful other than that some fast food restaurants on the left so yea its okay
10 months ago,isnt this station convenient think about it want macd come here desperate for some kfc come here need patrol come here pasar malam come here buy mercedes come here finally want to stay near this station because you love it so much theres condominium near by minit walk or less
3 years ago,well nothing much to say as it is so clean and peoples whom staying in permaisuri cheras very convenient for them to go kajang until kwasa sentral
2 years ago,convenient way to travel throughout kl safe and faster
a year ago,convinient only parking limited a lot of people parks everywhere even at residents gates and blocking entrance and emergency gate mrt does not responsible for this nor did dbkl even though …
3 years ago,this is the worst mrt station the escalator has been out of order for at least months and the climb is over steps of stairs
2 years ago,staff has little knowledge of the facilities today was the first time i took mrt from this station and asked the staff at counter about park n ride after i saw it in the map near the exit he simply said there was no park n ride a few minutes after i drove by the said park n ride on my way to go home
2 years ago,if youre feeling hungry after a ride on the train no worries you can exit the station and turn left and walk across the bridge to go to mcdonalds for a quick bite this station is also connected to a park and ride so if you are staying nearby use your touch n go card to park and walk to this station
2 years ago,they dont have the route map nearby counter for oku to check and buy the tickets moreover the entrance to the platform is far away but they dont even provide any stools or resting chair for oku or any elderly people its hard to see …
9 months ago,every day i go hukm hospital i take public transport very nice easy to access the bus to hospital
6 years ago,parking building is dark and quiet before am and security is not tight too try to avoid parking there either too early or too late overall it is a convenient station with walking distance to saturday night market and daily morning wet market at jalan medan midah
6 months ago,easily access and linked to aeon maluri
2 years ago,easily accessible has parking spaces for commuter although the parking lots are a bit empty and less people could be fine for safety consideration
2 years ago,problem tht elevator always services but take long time do it and operation open entering main door always delay open during early morning open most passenger rush to work at to traveling to kawasa sentral and also transit to sgbuloh
2 years ago,plenty of parking space but under utilised there are shopots but empty i suppose once more users start using it then shops will start opening parking is cheap if you use mrt rm for whole day
2 years ago,mrt station along the kajangsg buloh line touchngo reload machines available no parking complex available but may park at municipals roadside carparks clean environment and friendly staffs
3 years ago,strategically located in the densely populated cheras area serving the busy sg buloh kajang sbk route convenient enough for kfc and other food beverage to set up shop in the vicinity to exploit the human traffic movement
6 years ago,love this place as it provides parking for rm for mrt users the park and ride facility is just awesome and not too crowded with vehicle safety side not so sure whether it is safe to park here but it is a floors building for parking
a year ago,toilet near parking no maintainingno water all closes like ghost toilet and super dirty now worst the toilet near station also close worst toilet in the world pls improve it
2 years ago,good and clean station
a year ago,lots of spacious and parking space toilet cleanliness can be improved
a year ago,rather big and clean mrt station nearest to lotus and the iconic arte cheras condo
7 years ago,its a convenient mrt station that has trips daily from sg buloh to kajang and vice versa almost all necessities are offered such as clean toilets information counters benches and gigantic fans much to my impression that keeps the …
4 years ago,ambient place with eleven clean toilet and have facilities lift escalator pedestrian bridge and bicycle parking oku friendly as well
6 years ago,within walking vicinity of mrt taman midah station has a small local market and row of eatery there are few popular stalls namely hainamese chicken rice rm and fried noodles stall seems like the fried noodles stall is quite popular will get to taste it on my next visit
6 months ago,very impressive mrt station thumbsup
11 months ago,not crowded like mrt maluri parking space is limited
4 years ago,near xiao en mcdonalds petronas and shell petrol station can walk to cheras crematorium from xiao en there is free top up for touch n go card at the shell station on the other side are shoplots which include dhl maybank hong leong bank and lexcool car tint shop
2 years ago,nothing much to say mrt station is very practical to move fr a place to another no traffic jammed only parking is quite a problem
3 years ago,it just so convenience that i can just walk by to maybanki am so happy and i dont have to go far for just going to bank while the bank is so close and just convenience enough to me and thats all about it
5 years ago,relatively new place near kfc and mcdonald doesnt have much stores on the station only eleven by the time this review is written
3 years ago,mrt stations is big clean got eleven inside mcd kfc opposite the station a lot of shops chinese mamak restaurant nearby
5 months ago, …
a year ago,busy area but strategic location to pick up and drop off and lots of food at this area
2 years ago,its next to kfc and mcdonalds which easier to buy fast food just walk within minutes
2 years ago,the service counter attendant is just so rude and does not bother people who is in need at their break eventhough she is still there  …
7 years ago,really nice and spaceous mrt station it has mc donalds restaurant right below the station at the petronas station and kfc at the shell station really comfortable and the mrt service also very convenient
2 years ago,unfriendly staff behind the counter he was busy on his phone rather than help a customer with valid issue
2 years ago,cheap parking whole day rm only for mrt users only mcdonald’s® is nearby mamak also nearby…
a year ago,very clean
5 years ago,very user friendly place new place very spacious rarely crowded the location is very very strategic aweseome fascility very convenient
2 years ago,quite convenient as eateries are within walking distance compared to other stations
5 months ago,nice mrt
2 years ago,easy to go very convenient and useful for residents living that area
3 years ago,if not mistaken cochrane ia the station you would want to get off if you are heading to leisure mall
3 years ago,easy drop off near to mcd and kfc if u hungry u can have a quick grab
2 years ago,the escalator is very loud definitely require some servicing
7 years ago,has a mcdonalds right under it as all the mrts its quite well equipped with amenities such as prayer rooms and washrooms
3 years ago,clean station great location super near to taman midahs foodstreet
3 years ago,very convenient without any delay but be aware of social distancing due to mco
4 years ago,clean nice view from upstair kuala lumpur look beautiful    …
2 months ago,good
6 years ago,convenient easy no problems
4 years ago,nice place and friendly staff near to tesco extra cheras
5 years ago,got inside the mrt maybank branch fast food restaurants at the exit
4 years ago,easiest way to get to bandar sri permaisuri via the feeder bus
2 years ago,the machine for buying toker is broken and the counter staff snores again …
2 years ago,ok
5 years ago,maybe the mrt or rapid authority can promote the pasar malam on every saturdays
2 years ago,very hot no fan on sometimes no staff at counter
4 years ago,strategic location nect to shop lots and petrol station across the road
2 years ago,avoid going on peak hours especially amtoo crowded
2 years ago,customer service is so bad no training at all
6 years ago,very nice and organized huge parking area
a year ago,very efficient clean and reliable
2 years ago,so far so good nothing to complain about
2 years ago,this is a section of a mrt station that runs from rawang to kajang town
3 months ago,feeder bus based on timetable
5 years ago,need to fix the lift button close and open it is faulty
2 years ago,home base home grown home is where hearts should be
3 years ago,clean and lovely amenities all around
3 years ago,kfc and mc donald is next to the station
6 years ago,do check the fdedee bus route they are very helpful
a year ago,service counter are willing to help
a year ago,not crowded at all
6 years ago,best location bank foodfacilities
7 months ago,easy parking
3 years ago,near my place easy to commute
a year ago,personnel are always on hand to assist
4 years ago,easy n fast to meet with my family
4 years ago,opens too late people got classes and work to go
3 years ago,very clean and nice place
4 years ago,nice overall built looks attractive
9 months ago,very good  …
a year ago,great parking spaces
3 years ago,mrt always late lah how to go to work like this
3 years ago,quite new and well maintained
2 years ago,    …
a year ago,got parking for cars
4 years ago,the toilet is veryyyyyyy clean 🤩 …
2 years ago,counter official service very bad
3 years ago,it was clean and well maintained
5 years ago,convenience and car park available
10 months ago,super convenient
4 years ago,only no retail shops
8 months ago,good
3 years ago,a is near to the entrance
3 years ago,nice clean and on time
5 years ago,convenient transport to go to kl
5 years ago,the escalator is always malfunction
a year ago,clean and safe
3 years ago, …
2 years ago,not bad
7 months ago,amazing mrt  …
a year ago,hehe  …
2 years ago,many escalator broken down
a year ago,atmosphere good
a year ago,very comfortable
5 years ago,easy access to mcd
3 years ago,very good place
3 years ago,mrt got mcd
a year ago,ok
2 years ago,clean and convenient
a year ago,best
3 years ago,send roadtax to client
4 years ago,near to bank and restaurant
3 years ago,clean and comfortable
a year ago,clean
2 years ago,was okay
6 years ago,very goood
3 years ago,love it
