date,cleaned_reviews
3 months ago,hopefully i can see the light of the day where this mrt car park is not full with savilles residents cars make it park and ride please
5 months ago,the floor looks old and dirtynot like other mrt station cleaner contractor all makan gaji buta
4 years ago,clean station washroom clean trains in time space also inside trains feeder bus beneath ststion station is situated just beside flats easy access to nearby area parking also there
2 years ago,overall the place is nice and tidy there are shuttle buses to transport passengers to nearby area conveniently one thing that have to be improved is time taken to fix any broken part at the station
6 years ago,a nice and classic mrt stationyou can visit across the city of kuala lumpur from here
5 years ago,latitude °n longitude °e …
6 years ago,got tealive here not many people so quite fast
5 years ago,great station n service of najibs razak legacy
5 years ago,limited parking space commuters have to park by the road side and very high risk of getting summons councils or mrt should have gazetted the side of the roads for parking bays as these roads are not having heavy traffic as the area is considered rural
2 years ago,next to an apartment need permission to park inside apartment parking area and guards do patrol frequently however parking at the side of the road outside the apartment area is allowed
5 years ago,ive been using it as my daily transportation it should place more dustbinone of the lift to go direct to sungai buloh is under constraction and i think its more than months already pathetic
2 years ago,how come mrt stations does not have a single working auto reload machine with credit card as payment only cash is allowed for auto reload at the counter not even at the machine itself  …
3 years ago,one of the girl staff very rude is it “that” hard to answer customers questions we’ve been asking few times tho and she just ignored it everyone’s fasting too  i’m at the station on satapril around pm …
5 years ago,this place have bus to go to area taman tun perak cheras
6 years ago,always clean but i would give it a star if the buses were on schedule at minutes per bus
6 years ago,easier way to travel more destination is providedthe coach is more spacious and the details on the journey on the panel inside the train is helpful for passengergreat
10 months ago,clean and cosy but a lot of birds
5 years ago,lack of parking spaces unless you dont care to park beside nearest road illegally the apartment didnt allow mrt passengers to park in their building
6 years ago,just a few steps away from kedai mkn pakistan kebabsand jalan hulu langatbut theres parking space problems who want to park car and get the train
5 years ago,beware of parking at the roadside you can now get saman by police for blocking traffic to actually discourage u from taking public transportation shrug
5 years ago,there is no multilayer parking spaces here people illegally park at roadside which cause jam and dangerous for other driver
6 years ago,mrt svc excellence only hope the mrt mgt takes action on cars inappropriate parking along the road at the station that makes it difficult for the bus driver to handle the bus in the congested road
6 years ago,not enough parking the ram going up parking is terribly design night time the parking is quite dark a lot of leaking
a year ago,newly built and all facilities required during travel
3 years ago,not crowded and convenient ride to kl to avoid traffic
7 years ago,easy access and direction to the waiting for train location same goes if queuing for rapid bus
7 years ago,is a bif far from the main road and we really need to walk quite distance from any of the nearst houseing areas
4 years ago,efficient time scedule convenient strategic locations affordable fares safety for commuters
7 years ago,clean and clinical just the public comfort kind of station but no tong sampah meh
6 years ago,near my house haha use this daily to go work here cannot renew monthly pass need to go mrt btho for that
7 years ago,no convenience store but has mini bakery and tea stall parking is limited
7 years ago,no parking yet busses are good has a few shops which are now open which is tealive to name a few
5 years ago,doesnt lot of problem got nice view far from mrt station
5 years ago,why do you have to close the whole toilet for hours to clean them very disappointed
4 years ago,it’s not so busy station the view from the station platform is so nice
6 years ago,clean n tidy but the car park is a down side for me
3 years ago,convenient station for people to take a train nearby with neighborhood place
7 years ago,got tealiveme n my son come for tealive n outdoor liftafter that go home …
2 years ago,noise from highway vehicles is very loud limited parking bays
8 months ago,cool n nice place
4 years ago,nothing special abt sri raya mrt stn fr othr stns its just that near to my hse
4 months ago,good
7 years ago,thanks malaysia government so many easy now any place go to by mrt repaid bass and mrt stations
a year ago,malaysia really great especially mrt train
2 years ago,no need to pay p but always full
7 years ago,very high standard but still dusty after completion
11 months ago,very good clean
3 years ago,surau area is wide enough convenient
4 years ago,yes i like to feel it at morningaret you
7 years ago,top rank facilities
7 years ago,good train service clean but parking problem
4 years ago,escalator need to be fixed the sound will make people scared
5 years ago,this station is open space uptown so you can look at the view below
7 years ago,bus driver very lazy i wait for minute even have bus q park at the bus stop
4 years ago,not enough parking space got restaurant and grocery shop
7 years ago,international standard but still get some things they can improve
6 years ago,clean environment convenient facilities like saville
6 years ago,better than mrt tmnsuntex not too hot and crowded
5 years ago,being the nearest mrt station it is very convenient for me nowadays
2 years ago,apart from the little jammed the place is ok
7 years ago,good service neat n clean station
6 years ago,easy and fast but have to drive to the station
5 years ago,park ride yet to be opened despite it being listed on mrt webpage
5 years ago,its easier to get buses for nearest areas
5 years ago,there have a good pakistani restaurant
7 years ago,convient before boarding trains to avoid double errands
5 years ago,standard good mrt station no issue
6 years ago,very nice place and social to everyone
5 years ago,as normal mrt station less parking here only at roadside
5 years ago,clean toilet friendly staff tealive shop
6 years ago,very good service mrt sri raya
5 years ago,the station is link to the saville service apartment
4 years ago,appreciate a station in such area
6 years ago,beautiful sunset
7 years ago,clean theres a bakery and tealive cafe
6 years ago,i would have to suggest to have family mart here
4 years ago,cleaneasy navigate signage
5 years ago,stratrgic
6 years ago,facilities and environment is good and clean
7 years ago,good service n cheap
7 years ago,very clean and well manage
3 years ago,everyday im go to work
2 years ago,very convienent place
7 years ago,new train and new building design are awesome
5 years ago,nearest mrt station for hulu langat resident
6 years ago,no rushing in station
5 years ago,clean and good service from customer service
6 years ago,nice well organized mrt station
7 years ago,convenient for pickup and drop off
5 years ago,everyday so clean nice
5 years ago,link bridge with saville cheras condominium
6 years ago,the bus stop quiet scary
5 years ago,the lift are dimly lighted
7 years ago,easy but limited parking
3 years ago,nice
7 years ago,nice
6 years ago,appreciated and credits to previous government  …
5 years ago,clean and good service
6 years ago,got foods shops available in this station
a year ago,great station
6 years ago,nothing special just a normal station
3 years ago,nice waffle stall
5 years ago,very limited parking spaces
2 years ago,good place neat
a year ago,everything ok
6 years ago,good efficient facilities
5 years ago,v papular n busy train
6 years ago,clean my near by station
4 years ago,okay lah but no under
7 years ago,parking is easy free
11 months ago,good
5 years ago,very fast and convenient
6 years ago,the toilet is very clean
5 years ago,no car park here
6 years ago,clean quiet station
6 years ago,bus is very not punctual
6 years ago,convenient and friendly staff
5 years ago,great convenient service
6 years ago,cleans and best in class
6 years ago,good view
7 years ago,very good
7 years ago,easy access to kl
6 years ago,accidently got off at this station
a year ago,good
5 years ago,i love it this station
7 years ago,no parking here
3 years ago,ok
4 years ago,just …
6 years ago,lack of parking spaces
7 years ago,superb
a year ago,lovely
4 years ago,best service
6 years ago,its clean
4 years ago,tealive is here …
5 years ago,waiting for honey
6 years ago,good service
6 years ago,bersi
7 years ago,first class
6 years ago,helpful staff
2 years ago,clean
5 years ago,the clean toilets
5 years ago,excellent
7 years ago,good place
7 years ago,nice
4 years ago,clean
5 years ago,standard mrt station
7 years ago,nice place
7 years ago,new
6 years ago,spacious
7 years ago,clean station
5 years ago,mrt train station
6 years ago,comfortable
6 years ago,big station
6 years ago,excellence
6 years ago,systematic
5 years ago,clean
6 years ago,clean
6 years ago,good
7 years ago,good
7 years ago,good
6 years ago,when i want to go to the leisure mall i take the train from the sri raya mrt all the facilities are provided toilets prayer rooms car parking places and others the mrt environment is also clean the best
a year ago,clean spacious there are complete facilities the counter is operational the mrt line is on time
a year ago,clean safety on time quick
a year ago,for sri raya mrt its ok if you can go to the surau there the comfort is always taken care of just like the surau² at other mrt stations i dont always stop at the sri raya mrt surau but every time i stop there is a drawback the air conditioner doesnt work
a year ago,ok very must be the best
7 years ago,the mrt service is very good but the problem of the residents who suffered disruption during the mrt project is very unfortunate because property damage cracked walls and floors etc are ignored for the residents especially in sri raya where the residents are asking for compensation from the mrt party until now it is still pending
5 years ago,its ok just the way the waiting place is small
4 years ago,nice place cool and nice air
a year ago,port bus langat park
6 years ago,dont park the car all over the place there was a case of breaking a mirror and being sued by the police take the bus
5 years ago,close to housing estates including tmn kota cheras phase tmn murni tmn sri cheras tmn megah tmn putri jaya tmn tun perak and smk perimbun
6 years ago,for now it is clean and suitable for users there is a parking lot
5 years ago,parking always a problem the government wants the public to use public transport but not for parking spaces
5 years ago,there is a lot of parking but it is no longer lively and there are no longer many shops open
5 years ago,the facilities are complete and the train waiting room is spacious and comfortable
6 years ago,clean there is a bakery and tealive public facilities are available got transit bus
7 years ago,as you already know a worldclass mrt station with various facilities
5 years ago,im happy to ride but i have to stand by a lot
5 years ago,the stop is close to taman kota cheras taman sri raya samten school perimbun school
6 years ago,development that ignores the rights of local residents ceo bad pr
6 years ago,those staying around taman kota cheras taman murni and taman putri jaya mrt is good transportation to travel
3 years ago,stataions are clean safe and ado police help
2 years ago,mrt sri raya bus
4 years ago,station to get off at the bus stop ≧≦
5 months ago,no parking
5 years ago,not bad very good the parking space is quite good
3 years ago,the shrine has telekung and prayer mats
3 years ago,less than meters from my home
6 years ago,i took the mrt from sri raya to kjg stadium
3 years ago,clean place
