date,cleaned_reviews
2 years ago,clean cool and comfy station public toilets are available friendly for people with disabilities around the station we can find some restaurants …
5 years ago,thanks th prime minister of malaysia najib razak for this world class facility if look upon previous prime minister public transport facility it seems …
7 years ago,should provide ample parking for this station to encourage more people to use the public transportation besides the traffic light to this station is never working
6 years ago,neat as usual well covered from rain and hot weather neat and tidy toilet surau and disable toilet
5 years ago,there are two mrt feeder bus based at this station bus goes to taman cheras pertama while bus goes to taman karunmas the buses are at minutes interval …
5 years ago,a good bus stop with a proper shelter bus services are generally to minutes adequate lighting which is generally safe at night many people take the bus so it is a popular one t seems to be the more frequent based on my observation it’s directly next to the lift entrance
5 years ago,short of public parking space most of the parking spaces are reserved for staffs if the government wants to encourage more use of public transport parking space should be the vital part of the plans ride is punctual and comfortable
6 years ago,my experience taking rides from this station has been good despite it being one of the hotspots for crimes recently i noticed a polis bantuan around to monitor the station so i did feel extra protected the station is big and not a busy …
6 years ago,probably one of the best thing in kl a mrt that connects many places travelling time is a bit long for my liking but its easily accessible and affordable and somewhat comfortable soon there will be different route which unlocks access to more areas
7 years ago,since the day of opening ie the traffic light is not working when call the office he ask to call the technician when we call the technician he never pick up the call when contacted rapid they says its not their problems dont use this station because car accidents that cause lives will happen anytime
7 years ago,its pleasure to have mrt station near my residential but unfotunately they not prepared parking space at all u guest the easy way to get there is took feeder bus from my place to the station
5 years ago,not enough parking space and tons of parking space are reserved but not utilize i’m living in serdang area but choose mrt instead of ktm because ktm was slow if you miss a train you have to wait minutes but mrt it just takes minutes …
7 years ago,no parking offer in this station however alot of vehicle park illegally without concern traffic congestion that may cause to other larger vehicle ie buses all park along the sideway towards the station worse case parked until the main traffic lights
7 years ago,newly established mrt station clean environment and well facilitated staffs are very helpful parking is available cctv covered almost everywhere it has freeder bus to serve passengers those who travle by mrt train
6 years ago,most of the mrt stations have a similar design however this particular station has only entrance on one side leading to an escalator that goes down to the road alongside this road are the feeder bus stands with buses to complement the …
7 years ago,nicely constructed but on the platform level needs some improvement as you can get very wet when it rains heavily with strong winds …
5 years ago,underrated station but so strategically located if you want an alternative to and fro bandar tun hussein onn never fails to have access to grab and have a nearby taxi station as well if you fancy the latter got kfc outlet within metres away from the station also have the better station if you want to go to aeon cheras selatan
5 years ago,huge building lots of tall escalators clean toilets lots of clean space on time services staff dull no smile to customers very poor customer services from front desk staff
7 years ago,comfort clean on time just need improving for smoking area the mrt station special bus waiting cannot be come smoking area for customers and mrt bus drivers
5 years ago,besides the mrt station at batu sebelas cheras there are a lot of eateries nearby seremban roast crabs pan noodles roast porkduck char siew rice tai chowcuisines cooking evening session fast food outlets kfc mcdonald etc ambank bsn bank rhb bank etc
5 years ago,convenient clean helpful staff reliable public transport as time cut short from by mrt to sgbuloh mrt it took me about an hour well done
6 years ago,the eleven there is helpful for a small snack and the station is really clean but the traveling is just quite pricey certain times for distant travels mrt
6 years ago,most of the time its very quiet here but recently i saw a man wearing a polis bantuan uniform patrolling this station that makes me feel a lil safer i guess
7 years ago,can get mrt to kajang or klsungbluhand arriving here you can get rapid kl bus to go taman empian ehsan or serdang ktm one of my favourite route to travel to or from balakong area
5 years ago,feeder bus areas too limited should extend to the mines along silk due to lack of parking n feeder bus its inconvenience to use this station
6 years ago,good facility but you have to find ur own parking space if u plan to leave ur car here
7 years ago,its a good location that can contribute to many people but jus one thing there is no place for parking vehicle that the problem people have to think twice b taking the mrt
7 years ago,if the government willing to contribute more onto mrt stations then we should be grateful for such a modern and functional design
5 years ago,it is the nearest mrt to unitar in bandar sg long and mahkota cheras area which is easily accessable via gtab service
6 years ago,the station will be perfect if ya fix the traffic light at jalan balakongit is hard for me to cross the road from the another side
6 years ago,slightly cheaper compared to btho station when travelling to city centre the traffic light entering the station is still not operating after year
6 years ago,mrt bus help you alot drivers are more friendly and polite than rapid kl only per bus
7 years ago,busses always available nearby kfc and other restaurants train time every minutes
6 years ago,i love mrt as it is more advance the time is puncture and can get rid of the traffic though the price is a bit higher but it is worth it
7 years ago,its awesomecomfortable and safety mrt station at balakongother thst it close with main road …
7 years ago,this is the high speed metro service in malaysia every minuter here can get the train
7 years ago,secluded station uber or grab services are only way out other than mrt buses
7 years ago,lack of carpark the mrt that suppose to help reduce the jam contribute to another problemthat road side parking
6 years ago,new mrt and new train can easly help turis for travel around the kl city very help full
7 years ago,very clean and user friendly no sufficient parking for peak hours
7 years ago,good for pickup and drop off very little dedicated parking for riders
5 years ago,kfc mamak kk mart cake shop grocery shops etc are all in walking distance
7 years ago,traffic light still not functioning yet although the station had been operative since aug
7 years ago,very good
6 years ago,no official parking in this station park at ur own risk
6 years ago,disappointed by no parking facilities and the top up machine not workingthat was few weeks ago not sure now
7 years ago,parking limited need to park at the shoplot near walking distance from the station
7 years ago,car parking rate rm flat motor rm no student price
7 years ago,easy access still new so i can only hope it can be maintained
7 years ago,i was full i should come back next time to try local food
5 years ago,favourite station theres a kfc nearby though
7 years ago,really too long a time to reach sg long its better to drive
